iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
AUT,removals,2015,-8039780,0,0,-8039780,-8039780
AUT,removals,2016,-12530881,0,0,-12530881,-12530881
AUT,removals,2017,-4447450,0,0,-4447450,-4447450
AUT,removals,2018,-29888689,0,0,-29888689,-29888689
AUT,removals,2019,-12420551,0,0,-12420551,-12420551
AUT,removals,2020,-12532120,0,0,-12532120,-12532120
AUT,removals,2021,4601518,0,0,4601518,4601518
AUT,removals,2022,-16996123,0,0,-16996123,-16996123
AUT,removals,2023,-22235367,0,0,-22235367,-22235367
AUT,synthetic-fertilizer-application,2015,0,0,2242,612073,612073
AUT,synthetic-fertilizer-application,2016,0,0,2242,612073,612073
AUT,synthetic-fertilizer-application,2017,0,0,2180,595292,595292
AUT,synthetic-fertilizer-application,2018,0,0,1942,530266,530266
AUT,synthetic-fertilizer-application,2019,0,0,1937,529042,529042
AUT,synthetic-fertilizer-application,2020,0,0,2006,547769,547769
AUT,synthetic-fertilizer-application,2021,0,0,2002,546563,546563
AUT,synthetic-fertilizer-application,2022,0,0,1777,485263,485263
AUT,synthetic-fertilizer-application,2023,0,0,1777,485259,485259
AUT,net-shrubgrass,2015,-1173472,0,0,-1173472,-1173472
AUT,net-shrubgrass,2016,611317,0,0,611317,611317
AUT,net-shrubgrass,2017,-408493,0,0,-408493,-408493
AUT,net-shrubgrass,2018,-3601076,0,0,-3601076,-3601076
AUT,net-shrubgrass,2019,542172,0,0,542172,542172
AUT,net-shrubgrass,2020,3928667,0,0,3928667,3928667
AUT,net-shrubgrass,2021,1367465,0,0,1367465,1367465
AUT,net-shrubgrass,2022,154680,0,0,154680,154680
AUT,net-shrubgrass,2023,-3368660,0,0,-3368660,-3368660
AUT,petrochemical-steam-cracking,2015,612254,1290,0,649677,718716
AUT,petrochemical-steam-cracking,2016,641770,1352,0,680997,753364
AUT,petrochemical-steam-cracking,2017,627136,1321,0,665468,736185
AUT,petrochemical-steam-cracking,2018,603252,1271,0,640125,708149
AUT,petrochemical-steam-cracking,2019,560622,1181,0,594889,658105
AUT,petrochemical-steam-cracking,2020,599081,1262,0,635698,703251
AUT,petrochemical-steam-cracking,2021,610549,1286,0,647868,716714
AUT,petrochemical-steam-cracking,2022,529582,1116,0,561951,621668
AUT,petrochemical-steam-cracking,2023,533310,1124,0,565908,626045
AUT,railways,2015,94375,5,36,104420,104701
AUT,railways,2016,94875,5,36,104974,105256
AUT,railways,2017,103323,5,39,114327,114635
AUT,railways,2018,98714,5,37,109228,109522
AUT,railways,2019,98733,5,37,109249,109543
AUT,railways,2020,86785,4,33,96027,96285
AUT,railways,2021,90422,5,34,100050,100319
AUT,railways,2022,86785,4,33,96027,96285
AUT,railways,2023,86785,4,33,96027,96285
AUT,water-reservoirs,2015,0,175,0,4877,14209
AUT,water-reservoirs,2016,0,175,0,4883,14228
AUT,water-reservoirs,2017,0,175,0,4883,14228
AUT,water-reservoirs,2018,0,104,0,2910,8480
AUT,water-reservoirs,2019,0,130,0,3635,10591
AUT,water-reservoirs,2020,0,163,0,4556,13276
AUT,water-reservoirs,2021,0,155,0,4330,12604
AUT,water-reservoirs,2022,0,165,0,4611,13421
AUT,water-reservoirs,2023,0,125,0,3503,10196
AUT,bauxite-mining,2015,10939,0,0,10939,10939
AUT,bauxite-mining,2016,8910,0,0,8910,8910
AUT,bauxite-mining,2017,9730,0,0,9730,9730
AUT,bauxite-mining,2018,9730,0,0,9730,9730
AUT,bauxite-mining,2019,12983,0,0,12983,12983
AUT,bauxite-mining,2020,12150,0,0,12150,12150
AUT,bauxite-mining,2021,9660,0,0,9660,9660
AUT,bauxite-mining,2022,12166,0,0,12166,12166
AUT,bauxite-mining,2023,12401,0,0,12401,12401
AUT,other-mining-quarrying,2015,198965,23,1,199892,201118
AUT,other-mining-quarrying,2016,232548,23,1,233493,234753
AUT,other-mining-quarrying,2017,287427,27,1,288525,289970
AUT,other-mining-quarrying,2018,258187,23,1,259154,260424
AUT,other-mining-quarrying,2019,215829,20,1,216686,217771
AUT,other-mining-quarrying,2020,209925,19,0,210735,211779
AUT,other-mining-quarrying,2021,98959,12,0,99512,100201
AUT,other-mining-quarrying,2022,69272,10,0,69748,70324
AUT,other-mining-quarrying,2023,69027,10,0,69503,70079
AUT,sand-quarrying,2015,122,0,0,122,122
AUT,sand-quarrying,2016,122,0,0,122,122
AUT,sand-quarrying,2017,142,0,0,142,142
AUT,sand-quarrying,2018,146,0,0,146,146
AUT,sand-quarrying,2019,156,0,0,156,156
AUT,sand-quarrying,2020,165,0,0,165,165
AUT,sand-quarrying,2021,174,0,0,174,174
AUT,sand-quarrying,2022,184,0,0,184,184
AUT,sand-quarrying,2023,193,0,0,193,193
AUT,other-onsite-fuel-usage,2015,0,0,0,0,0
AUT,other-onsite-fuel-usage,2016,0,0,0,0,0
AUT,other-onsite-fuel-usage,2017,0,0,0,0,0
AUT,other-onsite-fuel-usage,2018,0,0,0,0,0
AUT,other-onsite-fuel-usage,2019,0,0,0,0,0
AUT,other-onsite-fuel-usage,2020,0,0,0,0,0
AUT,other-onsite-fuel-usage,2021,0,0,0,0,0
AUT,other-onsite-fuel-usage,2022,0,0,0,0,0
AUT,other-onsite-fuel-usage,2023,0,0,0,0,0
AUT,biological-treatment-of-solid-waste-and-biogenic,2015,0,2302,378,167671,290378
AUT,biological-treatment-of-solid-waste-and-biogenic,2016,0,2394,393,174323,301974
AUT,biological-treatment-of-solid-waste-and-biogenic,2017,0,2386,391,173523,300713
AUT,biological-treatment-of-solid-waste-and-biogenic,2018,0,2383,391,173329,300384
AUT,biological-treatment-of-solid-waste-and-biogenic,2019,0,2443,401,177745,307998
AUT,biological-treatment-of-solid-waste-and-biogenic,2020,0,2483,408,180776,313131
AUT,biological-treatment-of-solid-waste-and-biogenic,2021,0,2519,414,183388,317656
AUT,biological-treatment-of-solid-waste-and-biogenic,2022,0,2555,420,186038,322246
AUT,biological-treatment-of-solid-waste-and-biogenic,2023,0,2555,420,186038,322246
AUT,manure-management-other,2015,0,19732,337,642821,1694585
AUT,manure-management-other,2016,0,19690,338,641682,1691164
AUT,manure-management-other,2017,0,19399,334,632627,1666636
AUT,manure-management-other,2018,0,19323,333,630225,1660168
AUT,manure-management-other,2019,0,19321,333,630153,1660011
AUT,manure-management-other,2020,0,19535,336,636946,1678214
AUT,manure-management-other,2021,0,19311,333,629932,1659261
AUT,manure-management-other,2022,0,19311,333,629932,1659261
AUT,manure-management-other,2023,0,19311,333,629932,1659261
AUT,other-metals,2015,0,519,2,15052,42758
AUT,other-metals,2016,0,504,1,14586,41478
AUT,other-metals,2017,0,546,1,15718,44821
AUT,other-metals,2018,0,467,1,13337,38259
AUT,other-metals,2019,0,498,0,14146,40728
AUT,other-metals,2020,0,454,1,12963,37171
AUT,other-metals,2021,0,525,1,14935,42938
AUT,other-metals,2022,0,500,0,14221,40902
AUT,other-metals,2023,0,500,0,14221,40902
AUT,rock-quarrying,2015,145,0,0,145,145
AUT,rock-quarrying,2016,144,0,0,144,144
AUT,rock-quarrying,2017,144,0,0,144,144
AUT,rock-quarrying,2018,150,0,0,150,150
AUT,rock-quarrying,2019,149,0,0,149,149
AUT,rock-quarrying,2020,151,0,0,151,151
AUT,rock-quarrying,2021,152,0,0,152,152
AUT,rock-quarrying,2022,154,0,0,154,154
AUT,rock-quarrying,2023,155,0,0,155,155
AUT,crop-residues,2015,0,0,962,262844,262844
AUT,crop-residues,2016,0,0,1107,302347,302347
AUT,crop-residues,2017,0,0,952,259896,259896
AUT,crop-residues,2018,0,0,933,254736,254736
AUT,crop-residues,2019,0,0,1048,286240,286240
AUT,crop-residues,2020,0,0,1089,297542,297542
AUT,crop-residues,2021,0,0,1036,283073,283073
AUT,crop-residues,2022,0,0,1036,283073,283073
AUT,crop-residues,2023,0,0,1036,283073,283073
AUT,incineration-and-open-burning-of-waste,2015,834,5089,0,142851,414118
AUT,incineration-and-open-burning-of-waste,2016,834,5044,0,141586,410437
AUT,incineration-and-open-burning-of-waste,2017,834,5044,0,141586,410437
AUT,incineration-and-open-burning-of-waste,2018,834,5257,0,147525,427724
AUT,incineration-and-open-burning-of-waste,2019,834,5257,0,147525,427724
