iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
BEL,manure-left-on-pasture-cattle,2015,0,1101,2095,602739,661473
BEL,manure-left-on-pasture-cattle,2016,0,1059,2014,579467,635933
BEL,manure-left-on-pasture-cattle,2017,0,946,1800,517817,568276
BEL,manure-left-on-pasture-cattle,2018,0,980,1864,536448,588722
BEL,manure-left-on-pasture-cattle,2019,0,997,1896,545480,598634
BEL,manure-left-on-pasture-cattle,2020,0,1014,1929,555104,609195
BEL,manure-left-on-pasture-cattle,2021,0,1006,1913,550390,604023
BEL,manure-left-on-pasture-cattle,2022,0,1030,1958,563534,618448
BEL,manure-left-on-pasture-cattle,2023,0,1018,1936,556968,611241
BEL,oil-and-gas-production,2015,0,0,0,0,0
BEL,oil-and-gas-production,2016,0,0,0,0,0
BEL,oil-and-gas-production,2017,0,0,0,0,0
BEL,oil-and-gas-production,2018,0,0,0,0,0
BEL,oil-and-gas-production,2019,0,0,0,0,0
BEL,oil-and-gas-production,2020,0,0,0,0,0
BEL,oil-and-gas-production,2021,0,0,0,0,0
BEL,oil-and-gas-production,2022,0,0,0,0,0
BEL,oil-and-gas-production,2023,0,0,0,0,0
BEL,pulp-and-paper,2015,285928,0,0,285928,285928
BEL,pulp-and-paper,2016,290294,0,0,290294,290294
BEL,pulp-and-paper,2017,290981,0,0,290981,290981
BEL,pulp-and-paper,2018,299214,0,0,299214,299214
BEL,pulp-and-paper,2019,263192,0,0,263192,263192
BEL,pulp-and-paper,2020,203349,0,0,203349,203349
BEL,pulp-and-paper,2021,231819,0,0,231819,231819
BEL,pulp-and-paper,2022,228913,0,0,228913,228914
BEL,pulp-and-paper,2023,228913,0,0,228913,228913
BEL,aluminum,2015,0,0,0,0,0
BEL,aluminum,2016,0,0,0,0,0
BEL,aluminum,2017,0,0,0,0,0
BEL,aluminum,2018,0,0,0,0,0
BEL,aluminum,2019,0,0,0,0,0
BEL,aluminum,2020,0,0,0,0,0
BEL,aluminum,2021,0,0,0,0,0
BEL,aluminum,2022,0,0,0,0,0
BEL,aluminum,2023,0,0,0,0,0
BEL,domestic-wastewater-treatment-and-discharge,2015,0,14526,2563,1094897,1873527
BEL,domestic-wastewater-treatment-and-discharge,2016,0,14734,2593,1108715,1898472
BEL,domestic-wastewater-treatment-and-discharge,2017,0,14867,2606,1115946,1912852
BEL,domestic-wastewater-treatment-and-discharge,2018,0,14995,2628,1125424,1929194
BEL,domestic-wastewater-treatment-and-discharge,2019,0,15187,2652,1137222,1951280
BEL,domestic-wastewater-treatment-and-discharge,2020,0,15388,2681,1150507,1975353
BEL,domestic-wastewater-treatment-and-discharge,2021,0,15508,2691,1156723,1987952
BEL,domestic-wastewater-treatment-and-discharge,2022,0,15697,2717,1168979,2010364
BEL,domestic-wastewater-treatment-and-discharge,2023,0,15793,2734,1176163,2022719
BEL,enteric-fermentation-cattle-operation,2015,0,111602,0,3035579,9017457
BEL,enteric-fermentation-cattle-operation,2016,0,114026,0,3101528,9213365
BEL,enteric-fermentation-cattle-operation,2017,0,113189,0,3078759,9145727
BEL,enteric-fermentation-cattle-operation,2018,0,112543,0,3061194,9093547
BEL,enteric-fermentation-cattle-operation,2019,0,110700,0,3011067,8944640
BEL,enteric-fermentation-cattle-operation,2020,0,107549,0,2925359,8690039
BEL,enteric-fermentation-cattle-operation,2021,0,106573,0,2898807,8611163
BEL,enteric-fermentation-cattle-operation,2022,0,106650,0,2900885,8617336
BEL,enteric-fermentation-cattle-operation,2023,0,106573,0,2898807,8611163
BEL,iron-mining,2015,0,0,0,0,0
BEL,iron-mining,2016,0,0,0,0,0
BEL,iron-mining,2017,0,0,0,0,0
BEL,iron-mining,2018,0,0,0,0,0
BEL,iron-mining,2019,0,0,0,0,0
BEL,iron-mining,2020,0,0,0,0,0
BEL,iron-mining,2021,0,0,0,0,0
BEL,iron-mining,2022,0,0,0,0,0
BEL,iron-mining,2023,0,0,0,0,0
BEL,bauxite-mining,2015,0,0,0,0,0
BEL,bauxite-mining,2016,0,0,0,0,0
BEL,bauxite-mining,2017,0,0,0,0,0
BEL,bauxite-mining,2018,0,0,0,0,0
BEL,bauxite-mining,2019,0,0,0,0,0
BEL,bauxite-mining,2020,0,0,0,0,0
BEL,bauxite-mining,2021,0,0,0,0,0
BEL,bauxite-mining,2022,0,0,0,0,0
BEL,bauxite-mining,2023,0,0,0,0,0
BEL,forest-land-clearing,2015,1113090,0,0,1113090,1113090
BEL,forest-land-clearing,2016,1543573,0,0,1543573,1543573
BEL,forest-land-clearing,2017,1413154,0,0,1413154,1413154
BEL,forest-land-clearing,2018,1560255,0,0,1560255,1560255
BEL,forest-land-clearing,2019,1746727,0,0,1746727,1746727
BEL,forest-land-clearing,2020,1825197,0,0,1825197,1825197
BEL,forest-land-clearing,2021,3376554,0,0,3376554,3376554
BEL,forest-land-clearing,2022,1825504,0,0,1825504,1825504
BEL,forest-land-clearing,2023,2888313,0,0,2888313,2888313
BEL,cement,2015,3388499,0,0,3388499,3388499
BEL,cement,2016,3377699,0,0,3377699,3377699
BEL,cement,2017,3949559,0,0,3949559,3949559
BEL,cement,2018,4074839,0,0,4074839,4074839
BEL,cement,2019,4242779,0,0,4242779,4242779
BEL,cement,2020,3509999,0,0,3509999,3509999
BEL,cement,2021,3963600,0,0,3963599,3963599
BEL,cement,2022,3942000,0,0,3942000,3942000
BEL,cement,2023,3942000,0,0,3942000,3942000
BEL,enteric-fermentation-cattle-pasture,2015,0,62810,0,1752415,5100219
BEL,enteric-fermentation-cattle-pasture,2016,0,60385,0,1684752,4903294
BEL,enteric-fermentation-cattle-pasture,2017,0,53960,0,1505511,4381632
BEL,enteric-fermentation-cattle-pasture,2018,0,55902,0,1559680,4539284
BEL,enteric-fermentation-cattle-pasture,2019,0,56843,0,1585939,4615708
BEL,enteric-fermentation-cattle-pasture,2020,0,57846,0,1613919,4697140
BEL,enteric-fermentation-cattle-pasture,2021,0,57355,0,1600215,4657258
BEL,enteric-fermentation-cattle-pasture,2022,0,58725,0,1638430,4768478
BEL,enteric-fermentation-cattle-pasture,2023,0,58040,0,1619338,4712914
BEL,oil-and-gas-transport,2015,0,0,0,0,0
BEL,oil-and-gas-transport,2016,0,0,0,0,0
BEL,oil-and-gas-transport,2017,0,0,0,0,0
BEL,oil-and-gas-transport,2018,0,0,0,0,0
BEL,oil-and-gas-transport,2019,0,0,0,0,0
BEL,oil-and-gas-transport,2020,0,0,0,0,0
BEL,oil-and-gas-transport,2021,0,0,0,0,0
BEL,oil-and-gas-transport,2022,0,0,0,0,0
BEL,oil-and-gas-transport,2023,0,0,0,0,0
BEL,synthetic-fertilizer-application,2015,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2016,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2017,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2018,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2019,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2020,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2021,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2022,0,0,3245,886085,886085
BEL,synthetic-fertilizer-application,2023,0,0,3209,876305,876305
BEL,glass,2015,2481651,182,2,2447506,2396127
BEL,glass,2016,2568235,167,2,2528326,2469122
BEL,glass,2017,2546472,183,2,2510176,2456516
BEL,glass,2018,2518034,255,3,2495707,2463809
BEL,glass,2019,2131294,242,3,2117462,2098106
BEL,glass,2020,1729979,234,2,1724701,1719759
BEL,glass,2021,1639285,294,4,1648743,1664459
BEL,glass,2022,1639285,288,4,1648551,1663902
BEL,glass,2023,1639285,288,4,1648551,1663902
BEL,shrubgrass-fires,2015,1011,0,0,1011,1011
BEL,shrubgrass-fires,2016,1246,0,0,1246,1246
BEL,shrubgrass-fires,2017,3311,0,0,3311,3311
BEL,shrubgrass-fires,2021,2655,0,0,2655,2655
BEL,shrubgrass-fires,2018,3183,0,0,3183,3183
BEL,shrubgrass-fires,2019,909,0,0,909,909
BEL,shrubgrass-fires,2020,816,0,0,816,816
BEL,shrubgrass-fires,2022,2655,0,0,2655,2655
BEL,shrubgrass-fires,2023,0,0,0,0,0
BEL,incineration-and-open-burning-of-waste,2015,1702,11847,0,332372,963827
BEL,incineration-and-open-burning-of-waste,2016,3159,15256,0,429060,1242228
BEL,incineration-and-open-burning-of-waste,2017,1669,15254,0,427389,1240433
BEL,incineration-and-open-burning-of-waste,2018,3749,15669,1,441225,1276418
BEL,incineration-and-open-burning-of-waste,2019,2835,15668,0,440200,1275317
BEL,incineration-and-open-burning-of-waste,2020,1590,15784,0,442110,1283440
BEL,incineration-and-open-burning-of-waste,2021,1568,16572,0,464058,1347363
BEL,incineration-and-open-burning-of-waste,2022,1546,17399,0,487103,1414477
BEL,incineration-and-open-burning-of-waste,2023,1546,17399,0,487103,1414477
BEL,manure-applied-to-soils,2015,0,0,3309,903602,903602
BEL,manure-applied-to-soils,2016,0,0,3211,876821,876821
BEL,manure-applied-to-soils,2017,0,0,3103,847282,847282
BEL,manure-applied-to-soils,2018,0,0,3188,870460,870460
BEL,manure-applied-to-soils,2019,0,0,3169,865218,865218
BEL,manure-applied-to-soils,2020,0,0,3201,873982,873982
BEL,manure-applied-to-soils,2021,0,0,3153,860878,860878
BEL,manure-applied-to-soils,2022,0,0,3153,860878,860878
BEL,manure-applied-to-soils,2023,0,0,3153,860878,860878
BEL,other-chemicals,2015,9430159,2072,17712,14323611,14434063
BEL,other-chemicals,2016,9368031,2057,17202,14121676,14231343
BEL,other-chemicals,2017,8709029,1954,17263,13476623,13580818
BEL,other-chemicals,2018,8644685,2065,17348,13438498,13548565
BEL,other-chemicals,2019,8429473,2141,17229,13192958,13307090
BEL,other-chemicals,2020,8592291,2186,17556,13446153,13562705
BEL,other-chemicals,2021,8755602,2290,18426,13849874,13971978
BEL,other-chemicals,2022,7754638,2022,16539,12326403,12434213
BEL,other-chemicals,2023,7754638,2022,16539,12326403,12434213
BEL,sand-quarrying,2015,0,0,0,0,0
BEL,sand-quarrying,2016,0,0,0,0,0
BEL,sand-quarrying,2017,0,0,0,0,0
BEL,sand-quarrying,2018,0,0,0,0,0
BEL,sand-quarrying,2019,0,0,0,0,0
BEL,sand-quarrying,2020,0,0,0,0,0
BEL,sand-quarrying,2021,0,0,0,0,0
