iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
BGR,iron-and-steel,2015,88508,0,0,88508,88508
BGR,iron-and-steel,2016,85900,0,0,85900,85900
BGR,iron-and-steel,2017,106275,0,0,106275,106275
BGR,iron-and-steel,2018,108557,0,0,108557,108557
BGR,iron-and-steel,2019,92241,0,0,92241,92241
BGR,iron-and-steel,2020,78859,0,0,78859,78859
BGR,iron-and-steel,2021,89324,0,0,89324,89324
BGR,iron-and-steel,2022,79739,0,0,79739,79739
BGR,iron-and-steel,2023,79739,0,0,79739,79739
BGR,other-onsite-fuel-usage,2015,0,0,0,0,0
BGR,other-onsite-fuel-usage,2016,0,0,0,0,0
BGR,other-onsite-fuel-usage,2017,22,0,0,24,24
BGR,other-onsite-fuel-usage,2018,3,0,0,3,3
BGR,other-onsite-fuel-usage,2019,172,0,0,190,191
BGR,other-onsite-fuel-usage,2020,122,0,0,135,135
BGR,other-onsite-fuel-usage,2021,128,0,0,142,142
BGR,other-onsite-fuel-usage,2022,141,0,0,156,157
BGR,other-onsite-fuel-usage,2023,141,0,0,156,157
BGR,sand-quarrying,2015,49,0,0,49,49
BGR,sand-quarrying,2016,44,0,0,44,44
BGR,sand-quarrying,2017,53,0,0,53,53
BGR,sand-quarrying,2018,55,0,0,55,55
BGR,sand-quarrying,2019,56,0,0,56,56
BGR,sand-quarrying,2020,59,0,0,59,59
BGR,sand-quarrying,2021,61,0,0,61,61
BGR,sand-quarrying,2022,64,0,0,64,64
BGR,sand-quarrying,2023,66,0,0,66,66
BGR,biological-treatment-of-solid-waste-and-biogenic,2015,0,1243,93,60178,126483
BGR,biological-treatment-of-solid-waste-and-biogenic,2016,0,1051,78,50890,106962
BGR,biological-treatment-of-solid-waste-and-biogenic,2017,0,951,71,46052,96794
BGR,biological-treatment-of-solid-waste-and-biogenic,2018,0,382,28,18486,38855
BGR,biological-treatment-of-solid-waste-and-biogenic,2019,0,746,55,36093,75861
BGR,biological-treatment-of-solid-waste-and-biogenic,2020,0,693,52,33544,70503
BGR,biological-treatment-of-solid-waste-and-biogenic,2021,0,583,43,28217,59307
BGR,biological-treatment-of-solid-waste-and-biogenic,2022,0,490,36,23736,49889
BGR,biological-treatment-of-solid-waste-and-biogenic,2023,0,490,36,23736,49889
BGR,crop-residues,2015,0,0,1852,505787,505787
BGR,crop-residues,2016,0,0,1917,523422,523422
BGR,crop-residues,2017,0,0,2047,559076,559076
BGR,crop-residues,2018,0,0,2119,578596,578596
BGR,crop-residues,2019,0,0,2309,630466,630466
BGR,crop-residues,2020,0,0,1828,499180,499180
BGR,crop-residues,2021,0,0,2475,675729,675729
BGR,crop-residues,2022,0,0,2475,675729,675729
BGR,crop-residues,2023,0,0,2475,675729,675729
BGR,domestic-shipping,2015,138993,14,7,141438,142215
BGR,domestic-shipping,2016,165135,16,8,168008,168898
BGR,domestic-shipping,2017,170344,18,9,173342,174300
BGR,domestic-shipping,2018,173572,21,9,176758,177872
BGR,domestic-shipping,2019,279703,28,14,284572,286075
BGR,domestic-shipping,2020,206424,22,10,210076,211254
BGR,domestic-shipping,2021,252363,25,13,256754,258106
BGR,domestic-shipping,2022,301791,33,16,307153,308912
BGR,domestic-shipping,2023,277771,28,14,282618,284129
BGR,enteric-fermentation-other,2015,0,14471,0,403768,1175126
BGR,enteric-fermentation-other,2016,0,14489,0,404251,1176531
BGR,enteric-fermentation-other,2017,0,14624,0,408012,1187476
BGR,enteric-fermentation-other,2018,0,14756,0,411703,1198219
BGR,enteric-fermentation-other,2019,0,13804,0,385134,1120892
BGR,enteric-fermentation-other,2020,0,14483,0,404081,1176035
BGR,enteric-fermentation-other,2021,0,13650,0,380837,1108388
BGR,enteric-fermentation-other,2022,0,13650,0,380837,1108388
BGR,enteric-fermentation-other,2023,0,13650,0,380837,1108388
BGR,lime,2015,762274,0,0,762274,762274
BGR,lime,2016,767413,0,0,767413,767413
BGR,lime,2017,775214,0,0,775214,775214
BGR,lime,2018,766733,0,0,766733,766733
BGR,lime,2019,701927,0,0,701927,701927
BGR,lime,2020,687877,0,0,687877,687877
BGR,lime,2021,810380,0,0,810380,810380
BGR,lime,2022,769441,0,0,769441,769441
BGR,lime,2023,769096,0,0,769096,769096
BGR,other-energy-use,2015,2220318,301,363,2328080,2344143
BGR,other-energy-use,2016,1750855,272,316,1844844,1859388
BGR,other-energy-use,2017,1230341,281,336,1330114,1345119
BGR,other-energy-use,2018,0,250,293,87033,100374
BGR,other-energy-use,2019,0,238,270,80477,93173
BGR,other-energy-use,2020,0,197,214,64114,74622
BGR,other-energy-use,2021,66667,243,276,148954,161946
BGR,other-energy-use,2022,312690,272,325,409036,423543
BGR,other-energy-use,2023,3848947,236,269,3929179,3941781
BGR,railways,2015,50150,2,19,55513,55663
BGR,railways,2016,40747,2,15,45104,45226
BGR,railways,2017,42029,2,16,46523,46649
BGR,railways,2018,34488,1,13,38175,38278
BGR,railways,2019,31438,1,12,34800,34893
BGR,railways,2020,34541,1,13,38234,38338
BGR,railways,2021,36359,2,14,40247,40355
BGR,railways,2022,39995,2,15,44272,44391
BGR,railways,2023,39995,2,15,44272,44391
BGR,chemicals,2015,1783467,0,0,1783467,1783467
BGR,chemicals,2016,1820739,0,0,1820739,1820739
BGR,chemicals,2017,1968553,0,0,1968553,1968553
BGR,chemicals,2018,1963927,0,0,1963927,1963927
BGR,chemicals,2019,1985710,0,0,1985710,1985710
BGR,chemicals,2020,1894045,0,0,1894045,1894045
BGR,chemicals,2021,1858207,0,0,1858207,1858207
BGR,chemicals,2022,1858207,0,0,1858207,1858207
BGR,chemicals,2023,1858207,0,0,1858207,1858207
BGR,enteric-fermentation-cattle-operation,2015,0,37203,0,1011940,3006058
BGR,enteric-fermentation-cattle-operation,2016,0,38281,0,1041264,3093169
BGR,enteric-fermentation-cattle-operation,2017,0,33671,0,915872,2720681
BGR,enteric-fermentation-cattle-operation,2018,0,30932,0,841374,2499378
BGR,enteric-fermentation-cattle-operation,2019,0,29349,0,798306,2371439
BGR,enteric-fermentation-cattle-operation,2020,0,30526,0,830334,2466581
BGR,enteric-fermentation-cattle-operation,2021,0,29913,0,813641,2416994
BGR,enteric-fermentation-cattle-operation,2022,0,28835,0,784331,2329924
BGR,enteric-fermentation-cattle-operation,2023,0,29913,0,813641,2416994
BGR,food-beverage-tobacco,2015,254673,47,7,258019,260541
BGR,food-beverage-tobacco,2016,237100,41,6,239955,242167
BGR,food-beverage-tobacco,2017,234214,42,2,235955,238229
BGR,food-beverage-tobacco,2018,236844,51,6,240068,242809
BGR,food-beverage-tobacco,2019,227206,61,4,230159,233445
BGR,food-beverage-tobacco,2020,219709,51,10,223878,226597
BGR,food-beverage-tobacco,2021,312979,73,7,316967,320861
BGR,food-beverage-tobacco,2022,261989,60,7,265589,268807
BGR,food-beverage-tobacco,2023,261989,60,7,265589,268807
BGR,other-fossil-fuel-operations,2015,0,5809,0,162076,471705
BGR,other-fossil-fuel-operations,2016,0,6007,0,167617,487831
BGR,other-fossil-fuel-operations,2017,0,6530,0,182195,530262
BGR,other-fossil-fuel-operations,2018,0,6372,0,177797,517459
BGR,other-fossil-fuel-operations,2019,0,6514,0,181766,529011
BGR,other-fossil-fuel-operations,2020,0,6562,0,183085,532851
BGR,other-fossil-fuel-operations,2021,100159,6564,0,283308,633196
BGR,other-fossil-fuel-operations,2022,0,6690,0,186660,543256
BGR,other-fossil-fuel-operations,2023,0,6743,0,188149,547588
BGR,water-reservoirs,2015,0,3886,0,108423,315556
BGR,water-reservoirs,2016,0,3897,0,108727,316439
BGR,water-reservoirs,2017,0,3884,0,108369,315399
BGR,water-reservoirs,2018,0,3313,0,92452,269071
BGR,water-reservoirs,2019,0,2686,0,74967,218184
BGR,water-reservoirs,2020,0,3097,0,86416,251505
BGR,water-reservoirs,2021,0,3319,0,92619,269560
BGR,water-reservoirs,2022,0,2960,0,82589,240368
BGR,water-reservoirs,2023,0,2836,0,79139,230327
BGR,electricity-generation,2015,25483839,0,0,25483839,25483839
BGR,electricity-generation,2016,22660136,0,0,22660136,22660136
BGR,electricity-generation,2017,24453942,0,0,24453942,24453942
BGR,electricity-generation,2018,22895363,0,0,22895363,22895363
BGR,electricity-generation,2019,21048947,0,0,21048947,21048947
BGR,electricity-generation,2020,17644996,0,0,17644996,17644996
BGR,electricity-generation,2021,21418572,0,0,21418572,21418572
BGR,electricity-generation,2022,24326735,0,0,24326735,24326735
BGR,electricity-generation,2023,16860841,0,0,16860841,16860841
BGR,net-wetland,2015,79865,0,0,79865,79865
BGR,net-wetland,2016,50509,0,0,50509,50509
BGR,net-wetland,2017,58296,0,0,58296,58296
BGR,net-wetland,2018,-69929,0,0,-69929,-69929
BGR,net-wetland,2019,13142,0,0,13142,13142
BGR,net-wetland,2020,47543,0,0,47543,47543
BGR,net-wetland,2021,-80423,0,0,-80423,-80423
BGR,net-wetland,2022,33222,0,0,33222,33222
BGR,net-wetland,2023,-21135,0,0,-21135,-21135
BGR,oil-and-gas-transport,2015,25599,190,0,31274,41311
BGR,oil-and-gas-transport,2016,23723,176,0,28982,38283
BGR,oil-and-gas-transport,2017,12905,96,0,15766,20825
BGR,oil-and-gas-transport,2018,8017,59,0,9794,12938
BGR,oil-and-gas-transport,2019,9197,68,0,11236,14842
BGR,oil-and-gas-transport,2020,12098,90,0,14781,19524
BGR,oil-and-gas-transport,2021,8931,66,0,10912,14414
BGR,oil-and-gas-transport,2022,6345,47,0,7752,10240
BGR,oil-and-gas-transport,2023,5425,40,0,6628,8755
BGR,wood-and-wood-products,2015,10905,5,9,13576,13865
BGR,wood-and-wood-products,2016,3787,4,8,6235,6454
BGR,wood-and-wood-products,2017,8313,5,8,10715,10982
BGR,wood-and-wood-products,2018,10773,6,9,13684,14049
BGR,wood-and-wood-products,2019,16971,10,10,20243,20801
BGR,wood-and-wood-products,2020,22501,10,12,26158,26703
BGR,wood-and-wood-products,2021,19058,9,13,22930,23454
BGR,wood-and-wood-products,2022,16174,9,13,20026,20515
BGR,wood-and-wood-products,2023,16174,9,13,20026,20515
BGR,coal-mining,2015,496387,27425,0,1261571,2723373
BGR,coal-mining,2016,496387,27425,0,1261571,2723373
BGR,coal-mining,2017,496387,27425,0,1261571,2723373
BGR,coal-mining,2018,496387,27425,0,1261571,2723373
BGR,coal-mining,2019,496387,27425,0,1261571,2723373
BGR,coal-mining,2020,496387,27425,0,1261571,2723373
BGR,coal-mining,2021,496387,27425,0,1261571,2723373
BGR,coal-mining,2022,626675,34393,0,1586261,3419451
BGR,coal-mining,2023,366100,20458,0,936880,2027295
BGR,other-mining-quarrying,2015,0,8,0,339,818
BGR,other-mining-quarrying,2016,0,7,0,304,727
BGR,other-mining-quarrying,2017,0,9,0,367,898
BGR,other-mining-quarrying,2018,0,9,0,349,866
BGR,other-mining-quarrying,2019,0,11,0,399,1014
BGR,other-mining-quarrying,2020,0,10,0,423,958
BGR,other-mining-quarrying,2021,0,11,1,652,1244
BGR,other-mining-quarrying,2022,0,8,0,336,813
BGR,other-mining-quarrying,2023,0,8,0,336,813
BGR,bauxite-mining,2015,0,0,0,0,0
BGR,bauxite-mining,2016,0,0,0,0,0
BGR,bauxite-mining,2017,0,0,0,0,0
BGR,bauxite-mining,2018,0,0,0,0,0
BGR,bauxite-mining,2019,0,0,0,0,0
BGR,bauxite-mining,2020,0,0,0,0,0
BGR,bauxite-mining,2021,0,0,0,0,0
BGR,bauxite-mining,2022,0,0,0,0,0
BGR,bauxite-mining,2023,0,0,0,0,0
BGR,fluorinated-gases,2015,0,0,0,1394869,3233062
BGR,fluorinated-gases,2016,0,0,0,1586591,3652946
BGR,fluorinated-gases,2017,0,0,0,2036351,4607389
BGR,fluorinated-gases,2018,0,0,0,2505368,5580177
BGR,fluorinated-gases,2019,0,0,0,2026012,4312306
BGR,fluorinated-gases,2020,0,0,0,2172486,4532093
BGR,fluorinated-gases,2021,0,0,0,2350232,4798017
BGR,fluorinated-gases,2022,0,0,0,2350232,4798017
BGR,fluorinated-gases,2023,0,0,0,2350232,4798017
BGR,net-forest-land,2015,308675,0,0,308675,308675
BGR,net-forest-land,2016,11132594,0,0,11132594,11132594
BGR,net-forest-land,2017,21456085,0,0,21456085,21456085
BGR,net-forest-land,2018,-29171875,0,0,-29171875,-29171875
BGR,net-forest-land,2019,12726375,0,0,12726375,12726375
BGR,net-forest-land,2020,-10772397,0,0,-10772397,-10772397
BGR,net-forest-land,2021,-2416867,0,0,-2416867,-2416867
BGR,net-forest-land,2022,-9457650,0,0,-9457650,-9457650
BGR,net-forest-land,2023,1426839,0,0,1426839,1426839
BGR,road-transportation,2015,14274214,467,261,14359443,14384070
BGR,road-transportation,2016,14538555,475,266,14625362,14650445
BGR,road-transportation,2017,14673932,480,268,14761548,14786864
BGR,road-transportation,2018,15146867,495,277,15237306,15263439
BGR,road-transportation,2019,15766457,516,288,15860596,15887797
BGR,road-transportation,2020,14905664,487,272,14994662,15020379
BGR,road-transportation,2021,16595654,505,337,16702744,16729365
BGR,road-transportation,2022,16160654,567,262,16249146,16279038
BGR,road-transportation,2023,15379126,632,169,15444381,15477708
BGR,textiles-leather-apparel,2015,60331,9,1,60889,61369
BGR,textiles-leather-apparel,2016,56435,8,0,56860,57309
BGR,textiles-leather-apparel,2017,54690,9,0,55117,55603
BGR,textiles-leather-apparel,2018,47057,9,0,47497,47994
BGR,textiles-leather-apparel,2019,44629,11,0,45114,45704
BGR,textiles-leather-apparel,2020,39728,8,0,40079,40517
BGR,textiles-leather-apparel,2021,44289,9,0,44649,45138
BGR,textiles-leather-apparel,2022,38419,7,0,38733,39135
BGR,textiles-leather-apparel,2023,38419,7,0,38733,39135
BGR,forest-land-clearing,2015,2651984,0,0,2651984,2651984
BGR,forest-land-clearing,2016,2594659,0,0,2594659,2594659
BGR,forest-land-clearing,2017,2462382,0,0,2462382,2462382
BGR,forest-land-clearing,2018,3194290,0,0,3194290,3194290
BGR,forest-land-clearing,2019,1460459,0,0,1460459,1460459
BGR,forest-land-clearing,2020,1624465,0,0,1624465,1624465
BGR,forest-land-clearing,2021,2467585,0,0,2467585,2467585
BGR,forest-land-clearing,2022,1357584,0,0,1357584,1357584
BGR,forest-land-clearing,2023,1989325,0,0,1989325,1989325
BGR,cement,2015,1141559,0,0,1141559,1141559
BGR,cement,2016,1076759,0,0,1076759,1076759
BGR,cement,2017,1143179,0,0,1143179,1143179
BGR,cement,2018,1258739,0,0,1258739,1258739
BGR,cement,2019,1326239,0,0,1326239,1326239
BGR,cement,2020,1079999,0,0,1079999,1079999
BGR,cement,2021,1550439,0,0,1550439,1550439
BGR,cement,2022,1596223,0,0,1596223,1596223
BGR,cement,2023,1722979,0,0,1722979,1722979
BGR,copper-mining,2015,179786,0,0,179786,179786
BGR,copper-mining,2016,176842,0,0,176842,176842
BGR,copper-mining,2017,182931,0,0,182931,182931
BGR,copper-mining,2018,175008,0,0,175008,175008
BGR,copper-mining,2019,177729,0,0,177729,177729
BGR,copper-mining,2020,197985,0,0,197985,197985
BGR,copper-mining,2021,164180,0,0,164180,164180
BGR,copper-mining,2022,126916,0,0,126915,126916
BGR,copper-mining,2023,119608,0,0,119608,119608
BGR,domestic-wastewater-treatment-and-discharge,2015,0,7488,1206,532946,934354
BGR,domestic-wastewater-treatment-and-discharge,2016,0,7187,1214,526959,912199
BGR,domestic-wastewater-treatment-and-discharge,2017,0,6851,1215,518060,885306
BGR,domestic-wastewater-treatment-and-discharge,2018,0,6772,1207,513908,876893
BGR,domestic-wastewater-treatment-and-discharge,2019,0,6695,1200,509942,868815
BGR,domestic-wastewater-treatment-and-discharge,2020,0,6642,1198,507749,863773
BGR,domestic-wastewater-treatment-and-discharge,2021,0,6541,1186,501917,852558
BGR,domestic-wastewater-treatment-and-discharge,2022,0,6464,1179,497832,844339
BGR,domestic-wastewater-treatment-and-discharge,2023,0,6435,1174,495564,840492
BGR,forest-land-fires,2015,222982,0,0,222982,222982
BGR,forest-land-fires,2016,132164,0,0,132164,132164
BGR,forest-land-fires,2017,282962,0,0,282962,282962
BGR,forest-land-fires,2018,64093,0,0,64093,64093
BGR,forest-land-fires,2019,591488,0,0,591488,591488
BGR,forest-land-fires,2020,169910,0,0,169910,169910
BGR,forest-land-fires,2021,91162,0,0,91162,91162
BGR,forest-land-fires,2022,188692,0,0,188692,188692
BGR,forest-land-fires,2023,243945,0,0,243945,243945
BGR,heat-plants,2015,503709,0,0,503709,503709
BGR,heat-plants,2016,489471,0,0,489471,489471
BGR,heat-plants,2017,585674,0,0,585674,585674
BGR,heat-plants,2018,540425,0,0,540425,540425
BGR,heat-plants,2019,400946,0,0,400946,400946
BGR,heat-plants,2020,431043,0,0,431043,431043
BGR,heat-plants,2021,411204,0,0,411204,411204
BGR,heat-plants,2022,451626,0,0,451626,451626
BGR,heat-plants,2023,451626,0,0,451626,451626
BGR,incineration-and-open-burning-of-waste,2015,5702,48826,0,1368101,3970543
BGR,incineration-and-open-burning-of-waste,2016,6981,53315,0,1494668,4336397
BGR,incineration-and-open-burning-of-waste,2017,8391,53316,0,1496125,4337875
BGR,incineration-and-open-burning-of-waste,2018,3785,53729,0,1502931,4366706
BGR,incineration-and-open-burning-of-waste,2019,7220,53730,0,1506479,4370305
BGR,incineration-and-open-burning-of-waste,2020,6465,55809,0,1563708,4538342
BGR,incineration-and-open-burning-of-waste,2021,6618,57205,0,1602830,4651902
BGR,incineration-and-open-burning-of-waste,2022,6775,58637,0,1642931,4768304
BGR,incineration-and-open-burning-of-waste,2023,6775,58637,0,1642931,4768304
BGR,iron-mining,2015,0,0,0,0,0
BGR,iron-mining,2016,0,0,0,0,0
BGR,iron-mining,2017,0,0,0,0,0
BGR,iron-mining,2018,0,0,0,0,0
BGR,iron-mining,2019,0,0,0,0,0
BGR,iron-mining,2020,0,0,0,0,0
BGR,iron-mining,2021,0,0,0,0,0
BGR,iron-mining,2022,0,0,0,0,0
BGR,iron-mining,2023,0,0,0,0,0
BGR,manure-management-cattle-operation,2015,0,4800,1,131106,388427
BGR,manure-management-cattle-operation,2016,0,4910,2,134135,397347
BGR,manure-management-cattle-operation,2017,0,3960,1,108196,320477
BGR,manure-management-cattle-operation,2018,0,3990,1,108974,322853
BGR,manure-management-cattle-operation,2019,0,3780,1,103252,305893
BGR,manure-management-cattle-operation,2020,0,3938,1,107565,318682
BGR,manure-management-cattle-operation,2021,0,3499,1,95617,283193
BGR,manure-management-cattle-operation,2022,0,3704,1,101170,299705
BGR,manure-management-cattle-operation,2023,0,4082,1,111481,330321
BGR,pulp-and-paper,2015,78376,0,0,78376,78376
BGR,pulp-and-paper,2016,78376,0,0,78376,78376
BGR,pulp-and-paper,2017,136982,0,0,136982,136982
BGR,pulp-and-paper,2018,141115,0,0,141115,141115
BGR,pulp-and-paper,2019,138734,0,0,138734,138734
BGR,pulp-and-paper,2020,121980,0,0,121980,121980
BGR,pulp-and-paper,2021,121980,0,0,121980,121980
BGR,pulp-and-paper,2022,121980,0,0,121980,121980
BGR,pulp-and-paper,2023,121980,0,0,121980,121980
BGR,solid-fuel-transformation,2015,0,1877,0,52382,152454
BGR,solid-fuel-transformation,2016,0,0,0,0,0
BGR,solid-fuel-transformation,2017,0,1058,0,29527,85935
BGR,solid-fuel-transformation,2018,165959,0,0,165959,165959
BGR,solid-fuel-transformation,2019,426542,0,0,426542,426542
BGR,solid-fuel-transformation,2020,572975,0,0,572975,572975
BGR,solid-fuel-transformation,2021,710222,0,0,710222,710222
BGR,solid-fuel-transformation,2022,708944,0,0,708944,708944
BGR,solid-fuel-transformation,2023,969519,9301,0,1229044,1724839
BGR,oil-and-gas-production,2015,28257,1056,0,57747,114082
BGR,oil-and-gas-production,2016,26186,979,0,53515,105721
BGR,oil-and-gas-production,2017,14245,532,0,29112,57511
BGR,oil-and-gas-production,2018,8849,331,0,18086,35729
BGR,oil-and-gas-production,2019,10152,379,0,20748,40989
BGR,oil-and-gas-production,2020,13355,499,0,27294,53919
BGR,oil-and-gas-production,2021,9859,368,0,20150,39805
BGR,oil-and-gas-production,2022,7004,261,0,14315,28279
BGR,oil-and-gas-production,2023,5988,224,0,12240,24179
BGR,international-shipping,2015,98285,13,5,100131,100827
BGR,international-shipping,2016,98775,13,5,100665,101403
BGR,international-shipping,2017,119043,17,6,121361,122295
BGR,international-shipping,2018,161250,24,9,164425,165731
BGR,international-shipping,2019,169237,26,9,172602,174011
BGR,international-shipping,2020,151259,24,8,154282,155559
BGR,international-shipping,2021,159221,25,9,162406,163764
BGR,international-shipping,2022,156339,24,8,159469,160796
BGR,international-shipping,2023,150655,23,8,153654,154904
BGR,manure-management-other,2015,0,4356,175,169569,401776
