iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
HRV,other-manufacturing,2015,572485,17,60,589466,590392
HRV,other-manufacturing,2016,566413,13,27,574223,574966
HRV,other-manufacturing,2017,575491,17,24,582793,583704
HRV,other-manufacturing,2018,582853,17,16,587743,588685
HRV,other-manufacturing,2019,590820,18,16,595872,596836
HRV,other-manufacturing,2020,571483,19,18,577085,578150
HRV,other-manufacturing,2021,631563,22,18,637285,638496
HRV,other-manufacturing,2022,632711,23,18,638427,639672
HRV,other-manufacturing,2023,633278,23,18,638995,640239
HRV,solid-fuel-transformation,2015,166,0,0,166,166
HRV,solid-fuel-transformation,2016,0,0,0,0,0
HRV,solid-fuel-transformation,2017,0,0,0,0,0
HRV,solid-fuel-transformation,2018,0,0,0,0,0
HRV,solid-fuel-transformation,2019,0,0,0,0,0
HRV,solid-fuel-transformation,2020,0,0,0,0,0
HRV,solid-fuel-transformation,2021,0,0,0,0,0
HRV,solid-fuel-transformation,2022,0,0,0,0,0
HRV,solid-fuel-transformation,2023,0,0,0,0,0
HRV,lime,2015,212966,0,0,212966,212966
HRV,lime,2016,190064,0,0,190064,190064
HRV,lime,2017,146742,0,0,146742,146742
HRV,lime,2018,149907,0,0,149907,149907
HRV,lime,2019,176423,0,0,176423,176423
HRV,lime,2020,201020,0,0,201020,201020
HRV,lime,2021,186156,0,0,186156,186156
HRV,lime,2022,187952,0,0,187952,187952
HRV,lime,2023,187981,0,0,187981,187981
HRV,non-residential-onsite-fuel-usage,2015,348498,2121,44,423853,535671
HRV,non-residential-onsite-fuel-usage,2016,358156,2066,43,431633,540531
HRV,non-residential-onsite-fuel-usage,2017,362523,2000,42,433812,539246
HRV,non-residential-onsite-fuel-usage,2018,352893,1930,42,422066,523808
HRV,non-residential-onsite-fuel-usage,2019,340040,1876,41,407385,506294
HRV,non-residential-onsite-fuel-usage,2020,347897,1905,43,416438,516859
HRV,non-residential-onsite-fuel-usage,2021,336151,1715,42,398738,489135
HRV,non-residential-onsite-fuel-usage,2022,324199,1713,43,387123,477419
HRV,non-residential-onsite-fuel-usage,2023,326387,1723,43,389711,480550
HRV,domestic-shipping,2015,502289,60,27,511441,514664
HRV,domestic-shipping,2016,651739,77,35,663547,667660
HRV,domestic-shipping,2017,720500,75,37,733044,737039
HRV,domestic-shipping,2018,875947,85,45,890916,895471
HRV,domestic-shipping,2019,962308,95,50,978814,983887
HRV,domestic-shipping,2020,769459,68,39,782292,785947
HRV,domestic-shipping,2021,1315069,121,68,1337244,1343707
HRV,domestic-shipping,2022,1467968,130,75,1492497,1499448
HRV,domestic-shipping,2023,1689736,129,85,1716968,1723856
HRV,iron-mining,2015,0,0,0,0,0
HRV,iron-mining,2016,0,0,0,0,0
HRV,iron-mining,2017,0,0,0,0,0
HRV,iron-mining,2018,0,0,0,0,0
HRV,iron-mining,2019,0,0,0,0,0
HRV,iron-mining,2020,0,0,0,0,0
HRV,iron-mining,2021,0,0,0,0,0
HRV,iron-mining,2022,0,0,0,0,0
HRV,iron-mining,2023,0,0,0,0,0
HRV,residential-onsite-fuel-usage,2015,2290457,12273,331,2746794,3393614
HRV,residential-onsite-fuel-usage,2016,2347468,11951,326,2792723,3422551
HRV,residential-onsite-fuel-usage,2017,2367909,11580,321,2800859,3411134
HRV,residential-onsite-fuel-usage,2018,2302928,11153,322,2723398,3311189
HRV,residential-onsite-fuel-usage,2019,2229140,10841,317,2638937,3210275
HRV,residential-onsite-fuel-usage,2020,2286712,11009,328,2704477,3284670
HRV,residential-onsite-fuel-usage,2021,2239771,9915,329,2625070,3147596
HRV,residential-onsite-fuel-usage,2022,2191122,9910,343,2580350,3102628
HRV,residential-onsite-fuel-usage,2023,2204837,9982,346,2597010,3123093
HRV,manure-management-other,2015,0,8325,159,275833,719598
HRV,manure-management-other,2016,0,8381,159,277466,724195
HRV,manure-management-other,2017,0,8125,157,269682,702793
HRV,manure-management-other,2018,0,8214,160,272970,710798
HRV,manure-management-other,2019,0,8167,163,272615,707937
HRV,manure-management-other,2020,0,8268,165,275981,716692
HRV,manure-management-other,2021,0,7805,155,260372,676427
HRV,manure-management-other,2022,0,7805,155,260372,676427
HRV,manure-management-other,2023,0,7805,155,260372,676427
HRV,other-chemicals,2015,206206,93,3102,1055767,1060774
HRV,other-chemicals,2016,4703,85,2849,784871,789418
HRV,other-chemicals,2017,282867,96,2905,1078865,1083983
HRV,other-chemicals,2018,235016,93,2952,1043639,1048635
HRV,other-chemicals,2019,379144,96,2902,1174212,1179366
HRV,other-chemicals,2020,230184,109,3078,1073602,1079420
HRV,other-chemicals,2021,0,89,2807,768883,773650
HRV,other-chemicals,2022,0,85,2536,694838,699403
HRV,other-chemicals,2023,0,85,2536,694838,699403
HRV,oil-and-gas-transport,2015,264548,1968,0,323199,426919
HRV,oil-and-gas-transport,2016,272715,2028,0,333176,440098
HRV,oil-and-gas-transport,2017,272009,2023,0,332313,438958
HRV,oil-and-gas-transport,2018,267345,1988,0,326616,431433
HRV,oil-and-gas-transport,2019,288530,2146,0,352497,465620
HRV,oil-and-gas-transport,2020,246056,1830,0,300606,397077
HRV,oil-and-gas-transport,2021,225083,1674,0,274983,363231
HRV,oil-and-gas-transport,2022,221670,1649,0,270814,357723
HRV,oil-and-gas-transport,2023,205805,1531,0,251432,332121
HRV,wetland-fires,2015,1769,0,0,1769,1769
HRV,wetland-fires,2016,4767,0,0,4767,4767
HRV,wetland-fires,2017,946,0,0,946,946
HRV,wetland-fires,2018,690,0,0,690,690
HRV,wetland-fires,2019,718,0,0,718,718
HRV,wetland-fires,2020,8048,0,0,8048,8048
HRV,wetland-fires,2021,71,0,0,71,71
HRV,wetland-fires,2022,29,0,0,29,29
HRV,wetland-fires,2023,169,0,0,169,169
HRV,biological-treatment-of-solid-waste-and-biogenic,2015,0,152,11,7383,15518
HRV,biological-treatment-of-solid-waste-and-biogenic,2016,0,198,14,9622,20225
HRV,biological-treatment-of-solid-waste-and-biogenic,2017,0,172,12,8325,17498
HRV,biological-treatment-of-solid-waste-and-biogenic,2018,0,207,15,10026,21073
HRV,biological-treatment-of-solid-waste-and-biogenic,2019,0,259,19,12546,26369
HRV,biological-treatment-of-solid-waste-and-biogenic,2020,0,392,29,18976,39884
HRV,biological-treatment-of-solid-waste-and-biogenic,2021,0,440,33,21294,44757
HRV,biological-treatment-of-solid-waste-and-biogenic,2022,0,493,37,23896,50226
HRV,biological-treatment-of-solid-waste-and-biogenic,2023,0,493,37,23896,50226
HRV,forest-land-degradation,2015,0,0,0,0,0
HRV,forest-land-degradation,2016,0,0,0,0,0
HRV,forest-land-degradation,2017,0,0,0,0,0
HRV,forest-land-degradation,2018,0,0,0,0,0
HRV,forest-land-degradation,2019,0,0,0,0,0
HRV,forest-land-degradation,2020,0,0,0,0,0
HRV,forest-land-degradation,2021,0,0,0,0,0
HRV,forest-land-degradation,2022,0,0,0,0,0
HRV,forest-land-degradation,2023,0,0,0,0,0
HRV,textiles-leather-apparel,2015,29754,4,0,29897,30122
HRV,textiles-leather-apparel,2016,29677,3,0,29791,29957
HRV,textiles-leather-apparel,2017,29382,3,0,29510,29694
HRV,textiles-leather-apparel,2018,26922,3,0,27049,27225
HRV,textiles-leather-apparel,2019,28053,3,0,28187,28376
HRV,textiles-leather-apparel,2020,22354,3,0,22479,22670
HRV,textiles-leather-apparel,2021,23043,3,0,23172,23369
HRV,textiles-leather-apparel,2022,23737,3,0,23870,24074
HRV,textiles-leather-apparel,2023,23737,3,0,23870,24074
HRV,forest-land-fires,2015,2549513,0,0,2549513,2549513
HRV,forest-land-fires,2016,129986,0,0,129986,129986
HRV,forest-land-fires,2017,486062,0,0,486062,486062
HRV,forest-land-fires,2018,8915,0,0,8915,8915
HRV,forest-land-fires,2019,963065,0,0,963065,963065
HRV,forest-land-fires,2020,15667075,0,0,15667075,15667075
HRV,forest-land-fires,2021,86860,0,0,86860,86860
HRV,forest-land-fires,2022,305644,0,0,305644,305644
HRV,forest-land-fires,2023,12595,0,0,12595,12595
HRV,other-fossil-fuel-operations,2015,280753,21240,0,873367,2005495
HRV,other-fossil-fuel-operations,2016,79800,19010,0,610197,1623465
HRV,other-fossil-fuel-operations,2017,30513,16355,0,486838,1358600
HRV,other-fossil-fuel-operations,2018,0,12382,0,345480,1005483
HRV,other-fossil-fuel-operations,2019,0,7787,0,217265,632328
HRV,other-fossil-fuel-operations,2020,0,6818,0,190245,553689
HRV,other-fossil-fuel-operations,2021,0,6174,0,172281,501407
HRV,other-fossil-fuel-operations,2022,0,3328,0,92864,270271
HRV,other-fossil-fuel-operations,2023,0,4092,0,114172,332286
HRV,industrial-wastewater-treatment-and-discharge,2015,0,2226,84,83609,202972
HRV,industrial-wastewater-treatment-and-discharge,2016,0,2291,79,83917,206726
HRV,industrial-wastewater-treatment-and-discharge,2017,0,2135,79,79809,194297
HRV,industrial-wastewater-treatment-and-discharge,2018,0,2337,96,90000,215281
HRV,industrial-wastewater-treatment-and-discharge,2019,0,2342,114,95041,220624
HRV,industrial-wastewater-treatment-and-discharge,2020,0,2372,94,90471,217648
HRV,industrial-wastewater-treatment-and-discharge,2021,0,2284,105,90974,213442
HRV,industrial-wastewater-treatment-and-discharge,2022,0,2143,91,83202,198119
HRV,industrial-wastewater-treatment-and-discharge,2023,0,2143,91,83202,198119
HRV,oil-and-gas-refining,2015,555226,36,5,562673,562717
HRV,oil-and-gas-refining,2016,584451,37,5,592290,592337
HRV,oil-and-gas-refining,2017,681763,44,6,690907,690961
HRV,oil-and-gas-refining,2018,755269,48,7,765399,765459
HRV,oil-and-gas-refining,2019,452552,20,3,457117,457161
HRV,oil-and-gas-refining,2020,462949,21,4,467618,467663
HRV,oil-and-gas-refining,2021,479958,22,4,484799,484846
HRV,oil-and-gas-refining,2022,511793,23,4,516954,517004
HRV,oil-and-gas-refining,2023,715184,32,6,722397,722466
HRV,cropland-fires,2015,25858,46,1,27470,29926
HRV,cropland-fires,2016,33058,58,1,35119,38259
HRV,cropland-fires,2017,23979,42,1,25474,27752
HRV,cropland-fires,2018,31756,56,1,33736,36752
HRV,cropland-fires,2019,30573,54,1,32478,35383
HRV,cropland-fires,2020,33766,60,1,35871,39078
HRV,cropland-fires,2021,28784,51,1,30578,33312
HRV,cropland-fires,2022,27905,49,1,29645,32296
HRV,cropland-fires,2023,27905,49,1,29645,32296
HRV,food-beverage-tobacco,2015,325963,34,2,327542,329368
HRV,food-beverage-tobacco,2016,347268,29,2,348745,350341
HRV,food-beverage-tobacco,2017,322176,31,2,323745,325430
HRV,food-beverage-tobacco,2018,312233,34,2,313883,315710
HRV,food-beverage-tobacco,2019,315702,37,2,317461,319453
HRV,food-beverage-tobacco,2020,282346,39,2,284120,286222
HRV,food-beverage-tobacco,2021,237432,34,2,239053,240900
HRV,food-beverage-tobacco,2022,245405,35,2,247067,248977
HRV,food-beverage-tobacco,2023,245405,35,2,247067,248977
HRV,other-metals,2015,0,0,0,40,82
HRV,other-metals,2016,13841,0,0,13880,13916
HRV,other-metals,2017,23715,2,0,23809,23950
HRV,other-metals,2018,12309,3,0,12431,12623
HRV,other-metals,2019,21622,3,0,21752,21957
HRV,other-metals,2020,22872,4,0,23009,23230
HRV,other-metals,2021,10013,4,0,10173,10438
HRV,other-metals,2022,12646,5,0,12811,13085
HRV,other-metals,2023,5588,5,0,5753,6027
HRV,synthetic-fertilizer-application,2015,0,0,2234,610083,610083
HRV,synthetic-fertilizer-application,2016,0,0,2234,610083,610083
HRV,synthetic-fertilizer-application,2017,0,0,2377,649180,649180
HRV,synthetic-fertilizer-application,2018,0,0,2503,683574,683574
HRV,synthetic-fertilizer-application,2019,0,0,2189,597678,597678
HRV,synthetic-fertilizer-application,2020,0,0,2800,764639,764639
HRV,synthetic-fertilizer-application,2021,0,0,2647,722658,722658
HRV,synthetic-fertilizer-application,2022,0,0,2182,595866,595866
HRV,synthetic-fertilizer-application,2023,0,0,2184,596460,596460
HRV,incineration-and-open-burning-of-waste,2015,30,520,0,14566,42334
HRV,incineration-and-open-burning-of-waste,2016,33,697,0,19489,56656
HRV,incineration-and-open-burning-of-waste,2017,0,697,0,19454,56620
HRV,incineration-and-open-burning-of-waste,2018,0,697,0,19457,56628
HRV,incineration-and-open-burning-of-waste,2019,0,697,0,19457,56628
HRV,incineration-and-open-burning-of-waste,2020,0,747,0,20864,60723
HRV,incineration-and-open-burning-of-waste,2021,0,793,0,22130,64407
HRV,incineration-and-open-burning-of-waste,2022,0,841,0,23472,68315
HRV,incineration-and-open-burning-of-waste,2023,0,841,0,23472,68315
HRV,net-wetland,2015,119439,0,0,119439,119439
HRV,net-wetland,2016,-6391,0,0,-6391,-6391
HRV,net-wetland,2017,22839,0,0,22839,22839
HRV,net-wetland,2018,19630,0,0,19630,19630
HRV,net-wetland,2019,-52768,0,0,-52768,-52768
HRV,net-wetland,2020,43953,0,0,43953,43953
HRV,net-wetland,2021,-37065,0,0,-37065,-37065
HRV,net-wetland,2022,9596,0,0,9596,9596
HRV,net-wetland,2023,-9288,0,0,-9288,-9288
HRV,other-energy-use,2015,92185,89,33,103824,108614
HRV,other-energy-use,2016,115132,101,36,127956,133362
HRV,other-energy-use,2017,224625,134,22,234460,241602
HRV,other-energy-use,2018,63430,106,20,71876,77558
HRV,other-energy-use,2019,3813,115,22,13231,19405
HRV,other-energy-use,2020,63937,136,18,72751,80016
HRV,other-energy-use,2021,0,124,18,8412,15057
HRV,other-energy-use,2022,0,113,17,8011,14036
HRV,other-energy-use,2023,0,118,16,7840,14169
HRV,other-mining-quarrying,2015,0,0,0,8,10
HRV,other-mining-quarrying,2016,0,0,0,7,7
HRV,other-mining-quarrying,2017,0,0,0,7,7
HRV,other-mining-quarrying,2018,0,0,0,15,17
HRV,other-mining-quarrying,2019,0,0,0,16,20
HRV,other-mining-quarrying,2020,1186,0,0,1209,1212
HRV,other-mining-quarrying,2021,3797,0,0,3829,3834
HRV,other-mining-quarrying,2022,3210,0,0,3241,3247
HRV,other-mining-quarrying,2023,2807,0,0,2838,2844
HRV,other-onsite-fuel-usage,2015,0,0,0,0,0
HRV,other-onsite-fuel-usage,2016,0,0,0,0,0
HRV,other-onsite-fuel-usage,2017,0,0,0,0,0
HRV,other-onsite-fuel-usage,2018,0,0,0,0,0
HRV,other-onsite-fuel-usage,2019,0,0,0,0,0
HRV,other-onsite-fuel-usage,2020,0,0,0,0,0
HRV,other-onsite-fuel-usage,2021,0,0,0,0,0
HRV,other-onsite-fuel-usage,2022,0,0,0,0,0
HRV,other-onsite-fuel-usage,2023,0,0,0,0,0
HRV,removals,2015,-6638506,0,0,-6638506,-6638506
HRV,removals,2016,-5947619,0,0,-5947619,-5947619
HRV,removals,2017,30082637,0,0,30082637,30082637
HRV,removals,2018,-24172431,0,0,-24172431,-24172431
HRV,removals,2019,-7479462,0,0,-7479462,-7479462
HRV,removals,2020,-21400245,0,0,-21400245,-21400245
HRV,removals,2021,730117,0,0,730117,730117
HRV,removals,2022,-3015393,0,0,-3015393,-3015393
HRV,removals,2023,-12774481,0,0,-12774481,-12774481
HRV,copper-mining,2015,0,0,0,0,0
HRV,copper-mining,2016,0,0,0,0,0
HRV,copper-mining,2017,0,0,0,0,0
HRV,copper-mining,2018,0,0,0,0,0
HRV,copper-mining,2019,0,0,0,0,0
HRV,copper-mining,2020,0,0,0,0,0
HRV,copper-mining,2021,0,0,0,0,0
HRV,copper-mining,2022,0,0,0,0,0
HRV,copper-mining,2023,0,0,0,0,0
HRV,domestic-wastewater-treatment-and-discharge,2015,0,10147,696,466205,1010088
HRV,domestic-wastewater-treatment-and-discharge,2016,0,10049,691,462238,1000902
HRV,domestic-wastewater-treatment-and-discharge,2017,0,9873,681,454677,983900
HRV,domestic-wastewater-treatment-and-discharge,2018,0,9724,674,448537,969791
HRV,domestic-wastewater-treatment-and-discharge,2019,0,9610,668,444000,959123
HRV,domestic-wastewater-treatment-and-discharge,2020,0,9543,666,441567,953101
HRV,domestic-wastewater-treatment-and-discharge,2021,0,9419,661,436756,941616
HRV,domestic-wastewater-treatment-and-discharge,2022,0,9380,658,434892,937701
HRV,domestic-wastewater-treatment-and-discharge,2023,0,9353,656,433641,935004
HRV,solid-waste-disposal,2015,0,41180,0,1120110,3327388
HRV,solid-waste-disposal,2016,0,43574,0,1185231,3520836
HRV,solid-waste-disposal,2017,0,42896,0,1166787,3466044
HRV,solid-waste-disposal,2018,0,41318,0,1123876,3338573
HRV,solid-waste-disposal,2019,0,38473,0,1046471,3108636
HRV,solid-waste-disposal,2020,0,34813,0,946929,2812937
HRV,solid-waste-disposal,2021,0,33540,0,912291,2710042
HRV,solid-waste-disposal,2022,0,33540,0,912291,2710042
HRV,solid-waste-disposal,2023,0,33818,0,919854,2732508
HRV,shrubgrass-fires,2015,185892,0,0,185892,185892
HRV,shrubgrass-fires,2016,22041,0,0,22041,22041
HRV,shrubgrass-fires,2017,226421,0,0,226421,226421
HRV,shrubgrass-fires,2018,4164,0,0,4164,4164
HRV,shrubgrass-fires,2019,74084,0,0,74084,74084
HRV,shrubgrass-fires,2020,135262,0,0,135262,135262
