iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
CYP,domestic-shipping,2015,153115,13,7,155657,156350
CYP,domestic-shipping,2016,186126,13,9,189106,189832
CYP,domestic-shipping,2017,261734,16,13,265817,266717
CYP,domestic-shipping,2018,304136,23,15,309046,310273
CYP,domestic-shipping,2019,264005,16,13,268077,268935
CYP,domestic-shipping,2020,375750,33,19,382049,383822
CYP,domestic-shipping,2021,695174,82,37,707824,712188
CYP,domestic-shipping,2022,680330,68,35,692083,695691
CYP,domestic-shipping,2023,537597,30,26,545766,547399
CYP,international-aviation,2015,776537,5,21,782643,782930
CYP,international-aviation,2016,848316,5,23,854987,855300
CYP,international-aviation,2017,949214,6,26,956678,957028
CYP,international-aviation,2018,1053412,7,29,1061695,1062084
CYP,international-aviation,2019,1024626,7,28,1032683,1033062
CYP,international-aviation,2020,385527,2,10,388559,388701
CYP,international-aviation,2021,520911,3,14,525007,525199
CYP,international-aviation,2022,843090,5,23,849719,850031
CYP,international-aviation,2023,984479,6,27,992220,992583
CYP,wood-and-wood-products,2015,0,0,0,0,0
CYP,wood-and-wood-products,2016,0,0,0,0,0
CYP,wood-and-wood-products,2017,0,0,0,0,0
CYP,wood-and-wood-products,2018,0,0,0,0,0
CYP,wood-and-wood-products,2019,0,0,0,0,0
CYP,wood-and-wood-products,2020,0,0,0,0,0
CYP,wood-and-wood-products,2021,0,0,0,0,0
CYP,wood-and-wood-products,2022,0,0,0,0,0
CYP,wood-and-wood-products,2023,0,0,0,0,0
CYP,rock-quarrying,2015,11831,0,0,11831,11831
CYP,rock-quarrying,2016,11893,0,0,11893,11893
CYP,rock-quarrying,2017,12021,0,0,12021,12021
CYP,rock-quarrying,2018,10374,0,0,10374,10374
CYP,rock-quarrying,2019,10544,0,0,10544,10544
CYP,rock-quarrying,2020,10104,0,0,10104,10104
CYP,rock-quarrying,2021,9471,0,0,9471,9471
CYP,rock-quarrying,2022,8892,0,0,8892,8892
CYP,rock-quarrying,2023,8592,0,0,8592,8592
CYP,other-fossil-fuel-operations,2015,0,0,0,0,0
CYP,other-fossil-fuel-operations,2016,0,0,0,0,0
CYP,other-fossil-fuel-operations,2017,0,0,0,0,0
CYP,other-fossil-fuel-operations,2018,0,0,0,0,0
CYP,other-fossil-fuel-operations,2019,0,0,0,0,0
CYP,other-fossil-fuel-operations,2020,19298,0,0,19362,19404
CYP,other-fossil-fuel-operations,2021,21442,0,0,21512,21558
CYP,other-fossil-fuel-operations,2022,23080,0,0,23156,23203
CYP,other-fossil-fuel-operations,2023,23080,0,0,23156,23203
CYP,other-metals,2015,3084,0,0,3092,3095
CYP,other-metals,2016,6253,0,0,6270,6277
CYP,other-metals,2017,3084,0,0,3092,3096
