iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
CZE,other-mining-quarrying,2015,147580,149,0,151899,159857
CZE,other-mining-quarrying,2016,136979,138,0,140976,148341
CZE,other-mining-quarrying,2017,151726,150,0,156084,164094
CZE,other-mining-quarrying,2018,134383,129,0,138169,145094
CZE,other-mining-quarrying,2019,139926,132,0,143773,150822
CZE,other-mining-quarrying,2020,134982,126,0,138664,145406
CZE,other-mining-quarrying,2021,176543,166,0,181391,190291
CZE,other-mining-quarrying,2022,154816,136,0,158808,166080
CZE,other-mining-quarrying,2023,154814,136,0,158806,166078
CZE,pulp-and-paper,2015,252868,0,0,252868,252868
CZE,pulp-and-paper,2016,260579,0,0,260579,260579
CZE,pulp-and-paper,2017,267386,0,0,267386,267386
CZE,pulp-and-paper,2018,199448,0,0,199448,199448
CZE,pulp-and-paper,2019,321471,0,0,321471,321471
CZE,pulp-and-paper,2020,342790,0,0,342790,342790
CZE,pulp-and-paper,2021,354990,0,0,354990,354990
CZE,pulp-and-paper,2022,370096,0,0,370096,370096
CZE,pulp-and-paper,2023,370096,0,0,370096,370096
CZE,enteric-fermentation-cattle-operation,2015,0,50009,0,1360252,4040751
CZE,enteric-fermentation-cattle-operation,2016,0,50838,0,1382818,4107783
CZE,enteric-fermentation-cattle-operation,2017,0,49484,0,1345975,3998339
CZE,enteric-fermentation-cattle-operation,2018,0,49489,0,1346122,3998775
CZE,enteric-fermentation-cattle-operation,2019,0,49939,0,1358351,4035103
CZE,enteric-fermentation-cattle-operation,2020,0,49294,0,1340815,3983011
CZE,enteric-fermentation-cattle-operation,2021,0,49899,0,1357277,4031911
CZE,enteric-fermentation-cattle-operation,2022,0,48636,0,1322920,3929853
CZE,enteric-fermentation-cattle-operation,2023,0,49899,0,1357277,4031911
CZE,enteric-fermentation-cattle-pasture,2015,0,46700,0,1302943,3792080
CZE,enteric-fermentation-cattle-pasture,2016,0,46447,0,1295873,3771504
CZE,enteric-fermentation-cattle-pasture,2017,0,47898,0,1336356,3889324
CZE,enteric-fermentation-cattle-pasture,2018,0,44395,0,1238644,3604944
CZE,enteric-fermentation-cattle-pasture,2019,0,44166,0,1232247,3586327
CZE,enteric-fermentation-cattle-pasture,2020,0,43065,0,1201524,3496910
CZE,enteric-fermentation-cattle-pasture,2021,0,43802,0,1222095,3556779
CZE,enteric-fermentation-cattle-pasture,2022,0,44094,0,1230236,3580473
CZE,enteric-fermentation-cattle-pasture,2023,0,43948,0,1226157,3568600
CZE,international-shipping,2015,1,0,0,1,1
CZE,international-shipping,2016,1,0,0,1,1
