iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
DNK,cropland-fires,2015,11890,21,0,12632,13761
DNK,cropland-fires,2016,10225,18,0,10862,11834
DNK,cropland-fires,2017,11298,20,0,12002,13075
DNK,cropland-fires,2018,6710,11,0,7128,7766
DNK,cropland-fires,2019,10457,18,0,11109,12102
DNK,cropland-fires,2020,9348,16,0,9931,10819
DNK,cropland-fires,2021,8034,14,0,8535,9298
DNK,cropland-fires,2022,9658,17,0,10260,11178
DNK,cropland-fires,2023,9658,17,0,10260,11178
DNK,other-manufacturing,2015,860931,75,41,874395,878439
DNK,other-manufacturing,2016,849410,75,38,861925,865951
DNK,other-manufacturing,2017,909478,97,36,922078,927267
DNK,other-manufacturing,2018,916952,124,44,932483,939143
DNK,other-manufacturing,2019,854691,134,39,869269,876449
DNK,other-manufacturing,2020,896964,139,43,912805,920221
DNK,other-manufacturing,2021,1040608,149,46,1057594,1065585
DNK,other-manufacturing,2022,928880,128,46,945152,951989
DNK,other-manufacturing,2023,929014,128,46,945285,952122
DNK,bauxite-mining,2015,0,0,0,0,0
DNK,bauxite-mining,2016,0,0,0,0,0
DNK,bauxite-mining,2017,0,0,0,0,0
DNK,bauxite-mining,2018,0,0,0,0,0
DNK,bauxite-mining,2019,0,0,0,0,0
DNK,bauxite-mining,2020,0,0,0,0,0
DNK,bauxite-mining,2021,0,0,0,0,0
DNK,bauxite-mining,2022,0,0,0,0,0
DNK,bauxite-mining,2023,0,0,0,0,0
DNK,food-beverage-tobacco,2015,901506,165,16,910608,919415
DNK,food-beverage-tobacco,2016,890088,181,26,902413,912075
DNK,food-beverage-tobacco,2017,963973,219,22,976206,987889
DNK,food-beverage-tobacco,2018,936407,269,17,948642,963020
DNK,food-beverage-tobacco,2019,917380,298,16,930342,946246
DNK,food-beverage-tobacco,2020,903948,280,19,917009,931983
DNK,food-beverage-tobacco,2021,914689,279,18,927517,942428
DNK,food-beverage-tobacco,2022,746758,208,17,757391,768515
DNK,food-beverage-tobacco,2023,746758,208,17,757391,768515
DNK,water-reservoirs,2015,63,1,0,105,186
DNK,water-reservoirs,2016,115,4,0,254,519
DNK,water-reservoirs,2017,314,15,0,737,1548
DNK,water-reservoirs,2018,340,16,0,799,1680
DNK,water-reservoirs,2019,481,21,0,1072,2205
DNK,water-reservoirs,2020,192,6,0,360,680
DNK,water-reservoirs,2021,319,10,0,602,1141
DNK,water-reservoirs,2022,365,18,0,878,1858
DNK,water-reservoirs,2023,201,10,0,495,1057
DNK,biological-treatment-of-solid-waste-and-biogenic,2015,0,3863,289,186920,392872
DNK,biological-treatment-of-solid-waste-and-biogenic,2016,0,3903,292,188855,396939
DNK,biological-treatment-of-solid-waste-and-biogenic,2017,0,4335,325,209753,440862
DNK,biological-treatment-of-solid-waste-and-biogenic,2018,0,4327,324,209366,440049
DNK,biological-treatment-of-solid-waste-and-biogenic,2019,0,4343,325,210140,441676
DNK,biological-treatment-of-solid-waste-and-biogenic,2020,0,4383,328,212075,445743
DNK,biological-treatment-of-solid-waste-and-biogenic,2021,0,4487,336,217106,456317
DNK,biological-treatment-of-solid-waste-and-biogenic,2022,0,4594,344,222257,467142
DNK,biological-treatment-of-solid-waste-and-biogenic,2023,0,4594,344,222257,467142
DNK,domestic-wastewater-treatment-and-discharge,2015,0,4489,1575,552240,792899
DNK,domestic-wastewater-treatment-and-discharge,2016,0,4490,1591,556636,797345
DNK,domestic-wastewater-treatment-and-discharge,2017,0,4461,1596,557329,796488
DNK,domestic-wastewater-treatment-and-discharge,2018,0,4437,1604,558688,796533
DNK,domestic-wastewater-treatment-and-discharge,2019,0,4407,1609,559323,795572
DNK,domestic-wastewater-treatment-and-discharge,2020,0,4385,1618,561103,796167
DNK,domestic-wastewater-treatment-and-discharge,2021,0,4346,1620,560680,793656
DNK,domestic-wastewater-treatment-and-discharge,2022,0,4332,1632,563535,795750
DNK,domestic-wastewater-treatment-and-discharge,2023,0,4365,1645,567877,801882
DNK,non-residential-onsite-fuel-usage,2015,993427,3294,131,1127427,1301042
DNK,non-residential-onsite-fuel-usage,2016,1005289,3473,133,1145230,1328307
DNK,non-residential-onsite-fuel-usage,2017,991058,3329,124,1124269,1299741
DNK,non-residential-onsite-fuel-usage,2018,971702,3180,123,1100196,1267816
DNK,non-residential-onsite-fuel-usage,2019,937732,2929,115,1056526,1210892
DNK,non-residential-onsite-fuel-usage,2020,904465,2756,111,1016919,1162186
DNK,non-residential-onsite-fuel-usage,2021,999104,2771,117,1113692,1259727
DNK,non-residential-onsite-fuel-usage,2022,840748,2760,120,955809,1101310
DNK,non-residential-onsite-fuel-usage,2023,846400,2777,120,962215,1108612
DNK,oil-and-gas-refining,2015,1933050,90,17,1953042,1953175
DNK,oil-and-gas-refining,2016,1842932,86,16,1861993,1862119
DNK,oil-and-gas-refining,2017,1972781,92,17,1993185,1993320
DNK,oil-and-gas-refining,2018,1989819,93,17,2010399,2010535
DNK,oil-and-gas-refining,2019,2008206,94,18,2028976,2029114
DNK,oil-and-gas-refining,2020,1866491,87,16,1885796,1885924
DNK,oil-and-gas-refining,2021,1968198,92,17,1988555,1988689
DNK,oil-and-gas-refining,2022,1894541,88,17,1914135,1914265
DNK,oil-and-gas-refining,2023,1956799,91,17,1977037,1977171
DNK,other-fossil-fuel-operations,2015,0,0,0,0,0
DNK,other-fossil-fuel-operations,2016,0,0,0,0,0
DNK,other-fossil-fuel-operations,2017,0,0,0,0,0
DNK,other-fossil-fuel-operations,2018,0,0,0,0,0
DNK,other-fossil-fuel-operations,2019,0,0,0,0,0
DNK,other-fossil-fuel-operations,2020,0,0,0,0,0
DNK,other-fossil-fuel-operations,2021,0,0,0,0,0
DNK,other-fossil-fuel-operations,2022,0,0,0,0,0
