iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
EST,cropland-fires,2015,1590,2,0,1689,1840
EST,cropland-fires,2016,1171,2,0,1244,1356
EST,cropland-fires,2017,1473,2,0,1565,1705
EST,cropland-fires,2018,1138,2,0,1209,1317
EST,cropland-fires,2019,1730,3,0,1838,2002
EST,cropland-fires,2020,1753,3,0,1863,2029
EST,cropland-fires,2021,1475,2,0,1566,1707
EST,cropland-fires,2022,1706,3,0,1812,1974
EST,cropland-fires,2023,1706,3,0,1812,1974
EST,heat-plants,2015,0,0,0,0,0
EST,heat-plants,2016,0,0,0,0,0
EST,heat-plants,2017,0,0,0,0,0
EST,heat-plants,2018,0,0,0,0,0
EST,heat-plants,2019,0,0,0,0,0
EST,heat-plants,2020,0,0,0,0,0
EST,heat-plants,2021,0,0,0,0,0
EST,heat-plants,2022,0,0,0,0,0
EST,heat-plants,2023,0,0,0,0,0
EST,oil-and-gas-production,2015,0,0,0,0,0
EST,oil-and-gas-production,2016,0,0,0,0,0
EST,oil-and-gas-production,2017,0,0,0,0,0
EST,oil-and-gas-production,2018,0,0,0,0,0
EST,oil-and-gas-production,2019,0,0,0,0,0
EST,oil-and-gas-production,2020,0,0,0,0,0
EST,oil-and-gas-production,2021,0,0,0,0,0
EST,oil-and-gas-production,2022,0,0,0,0,0
EST,oil-and-gas-production,2023,0,0,0,0,0
EST,chemicals,2021,0,0,0,0,0
EST,chemicals,2015,0,0,0,0,0
EST,chemicals,2016,0,0,0,0,0
EST,chemicals,2017,0,0,0,0,0
EST,chemicals,2018,0,0,0,0,0
EST,chemicals,2019,0,0,0,0,0
EST,chemicals,2020,0,0,0,0,0
EST,chemicals,2022,0,0,0,0,0
EST,chemicals,2023,0,0,0,0,0
EST,forest-land-degradation,2015,0,0,0,0,0
EST,forest-land-degradation,2016,0,0,0,0,0
EST,forest-land-degradation,2017,0,0,0,0,0
EST,forest-land-degradation,2018,0,0,0,0,0
EST,forest-land-degradation,2019,0,0,0,0,0
EST,forest-land-degradation,2020,0,0,0,0,0
EST,forest-land-degradation,2021,0,0,0,0,0
EST,forest-land-degradation,2022,0,0,0,0,0
EST,forest-land-degradation,2023,0,0,0,0,0
EST,net-wetland,2015,60273,0,0,60273,60273
EST,net-wetland,2016,-191924,0,0,-191924,-191924
EST,net-wetland,2017,570023,0,0,570023,570023
EST,net-wetland,2018,-675975,0,0,-675975,-675975
EST,net-wetland,2019,316501,0,0,316501,316501
EST,net-wetland,2020,630421,0,0,630421,630421
