iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
FIN,domestic-wastewater-treatment-and-discharge,2015,0,5417,1484,552599,842968
FIN,domestic-wastewater-treatment-and-discharge,2016,0,5396,1492,554150,843418
FIN,domestic-wastewater-treatment-and-discharge,2017,0,5343,1490,552364,838778
FIN,domestic-wastewater-treatment-and-discharge,2018,0,5299,1492,551568,835641
FIN,domestic-wastewater-treatment-and-discharge,2019,0,5254,1493,550630,832283
FIN,domestic-wastewater-treatment-and-discharge,2020,0,5225,1498,551350,831421
FIN,domestic-wastewater-treatment-and-discharge,2021,0,5171,1497,549518,826705
FIN,domestic-wastewater-treatment-and-discharge,2022,0,5145,1504,550663,826456
FIN,domestic-wastewater-treatment-and-discharge,2023,0,5174,1513,553813,831184
FIN,iron-mining,2015,0,0,0,0,0
FIN,iron-mining,2016,0,0,0,0,0
FIN,iron-mining,2017,0,0,0,0,0
FIN,iron-mining,2018,0,0,0,0,0
FIN,iron-mining,2019,0,0,0,0,0
FIN,iron-mining,2020,0,0,0,0,0
FIN,iron-mining,2021,0,0,0,0,0
FIN,iron-mining,2022,0,0,0,0,0
FIN,iron-mining,2023,0,0,0,0,0
FIN,sand-quarrying,2015,0,0,0,0,0
FIN,sand-quarrying,2016,0,0,0,0,0
FIN,sand-quarrying,2017,0,0,0,0,0
FIN,sand-quarrying,2018,0,0,0,0,0
FIN,sand-quarrying,2019,1,0,0,1,1
FIN,sand-quarrying,2020,1,0,0,1,1
FIN,sand-quarrying,2021,1,0,0,1,1
FIN,sand-quarrying,2022,1,0,0,1,1
FIN,sand-quarrying,2023,1,0,0,1,1
FIN,shrubgrass-fires,2015,3657,0,0,3657,3657
FIN,shrubgrass-fires,2016,2218,0,0,2218,2218
FIN,shrubgrass-fires,2017,3594,0,0,3594,3594
FIN,shrubgrass-fires,2018,14030,0,0,14030,14030
FIN,shrubgrass-fires,2019,569,0,0,569,569
FIN,shrubgrass-fires,2020,753,0,0,753,753
FIN,shrubgrass-fires,2021,126,0,0,126,126
FIN,shrubgrass-fires,2022,126,0,0,126,126
FIN,shrubgrass-fires,2023,0,0,0,0,0
FIN,other-onsite-fuel-usage,2015,536749,72,4,539981,543871
FIN,other-onsite-fuel-usage,2016,557388,76,4,560754,564805
FIN,other-onsite-fuel-usage,2017,531932,72,4,535144,539010
FIN,other-onsite-fuel-usage,2018,492084,67,4,495052,498624
FIN,other-onsite-fuel-usage,2019,531888,72,4,535104,538974
FIN,other-onsite-fuel-usage,2020,670497,91,5,674539,679405
FIN,other-onsite-fuel-usage,2021,632182,86,5,635994,640582
FIN,other-onsite-fuel-usage,2022,632182,86,5,635994,640582
FIN,other-onsite-fuel-usage,2023,632182,86,5,635994,640582
FIN,railways,2015,69446,3,26,76872,77079
FIN,railways,2016,66290,3,25,73378,73576
FIN,railways,2017,66290,3,25,73378,73576
FIN,railways,2018,72603,4,28,80366,80583
FIN,railways,2019,69446,3,26,76872,77079
FIN,railways,2020,63133,3,24,69884,70072
FIN,railways,2021,59525,3,22,65890,66068
FIN,railways,2022,59525,3,22,65890,66068
FIN,railways,2023,59525,3,22,65890,66068
FIN,solid-waste-disposal,2015,0,290544,0,7902813,23476005
FIN,solid-waste-disposal,2016,0,185325,0,5040860,14974322
FIN,solid-waste-disposal,2017,0,151227,0,4113389,12219185
FIN,solid-waste-disposal,2018,0,118757,0,3230198,9595588
FIN,solid-waste-disposal,2019,0,109935,0,2990257,8882825
FIN,solid-waste-disposal,2020,0,101435,0,2759034,8195955
FIN,solid-waste-disposal,2021,0,63613,0,1730274,5139934
FIN,solid-waste-disposal,2022,0,63613,0,1730274,5139934
FIN,solid-waste-disposal,2023,0,64140,0,1744618,5182544
FIN,iron-and-steel,2015,6612628,0,0,6612628,6612628
FIN,iron-and-steel,2016,6920251,0,0,6920251,6920251
FIN,iron-and-steel,2017,6798799,0,0,6798799,6798799
FIN,iron-and-steel,2018,7011208,0,0,7011208,7011208
FIN,iron-and-steel,2019,5834867,0,0,5834867,5834867
FIN,iron-and-steel,2020,5986443,0,0,5986443,5986443
FIN,iron-and-steel,2021,7427770,0,0,7427770,7427770
FIN,iron-and-steel,2022,5227538,0,0,5227538,5227538
FIN,iron-and-steel,2023,5986828,0,0,5986828,5986828
FIN,manure-management-cattle-operation,2015,0,7686,2,209772,621772
FIN,manure-management-cattle-operation,2016,0,7640,2,208514,618040
FIN,manure-management-cattle-operation,2017,0,7443,2,203134,602091
FIN,manure-management-cattle-operation,2018,0,7203,2,196598,582711
FIN,manure-management-cattle-operation,2019,0,7072,2,193007,572067
FIN,manure-management-cattle-operation,2020,0,6956,2,189861,562747
FIN,manure-management-cattle-operation,2021,0,6788,2,185281,549166
FIN,manure-management-cattle-operation,2022,0,6664,2,181876,539072
FIN,manure-management-cattle-operation,2023,0,6788,2,185281,549166
FIN,other-transport,2015,7522,0,0,7530,7537
FIN,other-transport,2016,10653,0,0,10663,10674
FIN,other-transport,2017,8381,0,0,8389,8397
FIN,other-transport,2018,12117,0,0,12129,12141
FIN,other-transport,2019,16055,0,0,16071,16086
FIN,other-transport,2020,10905,0,0,10916,10926
FIN,other-transport,2021,10905,0,0,10916,10926
FIN,other-transport,2022,6231,0,0,6237,6243
FIN,other-transport,2023,6231,0,0,6237,6243
FIN,rice-cultivation,2015,0,0,0,0,0
FIN,rice-cultivation,2016,0,0,0,0,0
FIN,rice-cultivation,2017,0,0,0,0,0
FIN,rice-cultivation,2018,0,0,0,0,0
FIN,rice-cultivation,2019,0,0,0,0,0
FIN,rice-cultivation,2020,0,0,0,0,0
FIN,rice-cultivation,2021,0,0,0,0,0
FIN,rice-cultivation,2022,0,0,0,0,0
FIN,rice-cultivation,2023,0,0,0,0,0
FIN,copper-mining,2015,67411,0,0,67411,67411
FIN,copper-mining,2016,76574,0,0,76574,76574
FIN,copper-mining,2017,85695,0,0,85695,85695
FIN,copper-mining,2018,75262,0,0,75262,75262
FIN,copper-mining,2019,52988,0,0,52988,52988
FIN,copper-mining,2020,97419,0,0,97419,97419
FIN,copper-mining,2021,113310,0,0,113310,113310
FIN,copper-mining,2022,109184,0,0,109184,109184
FIN,copper-mining,2023,138963,0,0,138963,138962
FIN,removals,2015,-42046542,0,0,-42046542,-42046542
FIN,removals,2016,-68239149,0,0,-68239149,-68239149
FIN,removals,2017,-55352853,0,0,-55352853,-55352853
FIN,removals,2018,-74635172,0,0,-74635172,-74635172
FIN,removals,2019,-70611100,0,0,-70611100,-70611100
FIN,removals,2020,-40850829,0,0,-40850829,-40850829
FIN,removals,2021,-45199775,0,0,-45199775,-45199775
FIN,removals,2022,-14802519,0,0,-14802519,-14802519
FIN,removals,2023,-32372412,0,0,-32372412,-32372412
FIN,rock-quarrying,2015,12,0,0,12,12
FIN,rock-quarrying,2016,14,0,0,14,14
