iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
FRA,forest-land-degradation,2015,0,0,0,0,0
FRA,forest-land-degradation,2016,0,0,0,0,0
FRA,forest-land-degradation,2017,0,0,0,0,0
FRA,forest-land-degradation,2018,0,0,0,0,0
FRA,forest-land-degradation,2019,0,0,0,0,0
FRA,forest-land-degradation,2020,0,0,0,0,0
FRA,forest-land-degradation,2021,0,0,0,0,0
FRA,forest-land-degradation,2022,0,0,0,0,0
FRA,forest-land-degradation,2023,0,0,0,0,0
FRA,other-manufacturing,2015,10688530,600,381,10809341,10841349
FRA,other-manufacturing,2016,10791042,654,330,10899525,10934396
FRA,other-manufacturing,2017,10310143,634,469,10455924,10489740
FRA,other-manufacturing,2018,10495863,633,349,10609042,10642817
FRA,other-manufacturing,2019,10218492,590,310,10319878,10351372
FRA,other-manufacturing,2020,9175975,526,269,9264338,9292425
FRA,other-manufacturing,2021,9716922,554,272,9806745,9836310
FRA,other-manufacturing,2022,9160558,487,269,9247850,9273825
FRA,other-manufacturing,2023,9179833,487,269,9267125,9293100
FRA,rice-cultivation,2015,0,6953,0,189133,561836
FRA,rice-cultivation,2016,0,7188,0,195520,580811
FRA,rice-cultivation,2017,0,7374,0,200597,595893
FRA,rice-cultivation,2018,0,5711,0,155359,461507
FRA,rice-cultivation,2019,0,6494,0,176650,524756
FRA,rice-cultivation,2020,0,6369,0,173258,514678
FRA,rice-cultivation,2021,0,0,0,0,0
FRA,rice-cultivation,2022,0,0,0,0,0
FRA,rice-cultivation,2023,0,0,0,0,0
FRA,solid-waste-disposal,2015,0,524208,0,14258472,42356049
FRA,solid-waste-disposal,2016,0,515459,0,14020510,41649162
FRA,solid-waste-disposal,2017,0,532702,0,14489499,43042336
FRA,solid-waste-disposal,2018,0,549924,0,14957936,44433871
FRA,solid-waste-disposal,2019,0,497619,0,13535263,40207694
FRA,solid-waste-disposal,2020,0,445309,0,12112408,35980979
FRA,solid-waste-disposal,2021,0,429529,0,11683203,34705987
FRA,solid-waste-disposal,2022,0,429529,0,11683203,34705987
FRA,solid-waste-disposal,2023,0,433090,0,11780057,34993700
FRA,water-reservoirs,2015,228,4009,0,112092,325779
FRA,water-reservoirs,2016,224,4045,0,113108,328745
FRA,water-reservoirs,2017,220,4066,0,113667,330381
FRA,water-reservoirs,2018,156,2974,0,83162,241725
FRA,water-reservoirs,2019,84,3005,0,83943,244139
FRA,water-reservoirs,2020,0,3269,0,91210,265459
FRA,water-reservoirs,2021,0,3385,0,94469,274942
FRA,water-reservoirs,2022,0,3076,0,85828,249794
FRA,water-reservoirs,2023,0,2494,0,69602,202571
FRA,aluminum,2015,2089316,0,0,2089316,2089316
FRA,aluminum,2016,1987388,0,0,1987388,1987388
FRA,aluminum,2017,1998268,0,0,1998268,1998268
FRA,aluminum,2018,1993648,0,0,1993648,1993648
FRA,aluminum,2019,1935334,0,0,1935334,1935334
FRA,aluminum,2020,1972885,0,0,1972885,1972885
FRA,aluminum,2021,1918900,0,0,1918900,1918900
FRA,aluminum,2022,1669071,0,0,1669071,1669071
FRA,aluminum,2023,1510528,0,0,1510528,1510528
FRA,bauxite-mining,2015,0,0,0,0,0
FRA,bauxite-mining,2016,0,0,0,0,0
FRA,bauxite-mining,2017,0,0,0,0,0
FRA,bauxite-mining,2018,0,0,0,0,0
FRA,bauxite-mining,2019,0,0,0,0,0
FRA,bauxite-mining,2020,0,0,0,0,0
FRA,bauxite-mining,2021,0,0,0,0,0
FRA,bauxite-mining,2022,0,0,0,0,0
FRA,bauxite-mining,2023,0,0,0,0,0
FRA,net-forest-land,2015,-74533016,0,0,-74533016,-74533016
FRA,net-forest-land,2016,42490757,0,0,42490757,42490757
FRA,net-forest-land,2017,-24482690,0,0,-24482690,-24482690
FRA,net-forest-land,2018,2524688,0,0,2524688,2524688
FRA,net-forest-land,2019,7066429,0,0,7066429,7066429
FRA,net-forest-land,2020,938251,0,0,938251,938251
FRA,net-forest-land,2021,-18508115,0,0,-18508115,-18508115
FRA,net-forest-land,2022,-30014039,0,0,-30014039,-30014039
FRA,net-forest-land,2023,-22643458,0,0,-22643458,-22643458
FRA,pulp-and-paper,2015,949934,0,0,949934,949934
FRA,pulp-and-paper,2016,947029,0,0,947029,947029
FRA,pulp-and-paper,2017,934247,0,0,934247,934247
FRA,pulp-and-paper,2018,884979,0,0,884979,884979
FRA,pulp-and-paper,2019,892415,0,0,892415,892415
FRA,pulp-and-paper,2020,941219,0,0,941219,941219
FRA,pulp-and-paper,2021,938314,0,0,938314,938314
FRA,pulp-and-paper,2022,904616,0,0,904616,904616
FRA,pulp-and-paper,2023,904616,0,0,904616,904616
FRA,international-shipping,2015,3859797,584,216,3935112,3966271
FRA,international-shipping,2016,4161869,638,233,4243454,4277495
FRA,international-shipping,2017,4382331,679,246,4468557,4504773
