iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
DEU,chemicals,2015,10025347,0,0,10025347,10025347
DEU,chemicals,2016,10047246,0,0,10047246,10047246
DEU,chemicals,2017,10147570,0,0,10147570,10147570
DEU,chemicals,2018,9883256,0,0,9883256,9883256
DEU,chemicals,2019,9994463,0,0,9994463,9994463
DEU,chemicals,2020,9678714,0,0,9678714,9678714
DEU,chemicals,2021,9951108,0,0,9951108,9951108
DEU,chemicals,2022,9951108,0,0,9951108,9951108
DEU,chemicals,2023,9951108,0,0,9951108,9951108
DEU,cropland-fires,2015,67902,121,3,72134,78584
DEU,cropland-fires,2016,63096,112,2,67029,73023
DEU,cropland-fires,2017,60264,107,2,64021,69745
DEU,cropland-fires,2018,49883,88,2,52993,57731
DEU,cropland-fires,2019,54258,96,2,57640,62794
DEU,cropland-fires,2020,51763,92,2,54990,59907
DEU,cropland-fires,2021,50707,90,2,53868,58685
DEU,cropland-fires,2022,50848,90,2,54018,58848
DEU,cropland-fires,2023,50848,90,2,54018,58848
DEU,enteric-fermentation-cattle-operation,2015,0,705474,0,19188895,57002307
DEU,enteric-fermentation-cattle-operation,2016,0,700954,0,19065973,56637155
DEU,enteric-fermentation-cattle-operation,2017,0,693601,0,18865968,56043025
DEU,enteric-fermentation-cattle-operation,2018,0,675766,0,18380851,54601941
DEU,enteric-fermentation-cattle-operation,2019,0,663336,0,18042750,53597581
DEU,enteric-fermentation-cattle-operation,2020,0,645836,0,17566744,52183564
DEU,enteric-fermentation-cattle-operation,2021,0,634705,0,17264000,51284236
DEU,enteric-fermentation-cattle-operation,2022,0,618020,0,16810152,49936040
DEU,enteric-fermentation-cattle-operation,2023,0,634705,0,17264000,51284236
DEU,other-mining-quarrying,2015,599838,59,18,606450,609599
DEU,other-mining-quarrying,2016,674141,61,18,680957,684220
DEU,other-mining-quarrying,2017,617736,53,12,622646,625474
DEU,other-mining-quarrying,2018,633647,53,12,638572,641444
DEU,other-mining-quarrying,2019,607527,52,10,611971,614764
DEU,other-mining-quarrying,2020,543517,43,8,547074,549412
DEU,other-mining-quarrying,2021,629001,48,9,633055,635629
DEU,other-mining-quarrying,2022,609771,43,10,613744,616061
DEU,other-mining-quarrying,2023,609755,43,10,613728,616045
DEU,bauxite-mining,2015,0,0,0,0,0
DEU,bauxite-mining,2016,0,0,0,0,0
