iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
GRC,pulp-and-paper,2015,0,0,0,0,0
GRC,pulp-and-paper,2016,0,0,0,0,0
GRC,pulp-and-paper,2018,0,0,0,0,0
GRC,pulp-and-paper,2017,0,0,0,0,0
GRC,pulp-and-paper,2019,0,0,0,0,0
GRC,pulp-and-paper,2020,0,0,0,0,0
GRC,pulp-and-paper,2021,0,0,0,0,0
GRC,pulp-and-paper,2022,0,0,0,0,0
GRC,pulp-and-paper,2023,0,0,0,0,0
GRC,wetland-fires,2015,1363,0,0,1363,1363
GRC,wetland-fires,2016,433,0,0,433,433
GRC,wetland-fires,2017,1857,0,0,1857,1857
GRC,wetland-fires,2018,69,0,0,69,69
GRC,wetland-fires,2019,537,0,0,537,537
GRC,wetland-fires,2020,385,0,0,385,385
GRC,wetland-fires,2021,387,0,0,387,387
GRC,wetland-fires,2022,191,0,0,191,191
GRC,wetland-fires,2023,481,0,0,481,481
GRC,cement,2015,2856059,0,0,2856059,2856059
GRC,cement,2016,3531599,0,0,3531599,3531599
GRC,cement,2017,3372839,0,0,3372839,3372839
GRC,cement,2018,3553199,0,0,3553199,3553199
GRC,cement,2019,2991599,0,0,2991599,2991599
GRC,cement,2020,2942999,0,0,2942999,2942999
GRC,cement,2021,4029828,0,0,4029828,4029828
GRC,cement,2022,4118699,0,0,4118699,4118699
GRC,cement,2023,4893186,0,0,4893186,4893186
GRC,oil-and-gas-transport,2015,5905,1,0,5948,6025
GRC,oil-and-gas-transport,2016,13127,3,0,13223,13394
GRC,oil-and-gas-transport,2017,10532,2,0,10609,10746
GRC,oil-and-gas-transport,2018,15234,3,0,15345,15543
GRC,oil-and-gas-transport,2019,12412,3,0,12504,12665
GRC,oil-and-gas-transport,2020,6582,1,0,6630,6716
GRC,oil-and-gas-transport,2021,4137,1,0,4168,4221
GRC,oil-and-gas-transport,2022,1542,0,0,1553,1573
GRC,oil-and-gas-transport,2023,3799,0,0,3827,3876
GRC,road-transportation,2015,27516820,1191,832,27779694,27842469
GRC,road-transportation,2016,28194297,1220,853,28463643,28527964
GRC,road-transportation,2017,27662074,1197,837,27926336,27989442
GRC,road-transportation,2018,27747136,1201,839,28012210,28075510
GRC,road-transportation,2019,28619816,1238,866,28893227,28958518
GRC,road-transportation,2020,25148867,1088,761,25389120,25446492
GRC,road-transportation,2021,26942526,1169,804,27196952,27258571
GRC,road-transportation,2022,29414195,1270,901,29698158,29765107
GRC,road-transportation,2023,29813131,1309,900,30097855,30166865
GRC,other-transport,2015,3156,0,0,3167,3174
GRC,other-transport,2016,6313,0,0,6334,6348
GRC,other-transport,2017,5917,0,0,5937,5950
GRC,other-transport,2018,7027,0,0,7051,7066
GRC,other-transport,2019,3586,0,0,3598,3606
GRC,other-transport,2020,1424,0,0,1429,1432
GRC,other-transport,2021,1506,0,0,1511,1515
GRC,other-transport,2022,1698,0,0,1704,1708
GRC,other-transport,2023,1698,0,0,1704,1708
GRC,petrochemical-steam-cracking,2015,0,0,0,0,0
GRC,petrochemical-steam-cracking,2016,0,0,0,0,0
GRC,petrochemical-steam-cracking,2017,0,0,0,0,0
GRC,petrochemical-steam-cracking,2018,0,0,0,0,0
GRC,petrochemical-steam-cracking,2019,0,0,0,0,0
GRC,petrochemical-steam-cracking,2020,0,0,0,0,0
GRC,petrochemical-steam-cracking,2021,0,0,0,0,0
GRC,petrochemical-steam-cracking,2022,0,0,0,0,0
GRC,petrochemical-steam-cracking,2023,0,0,0,0,0
GRC,shrubgrass-fires,2015,222159,0,0,222159,222159
GRC,shrubgrass-fires,2016,544633,0,0,544633,544633
GRC,shrubgrass-fires,2017,292661,0,0,292661,292661
GRC,shrubgrass-fires,2018,147404,0,0,147404,147404
GRC,shrubgrass-fires,2019,73894,0,0,73894,73894
GRC,shrubgrass-fires,2020,90232,0,0,90232,90232
GRC,shrubgrass-fires,2021,285677,0,0,285677,285677
GRC,shrubgrass-fires,2022,701237,0,0,701237,701237
GRC,shrubgrass-fires,2023,934551,0,0,934551,934551
GRC,coal-mining,2015,487635,52924,0,1962670,4783195
GRC,coal-mining,2016,487635,52924,0,1962670,4783195
GRC,coal-mining,2017,813542,90199,0,3326002,8132728
GRC,coal-mining,2018,796042,88198,0,3252796,7952870
GRC,coal-mining,2019,594792,65180,0,2410927,5884503
GRC,coal-mining,2020,325948,34431,0,1286298,3121436
GRC,coal-mining,2021,303854,31882,0,1193385,2892739
GRC,coal-mining,2022,332292,35092,0,1311369,3181792
GRC,coal-mining,2023,246979,25463,0,957417,2314634
GRC,enteric-fermentation-other,2015,0,92505,0,2580903,7511446
GRC,enteric-fermentation-other,2016,0,91089,0,2541397,7396467
GRC,enteric-fermentation-other,2017,0,92265,0,2574218,7491991
GRC,enteric-fermentation-other,2018,0,86972,0,2426541,7062191
GRC,enteric-fermentation-other,2019,0,86741,0,2420096,7043434
GRC,enteric-fermentation-other,2020,0,74338,0,2074038,6036269
GRC,enteric-fermentation-other,2021,0,73770,0,2058205,5990188
GRC,enteric-fermentation-other,2022,0,73770,0,2058205,5990188
GRC,enteric-fermentation-other,2023,0,73770,0,2058205,5990188
GRC,manure-left-on-pasture-cattle,2015,0,302,575,165504,181631
GRC,manure-left-on-pasture-cattle,2016,0,318,604,174021,190978
GRC,manure-left-on-pasture-cattle,2017,0,302,575,165433,181553
GRC,manure-left-on-pasture-cattle,2018,0,280,533,153546,168508
GRC,manure-left-on-pasture-cattle,2019,0,299,569,163843,179808
GRC,manure-left-on-pasture-cattle,2020,0,308,586,168685,185122
GRC,manure-left-on-pasture-cattle,2021,0,340,647,186307,204461
GRC,manure-left-on-pasture-cattle,2022,0,341,648,186684,204875
GRC,manure-left-on-pasture-cattle,2023,0,340,648,186483,204655
GRC,non-residential-onsite-fuel-usage,2015,1029175,1637,27,1085586,1171876
GRC,non-residential-onsite-fuel-usage,2016,940961,1432,24,990361,1065859
GRC,non-residential-onsite-fuel-usage,2017,921385,1453,24,971429,1048016
GRC,non-residential-onsite-fuel-usage,2018,809411,1401,23,857498,931371
GRC,non-residential-onsite-fuel-usage,2019,886507,1334,22,932493,1002846
GRC,non-residential-onsite-fuel-usage,2020,996284,1268,22,1040280,1107104
GRC,non-residential-onsite-fuel-usage,2021,1059470,1270,23,1103664,1170622
GRC,non-residential-onsite-fuel-usage,2022,1140369,1274,24,1184921,1252093
GRC,non-residential-onsite-fuel-usage,2023,1144253,1278,24,1188964,1256359
GRC,wood-and-wood-products,2015,8565,5,7,10880,11179
GRC,wood-and-wood-products,2016,9964,4,7,12133,12353
GRC,wood-and-wood-products,2017,16092,8,8,18637,19066
GRC,wood-and-wood-products,2018,7139,7,9,9902,10291
GRC,wood-and-wood-products,2019,7139,10,7,9594,10129
GRC,wood-and-wood-products,2020,3710,9,7,6076,6576
GRC,wood-and-wood-products,2021,6893,11,9,9778,10387
GRC,wood-and-wood-products,2022,6728,11,9,9613,10221
GRC,wood-and-wood-products,2023,6728,11,9,9613,10221
GRC,forest-land-degradation,2015,0,0,0,0,0
GRC,forest-land-degradation,2016,0,0,0,0,0
GRC,forest-land-degradation,2017,0,0,0,0,0
GRC,forest-land-degradation,2018,0,0,0,0,0
GRC,forest-land-degradation,2019,0,0,0,0,0
GRC,forest-land-degradation,2020,0,0,0,0,0
GRC,forest-land-degradation,2021,0,0,0,0,0
GRC,forest-land-degradation,2022,0,0,0,0,0
GRC,forest-land-degradation,2023,0,0,0,0,0
GRC,other-agricultural-soil-emissions,2015,1481018,0,5008,2848338,2848338
GRC,other-agricultural-soil-emissions,2016,1484827,0,4928,2830362,2830362
GRC,other-agricultural-soil-emissions,2017,1488066,0,4974,2845996,2845996
GRC,other-agricultural-soil-emissions,2018,1457199,0,4702,2740927,2740927
GRC,other-agricultural-soil-emissions,2019,1458307,0,4680,2736193,2736193
GRC,other-agricultural-soil-emissions,2020,1462865,0,4076,2575695,2575695
GRC,other-agricultural-soil-emissions,2021,1464091,0,4051,2570205,2570205
GRC,other-agricultural-soil-emissions,2022,1469522,0,4051,2575636,2575636
GRC,other-agricultural-soil-emissions,2023,1469522,0,4051,2575636,2575636
GRC,other-metals,2015,708780,229,34,724512,736745
GRC,other-metals,2016,720615,187,25,732688,742706
GRC,other-metals,2017,0,150,2,4847,12861
GRC,other-metals,2018,0,147,2,4816,12699
GRC,other-metals,2019,0,136,1,4345,11623
GRC,other-metals,2020,88248,141,3,93051,100614
GRC,other-metals,2021,152877,143,3,157586,164847
GRC,other-metals,2022,165683,143,3,169799,176105
GRC,other-metals,2023,189406,143,3,193522,199828
GRC,solid-waste-disposal,2015,0,154068,0,4297955,12508745
GRC,solid-waste-disposal,2016,0,156104,0,4354765,12674085
GRC,solid-waste-disposal,2017,0,155167,0,4328618,12597985
GRC,solid-waste-disposal,2018,0,154153,0,4300331,12515660
GRC,solid-waste-disposal,2019,0,155159,0,4328402,12597357
GRC,solid-waste-disposal,2020,0,145023,0,4045634,11774391
GRC,solid-waste-disposal,2021,0,146225,0,4079682,11873485
GRC,solid-waste-disposal,2022,0,147172,0,4106114,11950412
GRC,solid-waste-disposal,2023,0,148393,0,4138601,12044962
GRC,removals,2015,-3146424,0,0,-3146424,-3146424
GRC,removals,2016,722686,0,0,722686,722686
GRC,removals,2017,28707127,0,0,28707127,28707127
GRC,removals,2018,-6221854,0,0,-6221854,-6221854
GRC,removals,2019,-9995278,0,0,-9995278,-9995278
GRC,removals,2020,-6006496,0,0,-6006496,-6006496
GRC,removals,2021,5116052,0,0,5116052,5116052
GRC,removals,2022,-27034350,0,0,-27034350,-27034350
GRC,removals,2023,-20037743,0,0,-20037743,-20037743
GRC,synthetic-fertilizer-application,2015,0,0,3359,917102,917102
GRC,synthetic-fertilizer-application,2016,0,0,3359,917102,917102
GRC,synthetic-fertilizer-application,2017,0,0,3555,970517,970517
GRC,synthetic-fertilizer-application,2018,0,0,3512,958874,958874
GRC,synthetic-fertilizer-application,2019,0,0,3481,950328,950328
GRC,synthetic-fertilizer-application,2020,0,0,2224,607304,607304
GRC,synthetic-fertilizer-application,2021,0,0,3731,1018604,1018604
GRC,synthetic-fertilizer-application,2022,0,0,2504,683643,683643
GRC,synthetic-fertilizer-application,2023,0,0,2492,680473,680473
GRC,crop-residues,2015,0,0,882,240977,240977
GRC,crop-residues,2016,0,0,816,222986,222986
GRC,crop-residues,2017,0,0,753,205814,205814
GRC,crop-residues,2018,0,0,629,171880,171880
GRC,crop-residues,2019,0,0,611,166857,166857
GRC,crop-residues,2020,0,0,647,176712,176712
GRC,crop-residues,2021,0,0,633,172809,172809
GRC,crop-residues,2022,0,0,633,172809,172809
GRC,crop-residues,2023,0,0,633,172809,172809
GRC,forest-land-clearing,2015,648240,0,0,648240,648240
GRC,forest-land-clearing,2016,790233,0,0,790233,790233
GRC,forest-land-clearing,2017,1255162,0,0,1255162,1255162
GRC,forest-land-clearing,2018,1216613,0,0,1216613,1216613
GRC,forest-land-clearing,2019,1355303,0,0,1355303,1355303
GRC,forest-land-clearing,2020,1057670,0,0,1057670,1057670
GRC,forest-land-clearing,2021,1423543,0,0,1423543,1423543
GRC,forest-land-clearing,2022,1308577,0,0,1308577,1308577
GRC,forest-land-clearing,2023,2471941,0,0,2471941,2471941
GRC,incineration-and-open-burning-of-waste,2015,3633,885,0,28444,75667
GRC,incineration-and-open-burning-of-waste,2016,2927,2018,0,59319,166908
GRC,incineration-and-open-burning-of-waste,2017,2769,2018,0,59153,166737
GRC,incineration-and-open-burning-of-waste,2018,2421,2476,0,71586,203602
GRC,incineration-and-open-burning-of-waste,2019,2112,2476,0,71265,203272
GRC,incineration-and-open-burning-of-waste,2020,1942,2210,0,63663,181480
GRC,incineration-and-open-burning-of-waste,2021,1604,2475,0,70706,202642
GRC,incineration-and-open-burning-of-waste,2022,1376,2772,0,78752,226504
GRC,incineration-and-open-burning-of-waste,2023,1376,2772,0,78752,226504
GRC,iron-and-steel,2015,153299,0,0,153299,153299
GRC,iron-and-steel,2016,195077,0,0,195077,195077
GRC,iron-and-steel,2017,228938,0,0,228938,228938
GRC,iron-and-steel,2018,247131,0,0,247131,247131
GRC,iron-and-steel,2019,227421,0,0,227421,227421
GRC,iron-and-steel,2020,237192,0,0,237192,237192
GRC,iron-and-steel,2021,244174,0,0,244174,244174
GRC,iron-and-steel,2022,251509,0,0,251509,251509
GRC,iron-and-steel,2023,276786,0,0,276786,276786
GRC,manure-applied-to-soils,2015,0,0,1344,366993,366993
GRC,manure-applied-to-soils,2016,0,0,1338,365465,365465
GRC,manure-applied-to-soils,2017,0,0,1365,372726,372726
GRC,manure-applied-to-soils,2018,0,0,1284,350586,350586
GRC,manure-applied-to-soils,2019,0,0,1273,347610,347610
GRC,manure-applied-to-soils,2020,0,0,1238,338110,338110
GRC,manure-applied-to-soils,2021,0,0,1244,339748,339748
GRC,manure-applied-to-soils,2022,0,0,1244,339748,339748
GRC,manure-applied-to-soils,2023,0,0,1244,339748,339748
GRC,manure-management-cattle-operation,2015,0,5181,1,141295,419019
GRC,manure-management-cattle-operation,2016,0,4874,1,132936,394223
GRC,manure-management-cattle-operation,2017,0,5069,1,138264,410014
GRC,manure-management-cattle-operation,2018,0,4892,1,133387,395647
GRC,manure-management-cattle-operation,2019,0,4368,0,119089,353241
GRC,manure-management-cattle-operation,2020,0,4505,0,122833,364349
GRC,manure-management-cattle-operation,2021,0,4508,0,122893,364533
GRC,manure-management-cattle-operation,2022,0,3516,0,95905,284381
GRC,manure-management-cattle-operation,2023,0,4508,0,122893,364533
GRC,oil-and-gas-production,2015,18788,630,0,36369,69954
GRC,oil-and-gas-production,2016,41764,1400,0,80845,155501
GRC,oil-and-gas-production,2017,33507,1123,0,64861,124758
GRC,oil-and-gas-production,2018,48466,1625,0,93817,180453
GRC,oil-and-gas-production,2019,39490,1324,0,76444,147036
GRC,oil-and-gas-production,2020,20942,702,0,40539,77974
GRC,oil-and-gas-production,2021,13163,441,0,25482,49013
GRC,oil-and-gas-production,2022,4906,164,0,9499,18269
GRC,oil-and-gas-production,2023,12086,405,0,23397,45003
GRC,other-fossil-fuel-operations,2015,0,27489,0,766944,2232110
GRC,other-fossil-fuel-operations,2016,0,19511,0,544366,1584321
GRC,other-fossil-fuel-operations,2017,0,11951,0,333449,970469
GRC,other-fossil-fuel-operations,2018,0,11907,0,332205,966848
GRC,other-fossil-fuel-operations,2019,0,11491,0,320602,933078
GRC,other-fossil-fuel-operations,2020,0,11640,0,324771,945211
GRC,other-fossil-fuel-operations,2021,0,11419,0,318601,927256
GRC,other-fossil-fuel-operations,2022,0,11435,0,319038,928527
GRC,other-fossil-fuel-operations,2023,0,11174,0,311767,907366
GRC,forest-land-fires,2015,188806,0,0,188806,188806
GRC,forest-land-fires,2016,441569,0,0,441569,441569
GRC,forest-land-fires,2017,465838,0,0,465838,465838
GRC,forest-land-fires,2018,262213,0,0,262213,262213
GRC,forest-land-fires,2019,202954,0,0,202954,202954
GRC,forest-land-fires,2020,313571,0,0,313571,313571
GRC,forest-land-fires,2021,6376812,0,0,6376812,6376812
GRC,forest-land-fires,2022,707556,0,0,707556,707556
GRC,forest-land-fires,2023,7202286,0,0,7202286,7202286
GRC,other-energy-use,2015,0,586,350,112002,143251
GRC,other-energy-use,2016,0,685,303,101914,138457
GRC,other-energy-use,2017,0,760,304,104476,145035
GRC,other-energy-use,2018,0,762,300,103239,143864
GRC,other-energy-use,2019,0,768,223,82450,123387
GRC,other-energy-use,2020,0,682,133,55507,91885
GRC,other-energy-use,2021,0,719,123,53759,92101
GRC,other-energy-use,2022,0,666,124,52504,88005
GRC,other-energy-use,2023,0,657,49,31798,66852
GRC,sand-quarrying,2015,300,0,0,300,300
GRC,sand-quarrying,2016,563,0,0,563,563
GRC,sand-quarrying,2017,306,0,0,306,306
GRC,sand-quarrying,2018,316,0,0,316,316
GRC,sand-quarrying,2019,205,0,0,205,205
GRC,sand-quarrying,2020,207,0,0,207,207
GRC,sand-quarrying,2021,163,0,0,163,163
GRC,sand-quarrying,2022,120,0,0,120,120
GRC,sand-quarrying,2023,76,0,0,76,76
GRC,net-wetland,2015,59428,0,0,59428,59428
GRC,net-wetland,2016,-7184,0,0,-7184,-7184
GRC,net-wetland,2017,-1011,0,0,-1011,-1011
GRC,net-wetland,2018,30983,0,0,30983,30983
GRC,net-wetland,2019,10351,0,0,10351,10351
GRC,net-wetland,2020,4695,0,0,4695,4695
GRC,net-wetland,2021,26188,0,0,26188,26188
GRC,net-wetland,2022,-92733,0,0,-92733,-92733
GRC,net-wetland,2023,-15807,0,0,-15807,-15807
GRC,railways,2015,126266,7,48,139768,140144
GRC,railways,2016,126266,7,48,139768,140144
GRC,railways,2017,123185,6,47,136357,136725
GRC,railways,2018,116714,6,45,129194,129542
GRC,railways,2019,33897,1,12,37419,37519
GRC,railways,2020,22999,1,8,25458,25527
GRC,railways,2021,24326,1,9,26927,27000
GRC,railways,2022,27422,1,10,30354,30436
GRC,railways,2023,27422,1,10,30354,30436
GRC,residential-onsite-fuel-usage,2015,5970701,9599,165,6301945,6807853
GRC,residential-onsite-fuel-usage,2016,5458793,8410,145,5749241,6192474
GRC,residential-onsite-fuel-usage,2017,5342548,8520,146,5636351,6085366
GRC,residential-onsite-fuel-usage,2018,4697644,8228,136,4980212,5413880
GRC,residential-onsite-fuel-usage,2019,5136564,7841,133,5406719,5819941
GRC,residential-onsite-fuel-usage,2020,5759237,7418,133,6016690,6407628
GRC,residential-onsite-fuel-usage,2021,6123929,7433,135,6382515,6774280
GRC,residential-onsite-fuel-usage,2022,6582549,7445,140,6842789,7235167
GRC,residential-onsite-fuel-usage,2023,6603337,7472,140,6864489,7258264
GRC,rice-cultivation,2015,0,8480,0,230671,685228
GRC,rice-cultivation,2016,0,9387,0,255348,758534
GRC,rice-cultivation,2017,0,9023,0,245428,729065
GRC,rice-cultivation,2018,0,8862,0,241051,716065
GRC,rice-cultivation,2019,0,8719,0,237160,704504
GRC,rice-cultivation,2020,0,10538,0,286641,851493
GRC,rice-cultivation,2021,0,0,0,0,0
GRC,rice-cultivation,2022,0,0,0,0,0
GRC,rice-cultivation,2023,0,0,0,0,0
GRC,international-shipping,2015,2558955,377,142,2608418,2628557
GRC,international-shipping,2016,2755358,413,154,2808937,2831001
GRC,international-shipping,2017,2993159,456,167,3051711,3076069
GRC,international-shipping,2018,3374451,528,190,3441066,3469214
GRC,international-shipping,2019,3628985,571,204,3700794,3731257
GRC,international-shipping,2020,3510186,558,198,3579916,3609683
GRC,international-shipping,2021,4120484,658,232,4202425,4237507
GRC,international-shipping,2022,5006703,800,283,5106293,5148949
GRC,international-shipping,2023,4838484,704,268,4931466,4968999
GRC,manure-management-other,2015,0,10150,381,387384,928421
GRC,manure-management-other,2016,0,9958,380,381631,912408
GRC,manure-management-other,2017,0,10186,389,390539,933485
GRC,manure-management-other,2018,0,10089,379,385130,922906
GRC,manure-management-other,2019,0,10249,380,389813,936116
GRC,manure-management-other,2020,0,9762,357,369922,890274
GRC,manure-management-other,2021,0,9975,361,377082,908765
GRC,manure-management-other,2022,0,9975,361,377082,908765
GRC,manure-management-other,2023,0,9975,361,377082,908765
GRC,net-forest-land,2015,-1644557,0,0,-1644557,-1644557
GRC,net-forest-land,2016,-438948,0,0,-438948,-438948
GRC,net-forest-land,2017,25951958,0,0,25951958,25951958
GRC,net-forest-land,2018,-4862899,0,0,-4862899,-4862899
GRC,net-forest-land,2019,-6187656,0,0,-6187656,-6187656
GRC,net-forest-land,2020,-5988348,0,0,-5988348,-5988348
GRC,net-forest-land,2021,8238109,0,0,8238109,8238109
GRC,net-forest-land,2022,-17581187,0,0,-17581187,-17581187
GRC,net-forest-land,2023,-7150812,0,0,-7150812,-7150812
GRC,industrial-wastewater-treatment-and-discharge,2015,0,6408,383,279123,622613
GRC,industrial-wastewater-treatment-and-discharge,2016,0,6233,392,276645,610776
GRC,industrial-wastewater-treatment-and-discharge,2017,0,6077,390,271810,597589
GRC,industrial-wastewater-treatment-and-discharge,2018,0,6129,396,274938,603475
GRC,industrial-wastewater-treatment-and-discharge,2019,0,6001,370,264463,586118
GRC,industrial-wastewater-treatment-and-discharge,2020,0,6135,380,270892,599744
GRC,industrial-wastewater-treatment-and-discharge,2021,0,5891,356,257535,573314
GRC,industrial-wastewater-treatment-and-discharge,2022,0,6074,338,257738,583309
GRC,industrial-wastewater-treatment-and-discharge,2023,0,6074,338,257738,583309
GRC,aluminum,2015,713853,0,0,713853,713853
GRC,aluminum,2016,692333,0,0,692333,692333
GRC,aluminum,2017,694669,0,0,694669,694669
GRC,aluminum,2018,690958,0,0,690958,690958
GRC,aluminum,2019,660014,0,0,660014,660014
