iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
HUN,aluminum,2015,0,0,0,0,0
HUN,aluminum,2016,0,0,0,0,0
HUN,aluminum,2017,0,0,0,0,0
HUN,aluminum,2018,0,0,0,0,0
HUN,aluminum,2019,0,0,0,0,0
HUN,aluminum,2020,0,0,0,0,0
HUN,aluminum,2021,0,0,0,0,0
HUN,aluminum,2022,0,0,0,0,0
HUN,aluminum,2023,0,0,0,0,0
HUN,international-aviation,2015,703323,4,19,708854,709113
HUN,international-aviation,2016,782337,5,21,788489,788778
HUN,international-aviation,2017,842034,5,23,848655,848966
HUN,international-aviation,2018,1022475,7,28,1030515,1030893
HUN,international-aviation,2019,1112802,7,31,1121553,1121964
HUN,international-aviation,2020,511994,3,14,516020,516209
HUN,international-aviation,2021,413371,2,11,416621,416774
HUN,international-aviation,2022,815198,5,22,821608,821909
HUN,international-aviation,2023,964452,6,27,972035,972392
HUN,other-onsite-fuel-usage,2015,48420,9,0,48731,49259
HUN,other-onsite-fuel-usage,2016,67815,12,0,68249,68918
HUN,other-onsite-fuel-usage,2017,67074,7,0,67361,67753
HUN,other-onsite-fuel-usage,2018,75753,8,0,76075,76517
HUN,other-onsite-fuel-usage,2019,68603,11,0,69001,69596
HUN,other-onsite-fuel-usage,2020,73224,15,0,73758,74577
HUN,other-onsite-fuel-usage,2021,78068,14,0,78597,79393
HUN,other-onsite-fuel-usage,2022,71726,13,0,72206,72918
HUN,other-onsite-fuel-usage,2023,71726,13,0,72206,72918
HUN,pulp-and-paper,2015,0,0,0,0,0
HUN,pulp-and-paper,2016,0,0,0,0,0
HUN,pulp-and-paper,2017,0,0,0,0,0
HUN,pulp-and-paper,2018,0,0,0,0,0
HUN,pulp-and-paper,2019,0,0,0,0,0
HUN,pulp-and-paper,2020,0,0,0,0,0
HUN,pulp-and-paper,2021,0,0,0,0,0
HUN,pulp-and-paper,2022,0,0,0,0,0
HUN,pulp-and-paper,2023,0,0,0,0,0
HUN,heat-plants,2015,1615374,0,0,1615374,1615374
HUN,heat-plants,2016,1476483,0,0,1476483,1476483
HUN,heat-plants,2017,1578149,0,0,1578149,1578149
HUN,heat-plants,2018,1480524,0,0,1480524,1480524
HUN,heat-plants,2019,1374166,0,0,1374166,1374166
HUN,heat-plants,2020,1369701,0,0,1369701,1369701
HUN,heat-plants,2021,1369671,0,0,1369671,1369671
HUN,heat-plants,2022,1189636,0,0,1189636,1189636
HUN,heat-plants,2023,1189636,0,0,1189636,1189636
HUN,manure-left-on-pasture-cattle,2015,0,439,824,237311,260716
HUN,manure-left-on-pasture-cattle,2016,0,458,859,247539,271952
HUN,manure-left-on-pasture-cattle,2017,0,497,933,268811,295323
HUN,manure-left-on-pasture-cattle,2018,0,528,992,285663,313837
HUN,manure-left-on-pasture-cattle,2019,0,548,1029,296342,325569
HUN,manure-left-on-pasture-cattle,2020,0,595,1118,321842,353584
HUN,manure-left-on-pasture-cattle,2021,0,513,964,277542,304915
HUN,manure-left-on-pasture-cattle,2022,0,554,1040,299403,328932
HUN,manure-left-on-pasture-cattle,2023,0,533,1002,288475,316927
HUN,rice-cultivation,2015,0,818,0,22262,66132
HUN,rice-cultivation,2016,0,849,0,23096,68610
HUN,rice-cultivation,2017,0,807,0,21960,65236
HUN,rice-cultivation,2018,0,855,0,23271,69129
HUN,rice-cultivation,2019,0,773,0,21047,62523
HUN,rice-cultivation,2020,0,873,0,23747,70544
HUN,rice-cultivation,2021,0,0,0,0,0
HUN,rice-cultivation,2022,0,0,0,0,0
HUN,rice-cultivation,2023,0,0,0,0,0
HUN,net-shrubgrass,2015,282115,0,0,282115,282115
HUN,net-shrubgrass,2016,-332140,0,0,-332140,-332140
HUN,net-shrubgrass,2017,449126,0,0,449126,449126
HUN,net-shrubgrass,2018,-192325,0,0,-192325,-192325
HUN,net-shrubgrass,2019,-34961,0,0,-34961,-34961
HUN,net-shrubgrass,2020,21276,0,0,21276,21276
HUN,net-shrubgrass,2021,6824,0,0,6824,6824
HUN,net-shrubgrass,2022,24608,0,0,24608,24608
HUN,net-shrubgrass,2023,-550359,0,0,-550359,-550359
HUN,non-residential-onsite-fuel-usage,2015,1883267,4343,101,2040484,2269405
