iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
IRL,other-fossil-fuel-operations,2015,0,17979,0,501631,1459945
IRL,other-fossil-fuel-operations,2016,0,10189,0,284290,827397
IRL,other-fossil-fuel-operations,2017,0,8613,0,240313,699405
IRL,other-fossil-fuel-operations,2018,0,9720,0,271214,789340
IRL,other-fossil-fuel-operations,2019,0,11535,0,321836,936671
IRL,other-fossil-fuel-operations,2020,0,13114,0,365881,1064859
IRL,other-fossil-fuel-operations,2021,0,15345,0,428126,1246017
IRL,other-fossil-fuel-operations,2022,0,14941,0,416878,1213280
IRL,other-fossil-fuel-operations,2023,0,16742,0,467113,1359484
IRL,other-metals,2015,0,110,1,3501,9387
IRL,other-metals,2016,0,103,1,3277,8784
IRL,other-metals,2017,0,105,1,3331,8933
IRL,other-metals,2018,0,102,1,3265,8726
IRL,other-metals,2019,0,97,1,3144,8359
IRL,other-metals,2020,0,84,1,2735,7256
IRL,other-metals,2021,0,84,1,2748,7271
IRL,other-metals,2022,0,82,1,2684,7072
IRL,other-metals,2023,0,82,1,2684,7072
IRL,aluminum,2015,2597579,0,0,2597579,2597579
IRL,aluminum,2016,2305745,0,0,2305745,2305745
IRL,aluminum,2017,2336415,0,0,2336415,2336415
IRL,aluminum,2018,2357125,0,0,2357125,2357125
IRL,aluminum,2019,2421373,0,0,2421373,2421373
IRL,aluminum,2020,2606967,0,0,2606967,2606967
IRL,aluminum,2021,2469928,0,0,2469928,2469928
IRL,aluminum,2022,2135091,0,0,2135091,2135091
IRL,aluminum,2023,1873838,0,0,1873838,1873838
IRL,international-aviation,2015,2278699,15,63,2296617,2297458
IRL,international-aviation,2016,2538318,17,71,2558278,2559215
IRL,international-aviation,2017,2846490,19,79,2868873,2869924
IRL,international-aviation,2018,3126094,21,87,3150675,3151830
IRL,international-aviation,2019,3164934,22,88,3189821,3190990
IRL,international-aviation,2020,1172010,8,32,1181226,1181659
IRL,international-aviation,2021,1092928,7,30,1101522,1101925
IRL,international-aviation,2022,2734956,19,76,2756462,2757472
IRL,international-aviation,2023,3132886,21,87,3157520,3158678
IRL,oil-and-gas-refining,2015,474818,68,6,487711,487713
IRL,oil-and-gas-refining,2016,451409,65,6,463666,463667
IRL,oil-and-gas-refining,2017,450704,65,6,462941,462943
IRL,oil-and-gas-refining,2018,427576,61,5,439186,439188
IRL,oil-and-gas-refining,2019,356784,51,4,366471,366472
IRL,oil-and-gas-refining,2020,399936,57,5,410795,410797
IRL,oil-and-gas-refining,2021,426589,61,5,438172,438174
IRL,oil-and-gas-refining,2022,423769,61,5,435275,435277
IRL,oil-and-gas-refining,2023,391757,56,5,402394,402396
IRL,solid-fuel-transformation,2015,38533,0,0,38533,38533
IRL,solid-fuel-transformation,2016,47832,0,0,47832,47832
IRL,solid-fuel-transformation,2017,44295,0,0,44295,44295
IRL,solid-fuel-transformation,2018,38121,0,0,38121,38121
IRL,solid-fuel-transformation,2019,32061,0,0,32061,32061
IRL,solid-fuel-transformation,2020,26034,0,0,26034,26034
IRL,solid-fuel-transformation,2021,23535,0,0,23535,23535
IRL,solid-fuel-transformation,2022,21099,0,0,21099,21099
IRL,solid-fuel-transformation,2023,21099,0,0,21099,21099
IRL,textiles-leather-apparel,2015,27799,2,0,27891,28019
IRL,textiles-leather-apparel,2016,35015,2,0,35123,35267
IRL,textiles-leather-apparel,2017,36555,3,0,36671,36839
IRL,textiles-leather-apparel,2018,16779,0,0,16825,16873
IRL,textiles-leather-apparel,2019,33864,2,0,33965,34116
IRL,textiles-leather-apparel,2020,31763,2,0,31858,32008
IRL,textiles-leather-apparel,2021,33716,2,0,33811,33950
IRL,textiles-leather-apparel,2022,34080,2,0,34172,34307
IRL,textiles-leather-apparel,2023,34080,2,0,34172,34307
IRL,international-shipping,2015,560022,86,31,571049,575683
IRL,international-shipping,2016,667990,103,37,681140,686666
IRL,international-shipping,2017,728151,115,41,742623,748800
IRL,international-shipping,2018,780120,123,44,795595,802180
IRL,international-shipping,2019,841715,132,47,858396,865483
IRL,international-shipping,2020,752331,118,42,767241,773578
IRL,international-shipping,2021,1013515,161,57,1033663,1042273
IRL,international-shipping,2022,1113510,173,62,1135475,1144734
IRL,international-shipping,2023,1138667,176,64,1161052,1170437
IRL,manure-applied-to-soils,2015,0,0,5613,1532403,1532403
IRL,manure-applied-to-soils,2016,0,0,5846,1595958,1595958
IRL,manure-applied-to-soils,2017,0,0,5947,1623585,1623585
IRL,manure-applied-to-soils,2018,0,0,5401,1474691,1474691
IRL,manure-applied-to-soils,2019,0,0,5430,1482608,1482608
IRL,manure-applied-to-soils,2020,0,0,5448,1487385,1487385
IRL,manure-applied-to-soils,2021,0,0,5563,1518808,1518808
IRL,manure-applied-to-soils,2022,0,0,5563,1518808,1518808
IRL,manure-applied-to-soils,2023,0,0,5563,1518808,1518808
IRL,other-agricultural-soil-emissions,2015,11135801,0,9251,13661570,13661570
IRL,other-agricultural-soil-emissions,2016,11122196,0,9254,13648757,13648757
IRL,other-agricultural-soil-emissions,2017,11129585,0,9248,13654289,13654289
IRL,other-agricultural-soil-emissions,2018,11114662,0,8826,13524324,13524324
IRL,other-agricultural-soil-emissions,2019,11036043,0,8766,13429216,13429216
IRL,other-agricultural-soil-emissions,2020,11019349,0,8778,13415962,13415962
IRL,other-agricultural-soil-emissions,2021,11022083,0,8809,13427104,13427104
IRL,other-agricultural-soil-emissions,2022,11027462,0,8809,13432483,13432483
IRL,other-agricultural-soil-emissions,2023,11027462,0,8809,13432483,13432483
IRL,oil-and-gas-transport,2015,59344,910,0,86489,134494
IRL,oil-and-gas-transport,2016,556790,8546,0,811478,1261882
IRL,oil-and-gas-transport,2017,635873,9760,0,926735,1441112
IRL,oil-and-gas-transport,2018,601253,9229,0,876278,1362650
IRL,oil-and-gas-transport,2019,480208,7371,0,699866,1088321
IRL,oil-and-gas-transport,2020,371906,5708,0,542024,842870
IRL,oil-and-gas-transport,2021,265090,4069,0,386348,600788
IRL,oil-and-gas-transport,2022,249049,3822,0,362969,564433
IRL,oil-and-gas-transport,2023,199656,3064,0,290983,452491
IRL,enteric-fermentation-cattle-operation,2015,0,246507,0,6705014,19917838
IRL,enteric-fermentation-cattle-operation,2016,0,262973,0,7152884,21248274
IRL,enteric-fermentation-cattle-operation,2017,0,273165,0,7430104,22071780
IRL,enteric-fermentation-cattle-operation,2018,0,268258,0,7296644,21675327
IRL,enteric-fermentation-cattle-operation,2019,0,272406,0,7409470,22010485
IRL,enteric-fermentation-cattle-operation,2020,0,277625,0,7551413,22432140
IRL,enteric-fermentation-cattle-operation,2021,0,278268,0,7568905,22484102
IRL,enteric-fermentation-cattle-operation,2022,0,285669,0,7770218,23082119
IRL,enteric-fermentation-cattle-operation,2023,0,278268,0,7568905,22484102
IRL,rock-quarrying,2015,0,0,0,0,0
IRL,rock-quarrying,2016,0,0,0,0,0
IRL,rock-quarrying,2017,0,0,0,0,0
IRL,rock-quarrying,2018,0,0,0,0,0
IRL,rock-quarrying,2019,0,0,0,0,0
IRL,rock-quarrying,2020,0,0,0,0,0
IRL,rock-quarrying,2021,0,0,0,0,0
IRL,rock-quarrying,2022,0,0,0,0,0
IRL,rock-quarrying,2023,0,0,0,0,0
IRL,lime,2015,273425,16,4,275147,276047
IRL,lime,2016,262821,17,4,264613,265560
IRL,lime,2017,303426,18,4,305253,306221
IRL,lime,2018,315679,17,4,317439,318356
IRL,lime,2019,303260,18,4,305075,306066
IRL,lime,2020,302056,20,5,304187,305289
IRL,lime,2021,298815,19,5,300752,301781
IRL,lime,2022,307790,18,5,309701,310698
IRL,lime,2023,307790,18,5,309701,310698
IRL,other-energy-use,2015,0,304,111,38983,55208
IRL,other-energy-use,2016,0,347,109,39704,58225
IRL,other-energy-use,2017,194442,386,99,232378,252976
IRL,other-energy-use,2018,243594,421,82,277814,300268
IRL,other-energy-use,2019,779139,414,60,807288,829368
IRL,other-energy-use,2020,727223,419,52,753264,775620
IRL,other-energy-use,2021,0,425,60,28410,51106
IRL,other-energy-use,2022,0,457,57,28500,52859
IRL,other-energy-use,2023,153423,457,40,177295,201699
IRL,sand-quarrying,2015,0,0,0,0,0
