iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ITA,forest-land-clearing,2015,3788649,0,0,3788649,3788649
ITA,forest-land-clearing,2016,6795499,0,0,6795499,6795499
ITA,forest-land-clearing,2017,7806351,0,0,7806351,7806351
ITA,forest-land-clearing,2018,11044549,0,0,11044549,11044549
ITA,forest-land-clearing,2019,21381201,0,0,21381201,21381201
ITA,forest-land-clearing,2020,9485749,0,0,9485749,9485749
ITA,forest-land-clearing,2021,7720431,0,0,7720431,7720431
ITA,forest-land-clearing,2022,8729912,0,0,8729912,8729912
ITA,forest-land-clearing,2023,16194573,0,0,16194573,16194573
ITA,removals,2015,-30661820,0,0,-30661820,-30661820
ITA,removals,2016,-22018870,0,0,-22018870,-22018870
ITA,removals,2017,62995629,0,0,62995629,62995629
ITA,removals,2018,-73800327,0,0,-73800327,-73800327
ITA,removals,2019,-23750398,0,0,-23750398,-23750398
ITA,removals,2020,-16053325,0,0,-16053325,-16053325
ITA,removals,2021,66114326,0,0,66114326,66114326
ITA,removals,2022,-77648434,0,0,-77648434,-77648434
ITA,removals,2023,-39451652,0,0,-39451652,-39451652
ITA,road-transportation,2015,93103267,3904,2474,93895243,94101015
ITA,road-transportation,2016,91407305,3833,2429,92184855,92386879
ITA,road-transportation,2017,87691524,3677,2330,88437466,88631277
ITA,road-transportation,2018,90938876,3813,2417,91712442,91913430
ITA,road-transportation,2019,91781062,3849,2439,92561792,92764642
ITA,road-transportation,2020,74740619,3134,1986,75376395,75541583
ITA,road-transportation,2021,84219098,3559,2282,84948235,85135838
ITA,road-transportation,2022,85023224,3537,2216,85733734,85920182
ITA,road-transportation,2023,84062129,3545,2068,84732529,84919358
ITA,copper-mining,2015,0,0,0,0,0
ITA,copper-mining,2016,0,0,0,0,0
ITA,copper-mining,2017,0,0,0,0,0
ITA,copper-mining,2018,0,0,0,0,0
ITA,copper-mining,2019,0,0,0,0,0
ITA,copper-mining,2020,0,0,0,0,0
ITA,copper-mining,2021,0,0,0,0,0
ITA,copper-mining,2022,0,0,0,0,0
ITA,copper-mining,2023,0,0,0,0,0
ITA,crop-residues,2015,0,0,3829,1045317,1045317
ITA,crop-residues,2016,0,0,3947,1077722,1077722
ITA,crop-residues,2017,0,0,3565,973490,973490
ITA,crop-residues,2018,0,0,3639,993610,993610
ITA,crop-residues,2019,0,0,3551,969614,969614
ITA,crop-residues,2020,0,0,3624,989433,989433
ITA,crop-residues,2021,0,0,3604,983946,983946
ITA,crop-residues,2022,0,0,3604,983946,983946
ITA,crop-residues,2023,0,0,3604,983946,983946
ITA,manure-management-cattle-operation,2015,0,70348,19,1918718,5689385
ITA,manure-management-cattle-operation,2016,0,71193,19,1941807,5757760
ITA,manure-management-cattle-operation,2017,0,68850,18,1877867,5568267
ITA,manure-management-cattle-operation,2018,0,74511,20,2032259,6026075
ITA,manure-management-cattle-operation,2019,0,72481,19,1976904,5861898
ITA,manure-management-cattle-operation,2020,0,72079,19,1965923,5829358
ITA,manure-management-cattle-operation,2021,0,71994,19,1963655,5822550
ITA,manure-management-cattle-operation,2022,0,76466,20,2085345,6183938
ITA,manure-management-cattle-operation,2023,0,71994,19,1963655,5822550
ITA,aluminum,2015,0,0,0,0,0
ITA,aluminum,2016,0,0,0,0,0
ITA,aluminum,2017,0,0,0,0,0
ITA,aluminum,2018,0,0,0,0,0
ITA,aluminum,2019,0,0,0,0,0
ITA,aluminum,2020,0,0,0,0,0
ITA,aluminum,2021,0,0,0,0,0
ITA,aluminum,2022,0,0,0,0,0
ITA,aluminum,2023,0,0,0,0,0
ITA,biological-treatment-of-solid-waste-and-biogenic,2015,0,4737,874,370938,623441
ITA,biological-treatment-of-solid-waste-and-biogenic,2016,0,4819,889,377379,634267
ITA,biological-treatment-of-solid-waste-and-biogenic,2017,0,4746,876,371682,624692
ITA,biological-treatment-of-solid-waste-and-biogenic,2018,0,4674,863,366051,615228
ITA,biological-treatment-of-solid-waste-and-biogenic,2019,0,4605,850,360640,606133
ITA,biological-treatment-of-solid-waste-and-biogenic,2020,0,4432,818,347048,583289
ITA,biological-treatment-of-solid-waste-and-biogenic,2021,0,4371,807,342270,575259
ITA,biological-treatment-of-solid-waste-and-biogenic,2022,0,4311,795,337558,567339
ITA,biological-treatment-of-solid-waste-and-biogenic,2023,0,4311,795,337558,567339
ITA,food-beverage-tobacco,2015,3135090,1333,156,3215031,3286082
ITA,food-beverage-tobacco,2016,3389029,1354,173,3474144,3546351
ITA,food-beverage-tobacco,2017,3279054,1347,164,3361537,3433338
ITA,food-beverage-tobacco,2018,3095218,1284,158,3174362,3242851
ITA,food-beverage-tobacco,2019,2884834,1332,134,2958686,3029706
ITA,food-beverage-tobacco,2020,2696017,1230,99,2757644,2823244
ITA,food-beverage-tobacco,2021,4092838,1759,130,4177649,4271418
ITA,food-beverage-tobacco,2022,3748167,1515,125,3824682,3905470
ITA,food-beverage-tobacco,2023,3748167,1515,125,3824682,3905470
ITA,iron-and-steel,2015,14591795,0,0,14591795,14591795
ITA,iron-and-steel,2016,16800897,0,0,16800897,16800897
ITA,iron-and-steel,2017,14787844,0,0,14787844,14787844
ITA,iron-and-steel,2018,14367368,0,0,14367368,14367368
ITA,iron-and-steel,2019,13416514,0,0,13416514,13416514
ITA,iron-and-steel,2020,10460193,0,0,10460193,10460193
ITA,iron-and-steel,2021,19480953,0,0,19480953,19480953
ITA,iron-and-steel,2022,18457010,0,0,18457010,18457010
ITA,iron-and-steel,2023,18818620,0,0,18818620,18818620
ITA,manure-left-on-pasture-cattle,2015,0,1325,2520,725151,795813
ITA,manure-left-on-pasture-cattle,2016,0,1357,2580,742439,814785
ITA,manure-left-on-pasture-cattle,2017,0,1596,3036,873500,958618
ITA,manure-left-on-pasture-cattle,2018,0,1603,3048,877079,962545
ITA,manure-left-on-pasture-cattle,2019,0,1771,3369,969205,1063649
ITA,manure-left-on-pasture-cattle,2020,0,1834,3487,1003390,1101164
ITA,manure-left-on-pasture-cattle,2021,0,1661,3158,908752,997305
ITA,manure-left-on-pasture-cattle,2022,0,1684,3203,921507,1011303
ITA,manure-left-on-pasture-cattle,2023,0,1673,3181,915100,1004271
ITA,other-manufacturing,2015,8100335,2543,1647,8621137,8756694
ITA,other-manufacturing,2016,8299778,2581,1675,8829172,8966774
ITA,other-manufacturing,2017,8155688,2610,1798,8719508,8858655
ITA,other-manufacturing,2018,7978050,2458,1746,8523312,8654364
ITA,other-manufacturing,2019,7657505,2573,1693,8191729,8328881
ITA,other-manufacturing,2020,7124313,2447,1683,7652257,7782711
ITA,other-manufacturing,2021,9701913,3353,1624,10238865,10417629
ITA,other-manufacturing,2022,8396103,2614,1598,8905439,9044818
ITA,other-manufacturing,2023,8369121,2614,1598,8878457,9017836
ITA,cropland-fires,2015,3157290,5626,145,3354105,3654016
ITA,cropland-fires,2016,3321393,5919,153,3528437,3843937
ITA,cropland-fires,2017,3094822,5515,142,3287743,3581720
ITA,cropland-fires,2018,3019877,5381,139,3208126,3494985
ITA,cropland-fires,2019,2965329,5284,137,3150177,3431854
ITA,cropland-fires,2020,2982388,5315,137,3168301,3451598
ITA,cropland-fires,2021,2925331,5213,135,3107686,3385563
ITA,cropland-fires,2022,2638390,4702,121,2802858,3053479
ITA,cropland-fires,2023,2638390,4702,121,2802858,3053479
ITA,other-chemicals,2015,5643485,2076,1177,6022853,6133509
ITA,other-chemicals,2016,6013805,2099,1290,6424642,6536555
ITA,other-chemicals,2017,6185519,2187,1282,6596615,6713229
ITA,other-chemicals,2018,5995228,2081,1277,6402152,6513095
ITA,other-chemicals,2019,4970892,2030,1281,5377443,5485692
ITA,other-chemicals,2020,4828474,1929,1159,5198737,5301575
ITA,other-chemicals,2021,7324997,3077,1265,7756234,7920282
ITA,other-chemicals,2022,6571541,2721,1191,6972813,7117890
ITA,other-chemicals,2023,6571541,2721,1191,6972813,7117890
ITA,sand-quarrying,2016,353,0,0,353,353
ITA,sand-quarrying,2017,353,0,0,353,353
ITA,sand-quarrying,2018,353,0,0,353,353
ITA,sand-quarrying,2019,353,0,0,353,353
ITA,sand-quarrying,2020,355,0,0,355,355
ITA,sand-quarrying,2021,356,0,0,356,356
ITA,sand-quarrying,2022,357,0,0,357,357
ITA,sand-quarrying,2015,349,0,0,349,349
ITA,sand-quarrying,2023,358,0,0,358,358
ITA,industrial-wastewater-treatment-and-discharge,2015,0,44081,5904,2810939,5173689
ITA,industrial-wastewater-treatment-and-discharge,2016,0,45411,6219,2933148,5367229
ITA,industrial-wastewater-treatment-and-discharge,2017,0,42384,5390,2624500,4896312
ITA,industrial-wastewater-treatment-and-discharge,2018,0,44264,6531,2987196,5359771
ITA,industrial-wastewater-treatment-and-discharge,2019,0,42665,6042,2810090,5096949
ITA,industrial-wastewater-treatment-and-discharge,2020,0,42218,6473,2915582,5178478
