iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
LVA,international-shipping,2015,444150,71,25,453016,456828
LVA,international-shipping,2016,506729,81,28,516850,521207
LVA,international-shipping,2017,503366,82,28,513468,517851
LVA,international-shipping,2018,535650,88,30,546441,551151
LVA,international-shipping,2019,496306,80,28,506251,510554
LVA,international-shipping,2020,387394,62,21,395150,398502
LVA,international-shipping,2021,508977,83,28,519222,523698
LVA,international-shipping,2022,523871,84,29,534335,538847
LVA,international-shipping,2023,468091,74,26,477423,481417
LVA,aluminum,2015,0,0,0,0,0
LVA,aluminum,2016,0,0,0,0,0
LVA,aluminum,2017,0,0,0,0,0
LVA,aluminum,2018,0,0,0,0,0
LVA,aluminum,2019,0,0,0,0,0
LVA,aluminum,2020,0,0,0,0,0
LVA,aluminum,2021,0,0,0,0,0
LVA,aluminum,2022,0,0,0,0,0
LVA,aluminum,2023,0,0,0,0,0
LVA,enteric-fermentation-cattle-pasture,2015,0,8737,0,243769,709464
LVA,enteric-fermentation-cattle-pasture,2016,0,8732,0,243622,709038
LVA,enteric-fermentation-cattle-pasture,2017,0,9336,0,260499,758155
LVA,enteric-fermentation-cattle-pasture,2018,0,9185,0,256262,745825
LVA,enteric-fermentation-cattle-pasture,2019,0,9875,0,275535,801916
LVA,enteric-fermentation-cattle-pasture,2020,0,10419,0,290690,846025
LVA,enteric-fermentation-cattle-pasture,2021,0,10333,0,288313,839105
LVA,enteric-fermentation-cattle-pasture,2022,0,10689,0,298244,868010
LVA,enteric-fermentation-cattle-pasture,2023,0,10512,0,293294,853601
LVA,petrochemical-steam-cracking,2015,0,0,0,0,0
LVA,petrochemical-steam-cracking,2016,0,0,0,0,0
LVA,petrochemical-steam-cracking,2017,0,0,0,0,0
LVA,petrochemical-steam-cracking,2018,0,0,0,0,0
LVA,petrochemical-steam-cracking,2019,0,0,0,0,0
LVA,petrochemical-steam-cracking,2020,0,0,0,0,0
LVA,petrochemical-steam-cracking,2021,0,0,0,0,0
LVA,petrochemical-steam-cracking,2022,0,0,0,0,0
LVA,petrochemical-steam-cracking,2023,0,0,0,0,0
LVA,domestic-wastewater-treatment-and-discharge,2015,0,2479,361,166228,299126
LVA,domestic-wastewater-treatment-and-discharge,2016,0,2408,363,164890,294001
LVA,domestic-wastewater-treatment-and-discharge,2017,0,2326,364,162714,287433
LVA,domestic-wastewater-treatment-and-discharge,2018,0,2235,365,160648,280448
LVA,domestic-wastewater-treatment-and-discharge,2019,0,2146,367,158741,273790
LVA,domestic-wastewater-treatment-and-discharge,2020,0,2064,370,157265,267918
LVA,domestic-wastewater-treatment-and-discharge,2021,0,1970,370,154845,260489
LVA,domestic-wastewater-treatment-and-discharge,2022,0,1965,369,154442,259812
LVA,domestic-wastewater-treatment-and-discharge,2023,0,1967,370,154536,259969
LVA,industrial-wastewater-treatment-and-discharge,2015,0,728,55,34859,73923
LVA,industrial-wastewater-treatment-and-discharge,2016,0,734,55,35268,74643
LVA,industrial-wastewater-treatment-and-discharge,2017,0,743,56,35576,75440
LVA,industrial-wastewater-treatment-and-discharge,2018,0,740,55,35209,74880
LVA,industrial-wastewater-treatment-and-discharge,2019,0,703,47,32080,69791
LVA,industrial-wastewater-treatment-and-discharge,2020,0,660,27,25507,60897
LVA,industrial-wastewater-treatment-and-discharge,2021,0,670,26,25556,61511
LVA,industrial-wastewater-treatment-and-discharge,2022,0,681,23,24831,61380
LVA,industrial-wastewater-treatment-and-discharge,2023,0,681,23,24831,61380
LVA,iron-mining,2015,0,0,0,0,0
LVA,iron-mining,2016,0,0,0,0,0
LVA,iron-mining,2017,0,0,0,0,0
LVA,iron-mining,2018,0,0,0,0,0
LVA,iron-mining,2019,0,0,0,0,0
LVA,iron-mining,2020,0,0,0,0,0
LVA,iron-mining,2021,0,0,0,0,0
LVA,iron-mining,2022,0,0,0,0,0
LVA,iron-mining,2023,0,0,0,0,0
LVA,oil-and-gas-transport,2015,0,0,0,0,0
LVA,oil-and-gas-transport,2016,0,0,0,0,0
LVA,oil-and-gas-transport,2017,0,0,0,0,0
LVA,oil-and-gas-transport,2018,0,0,0,0,0
LVA,oil-and-gas-transport,2019,0,0,0,0,0
LVA,oil-and-gas-transport,2020,0,0,0,0,0
LVA,oil-and-gas-transport,2021,0,0,0,0,0
LVA,oil-and-gas-transport,2022,0,0,0,0,0
LVA,oil-and-gas-transport,2023,0,0,0,0,0
LVA,other-metals,2015,0,3,0,111,319
LVA,other-metals,2016,0,2,0,67,192
LVA,other-metals,2017,0,1,0,49,140
LVA,other-metals,2018,0,1,0,49,142
LVA,other-metals,2019,0,1,0,47,136
LVA,other-metals,2020,0,1,0,28,82
LVA,other-metals,2021,0,1,0,43,126
LVA,other-metals,2022,0,1,0,30,88
LVA,other-metals,2023,0,1,0,30,88
LVA,sand-quarrying,2015,32746,0,0,32746,32746
LVA,sand-quarrying,2016,36314,0,0,36314,36314
LVA,sand-quarrying,2017,46388,0,0,46388,46388
LVA,sand-quarrying,2018,50471,0,0,50471,50471
LVA,sand-quarrying,2019,50944,0,0,50944,50944
LVA,sand-quarrying,2020,58539,0,0,58539,58539
LVA,sand-quarrying,2021,63594,0,0,63594,63594
LVA,sand-quarrying,2022,68649,0,0,68649,68649
LVA,sand-quarrying,2023,73701,0,0,73701,73701
LVA,manure-applied-to-soils,2015,0,0,465,127081,127081
LVA,manure-applied-to-soils,2016,0,0,458,125170,125170
LVA,manure-applied-to-soils,2017,0,0,434,118727,118727
LVA,manure-applied-to-soils,2018,0,0,414,113158,113158
LVA,manure-applied-to-soils,2019,0,0,412,112585,112585
LVA,manure-applied-to-soils,2020,0,0,411,112312,112312
LVA,manure-applied-to-soils,2021,0,0,411,112203,112203
LVA,manure-applied-to-soils,2022,0,0,411,112203,112203
LVA,manure-applied-to-soils,2023,0,0,411,112203,112203
LVA,manure-left-on-pasture-cattle,2015,0,153,291,83843,92014
LVA,manure-left-on-pasture-cattle,2016,0,153,291,83793,91958
LVA,manure-left-on-pasture-cattle,2017,0,163,311,89598,98328
LVA,manure-left-on-pasture-cattle,2018,0,161,306,88140,96729
LVA,manure-left-on-pasture-cattle,2019,0,173,329,94769,104004
LVA,manure-left-on-pasture-cattle,2020,0,182,347,99982,109725
LVA,manure-left-on-pasture-cattle,2021,0,181,344,99164,108827
LVA,manure-left-on-pasture-cattle,2022,0,187,356,102580,112576
LVA,manure-left-on-pasture-cattle,2023,0,184,350,100877,110707
LVA,net-shrubgrass,2015,79558,0,0,79558,79558
LVA,net-shrubgrass,2016,-350125,0,0,-350125,-350125
LVA,net-shrubgrass,2017,797855,0,0,797855,797855
LVA,net-shrubgrass,2018,-423625,0,0,-423625,-423625
LVA,net-shrubgrass,2019,373233,0,0,373233,373233
LVA,net-shrubgrass,2020,-62823,0,0,-62823,-62823
LVA,net-shrubgrass,2021,-978715,0,0,-978715,-978715
LVA,net-shrubgrass,2022,582529,0,0,582529,582529
LVA,net-shrubgrass,2023,-947674,0,0,-947674,-947674
LVA,water-reservoirs,2015,0,711,0,19786,57717
LVA,water-reservoirs,2016,0,711,0,19786,57717
LVA,water-reservoirs,2017,0,720,0,20046,58474
LVA,water-reservoirs,2018,0,293,0,8164,23814
LVA,water-reservoirs,2019,0,183,0,5103,14887
LVA,water-reservoirs,2020,0,161,0,4486,13087
LVA,water-reservoirs,2021,0,134,0,3743,10894
LVA,water-reservoirs,2022,0,212,0,5930,17259
LVA,water-reservoirs,2023,0,82,0,2299,6692
LVA,bauxite-mining,2015,0,0,0,0,0
LVA,bauxite-mining,2016,0,0,0,0,0
LVA,bauxite-mining,2017,0,0,0,0,0
LVA,bauxite-mining,2018,0,0,0,0,0
LVA,bauxite-mining,2019,0,0,0,0,0
LVA,bauxite-mining,2020,0,0,0,0,0
LVA,bauxite-mining,2021,0,0,0,0,0
LVA,bauxite-mining,2022,0,0,0,0,0
LVA,bauxite-mining,2023,0,0,0,0,0
LVA,domestic-shipping,2015,152221,16,8,154896,155764
LVA,domestic-shipping,2016,165781,16,8,168632,169509
LVA,domestic-shipping,2017,198141,17,10,201415,202320
LVA,domestic-shipping,2018,218932,22,11,222713,223893
LVA,domestic-shipping,2019,185582,16,9,188658,189513
LVA,domestic-shipping,2020,171080,15,8,173929,174732
LVA,domestic-shipping,2021,233044,17,11,236775,237718
LVA,domestic-shipping,2022,306785,27,15,311901,313359
LVA,domestic-shipping,2023,218023,20,11,221705,222774
LVA,fluorinated-gases,2015,0,0,0,472369,1046403
LVA,fluorinated-gases,2016,0,0,0,496469,1088693
LVA,fluorinated-gases,2017,0,0,0,488968,1073060
LVA,fluorinated-gases,2018,0,0,0,482785,1069863
LVA,fluorinated-gases,2019,0,0,0,476339,1061666
LVA,fluorinated-gases,2020,0,0,0,469559,1052428
LVA,fluorinated-gases,2021,0,0,0,465060,1048100
LVA,fluorinated-gases,2022,0,0,0,465060,1048100
LVA,fluorinated-gases,2023,0,0,0,465060,1048100
LVA,non-residential-onsite-fuel-usage,2015,257433,1865,39,323732,422053
LVA,non-residential-onsite-fuel-usage,2016,260668,1831,39,325976,422504
LVA,non-residential-onsite-fuel-usage,2017,270262,2034,43,342821,450051
LVA,non-residential-onsite-fuel-usage,2018,277840,2062,44,351561,460255
LVA,non-residential-onsite-fuel-usage,2019,268524,1943,45,338739,441140
LVA,non-residential-onsite-fuel-usage,2020,270107,1697,42,332432,421912
LVA,non-residential-onsite-fuel-usage,2021,270182,1763,43,334704,427627
LVA,non-residential-onsite-fuel-usage,2022,235960,1760,43,300381,393150
