iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
LTU,rock-quarrying,2015,18445,0,0,18445,18445
LTU,rock-quarrying,2016,19280,0,0,19280,19280
LTU,rock-quarrying,2017,25286,0,0,25286,25286
LTU,rock-quarrying,2018,28289,0,0,28289,28289
LTU,rock-quarrying,2019,28485,0,0,28485,28485
LTU,rock-quarrying,2020,32684,0,0,32684,32684
LTU,rock-quarrying,2021,35807,0,0,35807,35807
LTU,rock-quarrying,2022,37742,0,0,37742,37742
LTU,rock-quarrying,2023,41113,0,0,41113,41113
LTU,biological-treatment-of-solid-waste-and-biogenic,2015,0,529,39,25611,53829
LTU,biological-treatment-of-solid-waste-and-biogenic,2016,0,1194,89,57799,121483
LTU,biological-treatment-of-solid-waste-and-biogenic,2017,0,1231,92,59592,125251
LTU,biological-treatment-of-solid-waste-and-biogenic,2018,0,1755,131,84917,178479
LTU,biological-treatment-of-solid-waste-and-biogenic,2019,0,1652,123,79925,167987
LTU,biological-treatment-of-solid-waste-and-biogenic,2020,0,1477,110,71479,150236
LTU,biological-treatment-of-solid-waste-and-biogenic,2021,0,1667,125,80653,169517
LTU,biological-treatment-of-solid-waste-and-biogenic,2022,0,1881,141,91004,191273
LTU,biological-treatment-of-solid-waste-and-biogenic,2023,0,1881,141,91004,191273
LTU,forest-land-clearing,2015,5811046,0,0,5811046,5811046
LTU,forest-land-clearing,2016,9347668,0,0,9347668,9347668
LTU,forest-land-clearing,2017,9472946,0,0,9472946,9472946
LTU,forest-land-clearing,2018,7240309,0,0,7240309,7240309
LTU,forest-land-clearing,2019,9139928,0,0,9139928,9139928
LTU,forest-land-clearing,2020,8785439,0,0,8785439,8785439
LTU,forest-land-clearing,2021,8355946,0,0,8355946,8355946
LTU,forest-land-clearing,2022,9048395,0,0,9048395,9048395
LTU,forest-land-clearing,2023,9321719,0,0,9321719,9321719
LTU,incineration-and-open-burning-of-waste,2015,5966,663,0,24633,60003
LTU,incineration-and-open-burning-of-waste,2016,544,704,0,20199,57723
LTU,incineration-and-open-burning-of-waste,2017,1182,704,0,20859,58393
LTU,incineration-and-open-burning-of-waste,2018,762,771,0,22312,63446
LTU,incineration-and-open-burning-of-waste,2019,1538,771,0,23115,64262
LTU,incineration-and-open-burning-of-waste,2020,1833,1030,0,30644,85595
LTU,incineration-and-open-burning-of-waste,2021,1007,1104,0,31846,90714
LTU,incineration-and-open-burning-of-waste,2022,900,1183,0,33940,97015
