iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
LUX,net-forest-land,2015,567206,0,0,567206,567206
LUX,net-forest-land,2016,-784346,0,0,-784346,-784346
LUX,net-forest-land,2017,312741,0,0,312741,312741
LUX,net-forest-land,2018,-349600,0,0,-349600,-349600
LUX,net-forest-land,2019,-173856,0,0,-173856,-173856
LUX,net-forest-land,2020,146370,0,0,146370,146370
LUX,net-forest-land,2021,-160551,0,0,-160551,-160551
LUX,net-forest-land,2022,-332747,0,0,-332747,-332747
LUX,net-forest-land,2023,111092,0,0,111092,111092
LUX,other-onsite-fuel-usage,2015,0,0,0,0,0
LUX,other-onsite-fuel-usage,2016,0,0,0,0,0
LUX,other-onsite-fuel-usage,2017,0,0,0,0,0
LUX,other-onsite-fuel-usage,2018,0,0,0,0,0
LUX,other-onsite-fuel-usage,2019,0,0,0,0,0
LUX,other-onsite-fuel-usage,2020,0,0,0,0,0
LUX,other-onsite-fuel-usage,2021,0,0,0,0,0
LUX,other-onsite-fuel-usage,2022,0,0,0,0,0
LUX,other-onsite-fuel-usage,2023,0,0,0,0,0
LUX,residential-onsite-fuel-usage,2015,903540,261,20,916997,930796
LUX,residential-onsite-fuel-usage,2016,940462,286,23,955343,970434
LUX,residential-onsite-fuel-usage,2017,961750,270,21,975707,989977
LUX,residential-onsite-fuel-usage,2018,931749,277,21,945942,960592
LUX,residential-onsite-fuel-usage,2019,932233,227,20,944700,956706
LUX,residential-onsite-fuel-usage,2020,919849,223,20,932126,943916
LUX,residential-onsite-fuel-usage,2021,967151,213,22,979534,990782
LUX,residential-onsite-fuel-usage,2022,779786,197,20,791189,801603
LUX,residential-onsite-fuel-usage,2023,787576,199,20,799096,809612
LUX,solid-fuel-transformation,2015,0,0,0,0,0
LUX,solid-fuel-transformation,2016,0,0,0,0,0
LUX,solid-fuel-transformation,2017,0,0,0,0,0
LUX,solid-fuel-transformation,2018,0,0,0,0,0
LUX,solid-fuel-transformation,2019,0,0,0,0,0
LUX,solid-fuel-transformation,2020,0,0,0,0,0
LUX,solid-fuel-transformation,2021,0,0,0,0,0
LUX,solid-fuel-transformation,2022,0,0,0,0,0
LUX,solid-fuel-transformation,2023,0,0,0,0,0
LUX,international-aviation,2015,1354502,9,37,1365152,1365653
LUX,international-aviation,2016,1354337,9,37,1364987,1365487
LUX,international-aviation,2017,1999272,14,56,2014993,2015732
LUX,international-aviation,2018,2274587,15,63,2292473,2293313
LUX,international-aviation,2019,1865079,13,52,1879744,1880433
LUX,international-aviation,2020,1715499,12,48,1728988,1729622
LUX,international-aviation,2021,1766370,12,49,1780259,1780911
LUX,international-aviation,2022,1895460,13,53,1910365,1911065
LUX,international-aviation,2023,1795339,12,50,1809456,1810119
LUX,aluminum,2015,0,0,0,0,0
LUX,aluminum,2016,0,0,0,0,0
LUX,aluminum,2017,0,0,0,0,0
LUX,aluminum,2018,0,0,0,0,0
LUX,aluminum,2019,0,0,0,0,0
LUX,aluminum,2020,0,0,0,0,0
LUX,aluminum,2021,0,0,0,0,0
LUX,aluminum,2022,0,0,0,0,0
LUX,aluminum,2023,0,0,0,0,0
LUX,lime,2015,0,0,0,0,0
LUX,lime,2016,0,0,0,0,0
LUX,lime,2017,0,0,0,0,0
LUX,lime,2018,0,0,0,0,0
LUX,lime,2019,0,0,0,0,0
LUX,lime,2020,0,0,0,0,0
LUX,lime,2021,0,0,0,0,0
LUX,lime,2022,0,0,0,0,0
LUX,lime,2023,0,0,0,0,0
LUX,net-shrubgrass,2015,-25885,0,0,-25885,-25885
LUX,net-shrubgrass,2016,18642,0,0,18642,18642
LUX,net-shrubgrass,2017,63701,0,0,63701,63701
LUX,net-shrubgrass,2018,-66033,0,0,-66033,-66033
LUX,net-shrubgrass,2019,-23642,0,0,-23642,-23642
LUX,net-shrubgrass,2020,37974,0,0,37974,37974
LUX,net-shrubgrass,2021,5223,0,0,5223,5223
LUX,net-shrubgrass,2022,-61307,0,0,-61307,-61307
LUX,net-shrubgrass,2023,-205384,0,0,-205384,-205384
LUX,other-energy-use,2015,8629,34,4,10707,12522
LUX,other-energy-use,2016,0,30,3,1897,3517
LUX,other-energy-use,2017,0,32,4,2068,3826
LUX,other-energy-use,2018,0,32,4,2035,3760
LUX,other-energy-use,2019,0,32,4,2049,3786
LUX,other-energy-use,2020,39410,60,7,43276,46518
