iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
MLT,rock-quarrying,2015,6934,0,0,6934,6934
MLT,rock-quarrying,2016,6744,0,0,6744,6744
MLT,rock-quarrying,2017,5908,0,0,5908,5908
MLT,rock-quarrying,2018,7008,0,0,7008,7008
MLT,rock-quarrying,2019,7644,0,0,7644,7644
MLT,rock-quarrying,2020,7353,0,0,7353,7353
MLT,rock-quarrying,2021,7818,0,0,7818,7818
MLT,rock-quarrying,2022,8395,0,0,8395,8395
MLT,rock-quarrying,2023,8327,0,0,8327,8327
MLT,water-reservoirs,2015,0,0,0,0,0
MLT,water-reservoirs,2016,0,0,0,0,0
MLT,water-reservoirs,2017,0,0,0,0,0
MLT,water-reservoirs,2018,0,0,0,0,0
MLT,water-reservoirs,2019,0,0,0,0,0
MLT,water-reservoirs,2020,0,0,0,0,0
MLT,water-reservoirs,2021,0,0,0,0,0
MLT,water-reservoirs,2022,0,0,0,0,0
MLT,water-reservoirs,2023,0,0,0,0,0
MLT,cropland-fires,2015,250,0,0,265,289
MLT,cropland-fires,2016,261,0,0,277,302
MLT,cropland-fires,2017,297,0,0,316,344
MLT,cropland-fires,2018,11,0,0,12,13
MLT,cropland-fires,2019,11,0,0,11,13
MLT,cropland-fires,2020,9,0,0,10,10
MLT,cropland-fires,2021,9,0,0,9,10
MLT,cropland-fires,2022,8,0,0,9,10
MLT,cropland-fires,2023,8,0,0,9,10
MLT,other-agricultural-soil-emissions,2015,0,0,6,1747,1747
MLT,other-agricultural-soil-emissions,2016,0,0,6,1801,1801
MLT,other-agricultural-soil-emissions,2017,0,0,6,1856,1856
MLT,other-agricultural-soil-emissions,2018,0,0,7,1992,1992
MLT,other-agricultural-soil-emissions,2019,0,0,7,1992,1992
MLT,other-agricultural-soil-emissions,2020,0,0,7,1965,1965
MLT,other-agricultural-soil-emissions,2021,0,0,7,1938,1938
MLT,other-agricultural-soil-emissions,2022,0,0,7,1938,1938
MLT,other-agricultural-soil-emissions,2023,0,0,7,1938,1938
MLT,glass,2015,20,0,0,20,20
MLT,glass,2016,20,0,0,20,20
MLT,glass,2017,21,0,0,21,21
MLT,glass,2018,21,0,0,21,21
MLT,glass,2019,21,0,0,21,21
MLT,glass,2020,21,0,0,21,21
MLT,glass,2021,21,0,0,21,21
MLT,glass,2022,21,0,0,21,21
MLT,glass,2023,21,0,0,21,21
MLT,manure-applied-to-soils,2015,0,0,31,8626,8626
MLT,manure-applied-to-soils,2016,0,0,30,8381,8381
MLT,manure-applied-to-soils,2017,0,0,28,7889,7889
MLT,manure-applied-to-soils,2018,0,0,29,8108,8108
MLT,manure-applied-to-soils,2019,0,0,29,7998,7998
MLT,manure-applied-to-soils,2020,0,0,30,8326,8326
MLT,manure-applied-to-soils,2021,0,0,30,8244,8244
