iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
NLD,international-aviation,2015,10852761,76,304,10938099,10942108
NLD,international-aviation,2016,10753033,75,301,10837586,10841558
NLD,international-aviation,2017,11206294,78,314,11294412,11298551
NLD,international-aviation,2018,11411447,79,319,11501178,11505393
NLD,international-aviation,2019,11323738,79,317,11412779,11416962
NLD,international-aviation,2020,6279913,44,176,6329294,6331613
NLD,international-aviation,2021,7050012,49,197,7105448,7108052
NLD,international-aviation,2022,9078624,63,254,9150011,9153365
NLD,international-aviation,2023,9892755,69,277,9970544,9974199
NLD,domestic-aviation,2015,1817,0,0,1831,1832
NLD,domestic-aviation,2016,1338,0,0,1348,1349
NLD,domestic-aviation,2017,990,0,0,998,998
NLD,domestic-aviation,2018,866,0,0,873,873
NLD,domestic-aviation,2019,874,0,0,881,882
NLD,domestic-aviation,2020,740,0,0,745,746
NLD,domestic-aviation,2021,953,0,0,960,960
NLD,domestic-aviation,2022,1449,0,0,1460,1460
NLD,domestic-aviation,2023,698,0,0,704,704
NLD,manure-management-other,2015,0,0,0,0,0
NLD,manure-management-other,2016,0,0,0,0,0
NLD,manure-management-other,2017,0,0,0,0,0
NLD,manure-management-other,2018,0,0,0,0,0
NLD,manure-management-other,2019,0,0,0,0,0
NLD,manure-management-other,2020,0,0,0,0,0
NLD,manure-management-other,2021,0,0,0,0,0
NLD,manure-management-other,2022,0,0,0,0,0
NLD,manure-management-other,2023,0,0,0,0,0
NLD,other-mining-quarrying,2015,28357,13,0,28939,29640
NLD,other-mining-quarrying,2016,34875,13,0,35458,36202
NLD,other-mining-quarrying,2017,38273,14,0,38889,39685
NLD,other-mining-quarrying,2018,46440,16,0,47121,47976
NLD,other-mining-quarrying,2019,26239,15,0,26846,27667
NLD,other-mining-quarrying,2020,0,11,0,518,1139
NLD,other-mining-quarrying,2021,27335,15,0,27967,28775
NLD,other-mining-quarrying,2022,3256,11,0,3757,4362
NLD,other-mining-quarrying,2023,3129,11,0,3630,4235
NLD,residential-onsite-fuel-usage,2015,23790641,7376,478,24141151,24529911
NLD,residential-onsite-fuel-usage,2016,24296334,7460,457,24643572,25036757
NLD,residential-onsite-fuel-usage,2017,23730273,7879,449,24087791,24503027
NLD,residential-onsite-fuel-usage,2018,23769984,8140,493,24147339,24576368
NLD,residential-onsite-fuel-usage,2019,22828722,8342,477,23207655,23647280
NLD,residential-onsite-fuel-usage,2020,21747748,8459,480,22131135,22576972
NLD,residential-onsite-fuel-usage,2021,21175433,8612,483,21563952,22017834
NLD,residential-onsite-fuel-usage,2022,17105024,8249,493,17485628,17920399
NLD,residential-onsite-fuel-usage,2023,17179384,8291,496,17561978,17998939
NLD,cement,2015,1220399,0,0,1220399,1220399
NLD,cement,2016,1582199,0,0,1582199,1582199
NLD,cement,2017,1096199,0,0,1096199,1096199
NLD,cement,2018,1587599,0,0,1587599,1587599
NLD,cement,2019,1857599,0,0,1857599,1857599
NLD,cement,2020,1609199,0,0,1609199,1609199
NLD,cement,2021,1349999,0,0,1349999,1349999
NLD,cement,2022,1349999,0,0,1349999,1349999
NLD,cement,2023,1349999,0,0,1349999,1349999
NLD,cropland-fires,2015,2906,5,0,3087,3363
NLD,cropland-fires,2016,2160,3,0,2295,2500
NLD,cropland-fires,2017,1941,3,0,2062,2247
NLD,cropland-fires,2018,1261,2,0,1340,1459
NLD,cropland-fires,2019,897,1,0,953,1038
NLD,cropland-fires,2020,367,0,0,390,425
NLD,cropland-fires,2021,362,0,0,384,419
NLD,cropland-fires,2022,378,0,0,402,438
NLD,cropland-fires,2023,378,0,0,402,438
NLD,other-manufacturing,2015,3746410,237,146,3792966,3805626
NLD,other-manufacturing,2016,3917172,248,133,3960502,3973755
NLD,other-manufacturing,2017,3876850,257,139,3922235,3935940
NLD,other-manufacturing,2018,3807033,251,137,3851500,3864891
NLD,other-manufacturing,2019,3558676,235,131,3601111,3613658
NLD,other-manufacturing,2020,3352335,228,119,3391454,3403638
NLD,other-manufacturing,2021,3360914,233,120,3400309,3412764
NLD,other-manufacturing,2022,2919522,191,119,2957508,2967731
NLD,other-manufacturing,2023,2910099,191,119,2948085,2958308
NLD,domestic-wastewater-treatment-and-discharge,2015,0,6010,3780,1195676,1517852
NLD,domestic-wastewater-treatment-and-discharge,2016,0,6046,3812,1205305,1529395
NLD,domestic-wastewater-treatment-and-discharge,2017,0,6053,3826,1209228,1533721
NLD,domestic-wastewater-treatment-and-discharge,2018,0,6078,3849,1216315,1542096
NLD,domestic-wastewater-treatment-and-discharge,2019,0,6105,3874,1223925,1551168
NLD,domestic-wastewater-treatment-and-discharge,2020,0,6144,3907,1233838,1563190
NLD,domestic-wastewater-treatment-and-discharge,2021,0,6151,3918,1237090,1566802
NLD,domestic-wastewater-treatment-and-discharge,2022,0,6199,3955,1248583,1580880
NLD,domestic-wastewater-treatment-and-discharge,2023,0,6264,3997,1261710,1597501
NLD,enteric-fermentation-other,2015,0,0,0,0,0
NLD,enteric-fermentation-other,2016,0,0,0,0,0
NLD,enteric-fermentation-other,2017,0,0,0,0,0
NLD,enteric-fermentation-other,2018,0,0,0,0,0
NLD,enteric-fermentation-other,2019,0,0,0,0,0
NLD,enteric-fermentation-other,2020,0,0,0,0,0
NLD,enteric-fermentation-other,2021,0,0,0,0,0
NLD,enteric-fermentation-other,2022,0,0,0,0,0
NLD,enteric-fermentation-other,2023,0,0,0,0,0
NLD,heat-plants,2015,600518,0,0,600518,600518
NLD,heat-plants,2016,538385,0,0,538385,538385
NLD,heat-plants,2017,511146,0,0,511146,511146
NLD,heat-plants,2018,578007,0,0,578007,578007
NLD,heat-plants,2019,796195,0,0,796195,796195
NLD,heat-plants,2020,779562,0,0,779562,779562
NLD,heat-plants,2021,850551,0,0,850551,850551
NLD,heat-plants,2022,848086,0,0,848086,848086
NLD,heat-plants,2023,848086,0,0,848086,848086
NLD,road-transportation,2015,20236753,863,535,20408649,20454168
NLD,road-transportation,2016,20301100,866,537,20473542,20519206
NLD,road-transportation,2017,20876869,891,552,21054202,21101161
NLD,road-transportation,2018,21313617,909,563,21494660,21542601
NLD,road-transportation,2019,21212651,905,561,21392836,21440550
NLD,road-transportation,2020,18148387,774,480,18302544,18343366
NLD,road-transportation,2021,18710797,803,506,18873048,18915373
NLD,road-transportation,2022,18525923,786,478,18679970,18721402
NLD,road-transportation,2023,18761972,806,455,18910442,18952920
NLD,wood-and-wood-products,2015,52292,13,6,54505,55244
NLD,wood-and-wood-products,2016,51504,15,7,53907,54715
NLD,wood-and-wood-products,2017,23809,9,5,25538,26045
NLD,wood-and-wood-products,2018,28482,13,9,31592,32328
NLD,wood-and-wood-products,2019,19873,13,9,22907,23617
NLD,wood-and-wood-products,2020,14610,15,12,18372,19194
NLD,wood-and-wood-products,2021,31139,17,12,34981,35912
NLD,wood-and-wood-products,2022,24227,16,12,28034,28911
NLD,wood-and-wood-products,2023,24227,16,12,28034,28911
NLD,fluorinated-gases,2015,0,0,0,11300542,11550185
NLD,fluorinated-gases,2016,0,0,0,10740948,10906347
NLD,fluorinated-gases,2017,0,0,0,19452931,18294421
NLD,fluorinated-gases,2018,0,0,0,25574272,23458965
NLD,fluorinated-gases,2019,0,0,0,17142816,16339398
NLD,fluorinated-gases,2020,0,0,0,19276771,18150415
NLD,fluorinated-gases,2021,0,0,0,21732154,20247929
NLD,fluorinated-gases,2022,0,0,0,21732154,20247929
NLD,fluorinated-gases,2023,0,0,0,21732154,20247929
NLD,oil-and-gas-transport,2015,8712627,139689,0,12875378,20237022
NLD,oil-and-gas-transport,2016,8331618,134631,0,12343626,19438688
NLD,oil-and-gas-transport,2017,7294384,116809,0,10775304,16931159
NLD,oil-and-gas-transport,2018,6123410,96816,0,9008542,14110772
NLD,oil-and-gas-transport,2019,5130971,80856,0,7540504,11801658
NLD,oil-and-gas-transport,2020,3659047,53693,0,5259124,8088792
NLD,oil-and-gas-transport,2021,3277183,47261,0,4685589,7176294
NLD,oil-and-gas-transport,2022,2603385,37095,0,3708834,5663773
NLD,oil-and-gas-transport,2023,1760603,23328,0,2455808,3685246
NLD,other-agricultural-soil-emissions,2015,1935976,0,5114,3332126,3332126
NLD,other-agricultural-soil-emissions,2016,1907148,0,5099,3299366,3299366
