iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
POL,industrial-wastewater-treatment-and-discharge,2015,0,35121,930,1209455,3091961
POL,industrial-wastewater-treatment-and-discharge,2016,0,38280,1121,1347481,3399307
POL,industrial-wastewater-treatment-and-discharge,2017,0,38519,859,1282511,3347172
POL,industrial-wastewater-treatment-and-discharge,2019,0,39430,912,1321677,3435163
POL,industrial-wastewater-treatment-and-discharge,2020,0,40405,723,1296648,3462403
POL,industrial-wastewater-treatment-and-discharge,2021,0,39717,711,1274551,3403415
POL,industrial-wastewater-treatment-and-discharge,2018,0,41237,924,1373933,3584286
POL,industrial-wastewater-treatment-and-discharge,2022,0,39718,675,1264654,3393581
POL,industrial-wastewater-treatment-and-discharge,2023,0,39718,675,1264654,3393581
POL,manure-left-on-pasture-cattle,2015,0,1974,3707,1067163,1172413
POL,manure-left-on-pasture-cattle,2016,0,2009,3771,1085727,1192807
POL,manure-left-on-pasture-cattle,2017,0,2054,3857,1110285,1219788
POL,manure-left-on-pasture-cattle,2019,0,2239,4205,1210464,1329847
POL,manure-left-on-pasture-cattle,2020,0,2300,4318,1243217,1365830
POL,manure-left-on-pasture-cattle,2021,0,2476,4649,1338525,1470538
POL,manure-left-on-pasture-cattle,2018,0,2025,3802,1094679,1202643
POL,manure-left-on-pasture-cattle,2022,0,2457,4614,1328351,1459361
POL,manure-left-on-pasture-cattle,2023,0,2467,4632,1333440,1464951
POL,pulp-and-paper,2015,0,0,0,0,0
POL,pulp-and-paper,2017,0,0,0,0,0
POL,pulp-and-paper,2016,0,0,0,0,0
POL,pulp-and-paper,2018,0,0,0,0,0
POL,pulp-and-paper,2019,0,0,0,0,0
POL,pulp-and-paper,2020,0,0,0,0,0
POL,pulp-and-paper,2021,0,0,0,0,0
POL,pulp-and-paper,2022,0,0,0,0,0
POL,pulp-and-paper,2023,0,0,0,0,0
POL,biological-treatment-of-solid-waste-and-biogenic,2015,0,7342,330,295054,686404
POL,biological-treatment-of-solid-waste-and-biogenic,2016,0,7937,357,318956,742009
POL,biological-treatment-of-solid-waste-and-biogenic,2018,0,4757,214,191168,444726
POL,biological-treatment-of-solid-waste-and-biogenic,2017,0,3754,168,150880,351003
POL,biological-treatment-of-solid-waste-and-biogenic,2019,0,4876,219,195971,455900
POL,biological-treatment-of-solid-waste-and-biogenic,2020,0,6545,294,263024,611890
POL,biological-treatment-of-solid-waste-and-biogenic,2021,0,6385,287,256618,596988
POL,biological-treatment-of-solid-waste-and-biogenic,2022,0,6230,280,250368,582448
