Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",382.01,395.728,417.114,455.198,444.645,434.701,479.614,471.374,517.662
Austria,Population,Persons,Millions,Source: National Statistics Office. Note: mid-year population Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,8.63,8.74,8.815,8.885,8.859,8.901,8.932,8.978,9.105
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",50.81,53.96,59.31,66.37,68.88,70.37,84.04,90.35,101.58
Bulgaria,Population,Persons,Millions,Source: National Statistics Office. Note: mid-year population Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,7.309253,7.245975,7.182428,7.117431,7.052532,6.979175,6.885868,7,7
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",462.383,475.931,502.587,543.546,535.925,525.6,601.305,584.073,632.399
Belgium,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,11.237,11.311,11.352,11.399,11.456,11.522,11.555,11.618,11.743
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",51.016,52.726,56.302,61.886,61.871,58.179,69.651,72.059,82.711
Croatia,Population,Persons,Millions,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024",4.204,4.174,4.125,4.088,4.065,4.048,3.879,3.856,3.843
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.911,21.041,22.938,25.609,25.95,25.207,29.502,29.274,32.239
Cyprus,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Notes: Annual data prior to 1994 are end of year. Starting 1995 annual data are as of January 1 of each year. Primary domestic currency: Euro Data last updated: 09/2024,0.847,0.848,0.855,0.864,0.876,0.888,0.896,0.905,0.921
Czechia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",188.03,196.27,218.63,249,252.55,245.97,281.79,290.57,330.86
Czechia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Notes: Annual data prior to 1994 are end of year. Starting 1995 annual data are as of January 1 of each year. Primary ,10.546,10.566,10.594,10.63,10.672,10.698,10.506,10.672,10.864
Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",301.76,312.18,331.61,355.29,345.4,355.63,408.38,401.95,407.09
