Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",382.01,395.728,417.114,455.198,444.645,434.701,479.614,471.374,517.662
Austria,Population,Persons,Millions,Source: National Statistics Office. Note: mid-year population Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,8.63,8.74,8.815,8.885,8.859,8.901,8.932,8.978,9.105
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",462.383,475.931,502.587,543.546,535.925,525.6,601.305,584.073,632.399
Belgium,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,11.237,11.311,11.352,11.399,11.456,11.522,11.555,11.618,11.743
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",51.016,52.726,56.302,61.886,61.871,58.179,69.651,72.059,82.711
Croatia,Population,Persons,Millions,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024",4.204,4.174,4.125,4.088,4.065,4.048,3.879,3.856,3.843
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.911,21.041,22.938,25.609,25.95,25.207,29.502,29.274,32.239
Cyprus,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Notes: Annual data prior to 1994 are end of year. Starting 1995 annual data are as of January 1 of each year. Primary domestic currency: Euro Data last updated: 09/2024,0.847,0.848,0.855,0.864,0.876,0.888,0.896,0.905,0.921
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.314,24.554,27.46,31.237,31.877,31.791,37.222,38.401,41.297
Estonia,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,1.315,1.316,1.317,1.322,1.327,1.33,1.331,1.349,1.37
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",233.234,238.712,253.757,273.993,267.044,269.784,294.419,280.462,295.618
Finland,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 09/2024,5.472,5.487,5.503,5.513,5.518,5.525,5.534,5.548,5.564
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,442.73","2,469.73","2,587.96","2,782.84","2,723.09","2,645.81","2,968.41","2,798.50","3,052.71"
France,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Euro Data last updated: 10/2024,64.301,64.469,64.639,64.844,65.097,65.269,65.505,65.722,65.926
