iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
PRT,other-energy-use,2015,700167,450,219,772776,796765
PRT,other-energy-use,2016,707393,457,198,774269,798632
PRT,other-energy-use,2017,731699,497,223,806547,833045
PRT,other-energy-use,2018,879980,455,187,943893,968149
PRT,other-energy-use,2019,1088784,435,105,1129620,1152834
PRT,other-energy-use,2020,1170976,411,64,1200164,1222102
PRT,other-energy-use,2021,2369699,389,47,2393603,2414363
PRT,other-energy-use,2022,1619758,376,47,1643164,1663243
PRT,other-energy-use,2023,0,345,0,9634,28038
PRT,other-agricultural-soil-emissions,2015,298950,0,952,558901,558901
PRT,other-agricultural-soil-emissions,2016,287170,0,947,545892,545892
PRT,other-agricultural-soil-emissions,2017,289370,0,990,559776,559776
PRT,other-agricultural-soil-emissions,2018,282742,0,975,548972,548972
PRT,other-agricultural-soil-emissions,2019,284310,0,971,549475,549475
PRT,other-agricultural-soil-emissions,2020,281823,0,1015,559027,559027
PRT,other-agricultural-soil-emissions,2021,280943,0,988,550913,550913
PRT,other-agricultural-soil-emissions,2022,280958,0,988,550928,550928
PRT,other-agricultural-soil-emissions,2023,280958,0,988,550928,550928
PRT,pulp-and-paper,2015,1517746,0,0,1517746,1517746
PRT,pulp-and-paper,2016,1524776,0,0,1524776,1524776
PRT,pulp-and-paper,2017,1538197,0,0,1538197,1538197
PRT,pulp-and-paper,2018,1549178,0,0,1549178,1549178
PRT,pulp-and-paper,2019,1536047,0,0,1536047,1536047
PRT,pulp-and-paper,2020,1505370,0,0,1505370,1505370
PRT,pulp-and-paper,2021,1575671,0,0,1575671,1575671
PRT,pulp-and-paper,2022,1611113,0,0,1611113,1611113
PRT,pulp-and-paper,2023,1611113,0,0,1611113,1611113
PRT,solid-fuel-transformation,2015,0,0,0,0,0
PRT,solid-fuel-transformation,2016,0,0,0,0,0
PRT,solid-fuel-transformation,2017,0,0,0,0,0
PRT,solid-fuel-transformation,2018,0,0,0,0,0
PRT,solid-fuel-transformation,2019,0,0,0,0,0
PRT,solid-fuel-transformation,2020,0,0,0,0,0
PRT,solid-fuel-transformation,2021,0,0,0,0,0
PRT,solid-fuel-transformation,2022,0,0,0,0,0
PRT,solid-fuel-transformation,2023,0,0,0,0,0
PRT,enteric-fermentation-cattle-operation,2016,0,49458,0,1345276,3996262
PRT,enteric-fermentation-cattle-operation,2015,0,49133,0,1336436,3970002
PRT,enteric-fermentation-cattle-operation,2017,0,49483,0,1345948,3998258
