iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ROU,domestic-aviation,2016,60926,0,1,61405,61428
ROU,domestic-aviation,2015,37924,0,1,38222,38236
ROU,domestic-aviation,2017,90689,0,2,91402,91436
ROU,domestic-aviation,2018,91662,0,2,92383,92417
ROU,domestic-aviation,2019,77241,0,2,77848,77877
ROU,domestic-aviation,2020,37047,0,1,37339,37352
ROU,domestic-aviation,2021,45485,0,1,45843,45860
ROU,domestic-aviation,2022,51819,0,1,52226,52245
ROU,domestic-aviation,2023,52646,0,1,53060,53079
ROU,electricity-generation,2016,20973483,0,0,20973483,20973483
ROU,electricity-generation,2015,23577549,0,0,23577549,23577549
ROU,electricity-generation,2017,18387871,0,0,18387871,18387871
ROU,electricity-generation,2018,16374916,0,0,16374916,16374916
ROU,electricity-generation,2019,14599723,0,0,14599723,14599723
ROU,electricity-generation,2020,11651850,0,0,11651850,11651850
ROU,electricity-generation,2021,10757711,0,0,10757711,10757711
ROU,electricity-generation,2022,10259979,0,0,10259979,10259979
ROU,electricity-generation,2023,8373102,0,0,8373102,8373102
ROU,manure-left-on-pasture-cattle,2016,0,186,350,100877,110826
ROU,manure-left-on-pasture-cattle,2015,0,155,292,84114,92410
ROU,manure-left-on-pasture-cattle,2017,0,179,336,96826,106376
ROU,manure-left-on-pasture-cattle,2018,0,356,669,192597,211592
ROU,manure-left-on-pasture-cattle,2019,0,356,668,192543,211533
ROU,manure-left-on-pasture-cattle,2020,0,147,276,79564,87411
ROU,manure-left-on-pasture-cattle,2021,0,121,228,65714,72195
ROU,manure-left-on-pasture-cattle,2022,0,133,250,72251,79377
ROU,manure-left-on-pasture-cattle,2023,0,127,239,68986,75790
ROU,other-fossil-fuel-operations,2015,0,39903,0,1113319,3240199
ROU,other-fossil-fuel-operations,2017,0,38601,0,1076990,3134468
ROU,other-fossil-fuel-operations,2018,0,38473,0,1073422,3124083
ROU,other-fossil-fuel-operations,2019,0,38043,0,1061417,3089143
ROU,other-fossil-fuel-operations,2020,0,34542,0,963722,2804811
ROU,other-fossil-fuel-operations,2021,0,36013,0,1004785,2924320
ROU,other-fossil-fuel-operations,2022,0,39021,0,1088707,3168567
ROU,other-fossil-fuel-operations,2016,0,38564,0,1075962,3131474
ROU,other-fossil-fuel-operations,2023,0,36539,0,1019464,2967042
ROU,residential-onsite-fuel-usage,2015,8544562,34860,757,9790281,11627451
ROU,residential-onsite-fuel-usage,2017,9235987,35571,794,10512809,12387431
ROU,residential-onsite-fuel-usage,2018,9723984,35242,863,11009913,12867193
ROU,residential-onsite-fuel-usage,2019,9751322,35551,861,11045981,12919547
ROU,residential-onsite-fuel-usage,2020,9914898,35675,854,11211173,13091269
ROU,residential-onsite-fuel-usage,2021,10240161,31164,811,11390370,13032729
ROU,residential-onsite-fuel-usage,2022,9057749,31062,818,10206768,11843741
ROU,residential-onsite-fuel-usage,2016,8603685,35083,782,9862781,11711693
ROU,residential-onsite-fuel-usage,2023,9147366,31360,826,10307634,11960347
ROU,textiles-leather-apparel,2015,233664,23,0,234463,235719
ROU,textiles-leather-apparel,2016,196306,20,0,197000,198114
ROU,textiles-leather-apparel,2017,228837,22,0,229599,230821
