iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
SVK,railways,2015,0,0,0,0,0
SVK,railways,2016,0,0,0,0,0
SVK,railways,2017,0,0,0,0,0
SVK,railways,2018,0,0,0,0,0
SVK,railways,2019,0,0,0,0,0
SVK,railways,2020,0,0,0,0,0
SVK,railways,2021,0,0,0,0,0
SVK,railways,2022,0,0,0,0,0
SVK,railways,2023,0,0,0,0,0
SVK,bauxite-mining,2016,0,0,0,0,0
SVK,bauxite-mining,2015,0,0,0,0,0
SVK,bauxite-mining,2017,0,0,0,0,0
SVK,bauxite-mining,2018,0,0,0,0,0
SVK,bauxite-mining,2019,0,0,0,0,0
SVK,bauxite-mining,2020,0,0,0,0,0
SVK,bauxite-mining,2021,0,0,0,0,0
SVK,bauxite-mining,2022,0,0,0,0,0
SVK,bauxite-mining,2023,0,0,0,0,0
SVK,chemicals,2016,1112551,0,0,1112551,1112551
SVK,chemicals,2015,1174509,0,0,1174509,1174509
SVK,chemicals,2017,1162471,0,0,1162471,1162471
SVK,chemicals,2018,1109617,0,0,1109617,1109617
SVK,chemicals,2019,1009383,0,0,1009383,1009383
SVK,chemicals,2020,1022009,0,0,1022009,1022009
SVK,chemicals,2021,1097092,0,0,1097092,1097092
SVK,chemicals,2022,1097092,0,0,1097092,1097092
SVK,chemicals,2023,1097092,0,0,1097092,1097092
SVK,domestic-shipping,2016,3571,0,0,3626,3638
SVK,domestic-shipping,2015,1947,0,0,1981,1993
SVK,domestic-shipping,2017,3497,0,0,3555,3571
SVK,domestic-shipping,2018,3291,0,0,3350,3369
SVK,domestic-shipping,2019,4239,0,0,4315,4340
SVK,domestic-shipping,2020,1194,0,0,1213,1218
SVK,domestic-shipping,2021,4192,0,0,4259,4275
SVK,domestic-shipping,2022,3064,0,0,3113,3125
SVK,domestic-shipping,2023,3435,0,0,3492,3506
SVK,forest-land-clearing,2016,7735145,0,0,7735145,7735145
SVK,forest-land-clearing,2015,2353123,0,0,2353123,2353123
SVK,forest-land-clearing,2017,6276119,0,0,6276119,6276119
SVK,forest-land-clearing,2018,7710582,0,0,7710582,7710582
SVK,forest-land-clearing,2019,4569593,0,0,4569593,4569593
SVK,forest-land-clearing,2020,5609649,0,0,5609649,5609649
SVK,forest-land-clearing,2021,2914440,0,0,2914440,2914440
SVK,forest-land-clearing,2022,2509146,0,0,2509146,2509146
SVK,forest-land-clearing,2023,4944211,0,0,4944211,4944211
SVK,forest-land-fires,2016,7484,0,0,7484,7484
SVK,forest-land-fires,2015,17078,0,0,17078,17078
SVK,forest-land-fires,2017,13168,0,0,13168,13168
SVK,forest-land-fires,2018,6796,0,0,6796,6796
SVK,forest-land-fires,2019,11234,0,0,11234,11234
SVK,forest-land-fires,2020,11456,0,0,11456,11456
SVK,forest-land-fires,2021,1158,0,0,1158,1158
SVK,forest-land-fires,2022,357,0,0,357,357
SVK,forest-land-fires,2023,372,0,0,372,372
SVK,lime,2015,744491,82,22,752809,757152
SVK,lime,2017,733335,85,22,741934,746496
SVK,lime,2018,696929,89,24,706217,711050
SVK,lime,2019,681705,88,22,690460,695278
SVK,lime,2020,678563,98,27,689179,694650
SVK,lime,2021,792232,94,25,801704,806733
SVK,lime,2022,796679,93,25,806239,811222
SVK,lime,2016,747006,89,23,756023,760796
SVK,lime,2023,796616,93,25,806177,811161
SVK,oil-and-gas-refining,2015,1751104,80,15,1768765,1768935
SVK,oil-and-gas-refining,2016,1694407,77,14,1711496,1711661
SVK,oil-and-gas-refining,2017,1640959,75,14,1657509,1657668
SVK,oil-and-gas-refining,2018,1602866,73,14,1619031,1619187
SVK,oil-and-gas-refining,2019,1508962,69,13,1524180,1524327
SVK,oil-and-gas-refining,2020,1646274,75,14,1662878,1663038
SVK,oil-and-gas-refining,2021,1626194,74,14,1642595,1642753
SVK,oil-and-gas-refining,2022,1593121,73,13,1609188,1609343
SVK,oil-and-gas-refining,2023,1543554,70,13,1559122,1559272
SVK,domestic-wastewater-treatment-and-discharge,2016,0,9402,742,458409,962361
SVK,domestic-wastewater-treatment-and-discharge,2015,0,9350,739,456251,957452
SVK,domestic-wastewater-treatment-and-discharge,2017,0,9403,741,458158,962161
SVK,domestic-wastewater-treatment-and-discharge,2018,0,9415,742,458759,963425
SVK,domestic-wastewater-treatment-and-discharge,2019,0,9422,743,459238,964288
SVK,domestic-wastewater-treatment-and-discharge,2020,0,9457,745,460866,967788
SVK,domestic-wastewater-treatment-and-discharge,2021,0,9410,742,458751,963129
SVK,domestic-wastewater-treatment-and-discharge,2022,0,9454,746,461058,967799
SVK,domestic-wastewater-treatment-and-discharge,2023,0,9531,752,464814,975682
SVK,shrubgrass-fires,2015,3841,0,0,3841,3841
SVK,shrubgrass-fires,2016,1864,0,0,1864,1864
SVK,shrubgrass-fires,2017,2070,0,0,2070,2070
