iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
SVN,other-agricultural-soil-emissions,2015,158962,0,163,203516,203516
SVN,other-agricultural-soil-emissions,2016,159346,0,162,203818,203818
SVN,other-agricultural-soil-emissions,2017,159556,0,164,204382,204382
SVN,other-agricultural-soil-emissions,2018,159300,0,161,203362,203362
SVN,other-agricultural-soil-emissions,2019,168816,0,166,214188,214188
SVN,other-agricultural-soil-emissions,2020,168967,0,168,214859,214859
SVN,other-agricultural-soil-emissions,2021,169268,0,169,215623,215623
SVN,other-agricultural-soil-emissions,2022,169536,0,169,215891,215891
SVN,other-agricultural-soil-emissions,2023,169536,0,169,215891,215891
SVN,pulp-and-paper,2015,0,0,0,0,0
SVN,pulp-and-paper,2016,0,0,0,0,0
SVN,pulp-and-paper,2017,0,0,0,0,0
SVN,pulp-and-paper,2018,0,0,0,0,0
SVN,pulp-and-paper,2019,0,0,0,0,0
SVN,pulp-and-paper,2020,0,0,0,0,0
SVN,pulp-and-paper,2021,0,0,0,0,0
SVN,pulp-and-paper,2022,0,0,0,0,0
SVN,pulp-and-paper,2023,0,0,0,0,0
SVN,forest-land-clearing,2015,436648,0,0,436648,436648
SVN,forest-land-clearing,2016,2364479,0,0,2364479,2364479
SVN,forest-land-clearing,2017,2176710,0,0,2176710,2176710
SVN,forest-land-clearing,2018,3847869,0,0,3847869,3847869
SVN,forest-land-clearing,2019,1596239,0,0,1596239,1596239
SVN,forest-land-clearing,2020,1834412,0,0,1834412,1834412
SVN,forest-land-clearing,2021,1045580,0,0,1045580,1045580
SVN,forest-land-clearing,2022,989022,0,0,989022,989022
SVN,forest-land-clearing,2023,2131570,0,0,2131570,2131570
SVN,iron-and-steel,2015,98452,0,0,98452,98452
SVN,iron-and-steel,2016,99919,0,0,99919,99919
SVN,iron-and-steel,2017,105624,0,0,105624,105624
SVN,iron-and-steel,2018,106602,0,0,106602,106602
SVN,iron-and-steel,2019,101581,0,0,101581,101581
SVN,iron-and-steel,2020,95387,0,0,95387,95387
SVN,iron-and-steel,2021,107906,0,0,107906,107906
SVN,iron-and-steel,2022,98004,0,0,98004,98004
SVN,iron-and-steel,2023,98004,0,0,98004,98004
SVN,manure-applied-to-soils,2015,0,0,438,119601,119601
SVN,manure-applied-to-soils,2016,0,0,449,122795,122795
SVN,manure-applied-to-soils,2017,0,0,453,123750,123750
SVN,manure-applied-to-soils,2018,0,0,443,121020,121020
SVN,manure-applied-to-soils,2019,0,0,444,121321,121321
SVN,manure-applied-to-soils,2020,0,0,443,121075,121075
