iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ESP,industrial-wastewater-treatment-and-discharge,2015,0,59370,4637,2881010,6063256
ESP,industrial-wastewater-treatment-and-discharge,2016,0,63326,4729,3013515,6407802
ESP,industrial-wastewater-treatment-and-discharge,2017,0,62830,4119,2833599,6201332
ESP,industrial-wastewater-treatment-and-discharge,2018,0,66603,5325,3265513,6835450
ESP,industrial-wastewater-treatment-and-discharge,2019,0,66093,4258,2960237,6502842
ESP,industrial-wastewater-treatment-and-discharge,2020,0,69451,4875,3220022,6942647
ESP,industrial-wastewater-treatment-and-discharge,2021,0,70301,4631,3176638,6944817
ESP,industrial-wastewater-treatment-and-discharge,2022,0,67896,4505,3076893,6716131
ESP,industrial-wastewater-treatment-and-discharge,2023,0,67896,4505,3076893,6716131
ESP,manure-applied-to-soils,2015,0,0,11357,3100706,3100706
ESP,manure-applied-to-soils,2016,0,0,11516,3144113,3144113
ESP,manure-applied-to-soils,2017,0,0,11711,3197294,3197294
ESP,manure-applied-to-soils,2018,0,0,11921,3254651,3254651
ESP,manure-applied-to-soils,2019,0,0,12050,3289868,3289868
ESP,manure-applied-to-soils,2020,0,0,12340,3369038,3369038
ESP,manure-applied-to-soils,2021,0,0,12585,3435841,3435841
ESP,manure-applied-to-soils,2022,0,0,12585,3435841,3435841
ESP,manure-applied-to-soils,2023,0,0,12585,3435841,3435841
ESP,manure-left-on-pasture-cattle,2015,0,3004,5713,1643616,1803776
ESP,manure-left-on-pasture-cattle,2016,0,3064,5826,1676260,1839602
ESP,manure-left-on-pasture-cattle,2017,0,3348,6367,1831627,2010108
ESP,manure-left-on-pasture-cattle,2018,0,3231,6143,1767463,1939691
ESP,manure-left-on-pasture-cattle,2019,0,3276,6230,1792312,1966962
ESP,manure-left-on-pasture-cattle,2020,0,3403,6470,1861533,2042929
ESP,manure-left-on-pasture-cattle,2021,0,3215,6113,1758581,1929944
ESP,manure-left-on-pasture-cattle,2022,0,3200,6085,1750641,1921231
ESP,manure-left-on-pasture-cattle,2023,0,3207,6099,1754613,1925590
ESP,oil-and-gas-production,2015,59009,2207,0,120591,238233
ESP,oil-and-gas-production,2016,38840,1452,0,79375,156809
ESP,oil-and-gas-production,2017,30264,1132,0,61850,122186
ESP,oil-and-gas-production,2018,35099,1312,0,71729,141703
ESP,oil-and-gas-production,2019,34746,1299,0,71009,140281
ESP,oil-and-gas-production,2020,15253,570,0,31172,61582
ESP,oil-and-gas-production,2021,8970,335,0,18333,36216
ESP,oil-and-gas-production,2022,6904,258,0,14111,27875
ESP,oil-and-gas-production,2023,5421,202,0,11081,21889
ESP,incineration-and-open-burning-of-waste,2015,3522676,14124,1961,4452315,5205154
ESP,incineration-and-open-burning-of-waste,2016,3469816,14889,1932,4412748,5206335
ESP,incineration-and-open-burning-of-waste,2017,3282414,14772,1827,4193609,4980996
ESP,incineration-and-open-burning-of-waste,2018,3250624,14914,1810,4160939,4955877
ESP,incineration-and-open-burning-of-waste,2019,3218835,14894,1792,4123765,4917652
ESP,incineration-and-open-burning-of-waste,2020,3218835,15217,1792,4132761,4943831
ESP,incineration-and-open-burning-of-waste,2021,3158066,15435,1758,4068850,4891567
ESP,incineration-and-open-burning-of-waste,2022,3098445,15659,1725,4006419,4841085
ESP,incineration-and-open-burning-of-waste,2023,3098445,15659,1725,4006419,4841085
ESP,other-energy-use,2015,0,1751,891,292173,385517
ESP,other-energy-use,2016,0,1599,689,232744,317998
ESP,other-energy-use,2017,0,1820,812,272613,369649
ESP,other-energy-use,2018,0,1757,703,241015,334713
ESP,other-energy-use,2019,0,1846,382,155985,254389
ESP,other-energy-use,2020,0,1635,276,121245,208412
ESP,other-energy-use,2021,0,1646,272,120431,208207
ESP,other-energy-use,2022,0,1926,359,152012,254677
ESP,other-energy-use,2023,0,1770,102,77267,171639
ESP,rice-cultivation,2015,0,35671,0,1017310,3005269
ESP,rice-cultivation,2016,0,41350,0,1179293,3483788
ESP,rice-cultivation,2017,0,38003,0,1083839,3201804
ESP,rice-cultivation,2018,0,43541,0,1241773,3668360
ESP,rice-cultivation,2019,0,35924,0,1024542,3026632
ESP,rice-cultivation,2020,0,40397,0,1152103,3403465
ESP,rice-cultivation,2021,0,29114,0,811045,2360463
ESP,rice-cultivation,2022,0,20579,0,573345,1668660
ESP,rice-cultivation,2023,0,13030,0,363546,1058062
ESP,synthetic-fertilizer-application,2015,0,0,19271,5261046,5261046
ESP,synthetic-fertilizer-application,2016,0,0,19271,5261046,5261046
ESP,synthetic-fertilizer-application,2017,0,0,19494,5322122,5322122
ESP,synthetic-fertilizer-application,2018,0,0,21074,5753275,5753275
ESP,synthetic-fertilizer-application,2019,0,0,20734,5660409,5660409
ESP,synthetic-fertilizer-application,2020,0,0,20027,5467447,5467447
ESP,synthetic-fertilizer-application,2021,0,0,19296,5268019,5268019
ESP,synthetic-fertilizer-application,2022,0,0,14941,4079000,4079000
ESP,synthetic-fertilizer-application,2023,0,0,14941,4079000,4079000
ESP,domestic-aviation,2015,2597127,18,72,2617549,2618508
ESP,domestic-aviation,2016,2748126,19,77,2769735,2770750
ESP,domestic-aviation,2017,2877570,20,80,2900197,2901260
ESP,domestic-aviation,2018,3054926,21,85,3078948,3080076
ESP,domestic-aviation,2019,3166238,22,88,3191135,3192305
ESP,domestic-aviation,2020,1621839,11,45,1634592,1635191
ESP,domestic-aviation,2021,2253453,15,63,2271172,2272004
ESP,domestic-aviation,2022,3134861,21,87,3159511,3160669
ESP,domestic-aviation,2023,3338688,23,93,3364941,3366174
ESP,manure-management-cattle-operation,2015,0,43150,12,1177175,3490040
ESP,manure-management-cattle-operation,2016,0,42732,12,1165799,3456248
ESP,manure-management-cattle-operation,2017,0,40185,12,1096413,3250373
ESP,manure-management-cattle-operation,2018,0,41751,13,1139193,3377052
ESP,manure-management-cattle-operation,2019,0,43659,13,1191138,3531281
ESP,manure-management-cattle-operation,2020,0,42890,12,1170144,3469088
ESP,manure-management-cattle-operation,2021,0,43875,13,1197060,3548809
ESP,manure-management-cattle-operation,2022,0,53499,13,1458864,4326435
ESP,manure-management-cattle-operation,2023,0,53024,13,1445914,4288051
ESP,iron-mining,2015,0,0,0,0,0
ESP,iron-mining,2016,0,0,0,0,0
ESP,iron-mining,2017,0,0,0,0,0
ESP,iron-mining,2018,0,0,0,0,0
ESP,iron-mining,2019,0,0,0,0,0
ESP,iron-mining,2020,0,0,0,0,0
ESP,iron-mining,2021,243324,0,0,243324,243324
ESP,iron-mining,2022,325060,0,0,325060,325060
ESP,iron-mining,2023,267216,0,0,267216,267216
ESP,other-mining-quarrying,2015,198183,369,5,209976,229669
ESP,other-mining-quarrying,2016,0,361,5,11534,30810
ESP,other-mining-quarrying,2017,0,403,5,12800,34284
ESP,other-mining-quarrying,2018,0,533,5,16441,44893
ESP,other-mining-quarrying,2019,0,403,5,12696,34184
ESP,other-mining-quarrying,2020,0,488,4,14933,40961
ESP,other-mining-quarrying,2021,0,500,5,15412,42065
ESP,other-mining-quarrying,2022,0,462,5,14363,39038
ESP,other-mining-quarrying,2023,0,462,5,14363,39038
ESP,heat-plants,2015,0,0,0,0,0
ESP,heat-plants,2016,0,0,0,0,0
ESP,heat-plants,2017,0,0,0,0,0
ESP,heat-plants,2018,0,0,0,0,0
ESP,heat-plants,2019,0,0,0,0,0
ESP,heat-plants,2020,0,0,0,0,0
ESP,heat-plants,2021,0,0,0,0,0
ESP,heat-plants,2022,0,0,0,0,0
ESP,heat-plants,2023,0,0,0,0,0
ESP,food-beverage-tobacco,2015,6630598,5383,117,6801193,7071297
ESP,food-beverage-tobacco,2016,7173448,6153,223,7396956,7709619
ESP,food-beverage-tobacco,2017,7487732,7861,232,7768965,8185875
ESP,food-beverage-tobacco,2018,7235407,8554,238,7543385,8006571
ESP,food-beverage-tobacco,2019,7274232,8329,240,7574996,8023589
ESP,food-beverage-tobacco,2020,6879275,7616,236,7157606,7565399
ESP,food-beverage-tobacco,2021,7046404,7858,235,7330045,7748881
ESP,food-beverage-tobacco,2022,7046404,7489,235,7319757,7718939
ESP,food-beverage-tobacco,2023,7046404,7489,235,7319757,7718939
ESP,forest-land-degradation,2015,0,0,0,0,0
ESP,forest-land-degradation,2016,0,0,0,0,0
ESP,forest-land-degradation,2017,0,0,0,0,0
ESP,forest-land-degradation,2018,0,0,0,0,0
ESP,forest-land-degradation,2019,0,0,0,0,0
ESP,forest-land-degradation,2020,0,0,0,0,0
ESP,forest-land-degradation,2021,0,0,0,0,0
ESP,forest-land-degradation,2022,0,0,0,0,0
ESP,forest-land-degradation,2023,0,0,0,0,0
ESP,other-fossil-fuel-operations,2015,4177832,24363,0,4857562,6156114
ESP,other-fossil-fuel-operations,2016,4531437,26046,0,5258121,6646375
ESP,other-fossil-fuel-operations,2017,2823621,27179,0,3581932,5030604
ESP,other-fossil-fuel-operations,2018,2814667,28686,0,3615013,5143990
ESP,other-fossil-fuel-operations,2019,3218314,29728,0,4047731,5632246
ESP,other-fossil-fuel-operations,2020,4147967,32113,0,5043929,6755569
ESP,other-fossil-fuel-operations,2021,5320737,32812,0,6236200,7985093
ESP,other-fossil-fuel-operations,2022,4226741,34387,0,5186165,7019043
ESP,other-fossil-fuel-operations,2023,4514630,34467,0,5476261,7313357
ESP,removals,2015,8101525,0,0,8101525,8101525
ESP,removals,2016,-38628844,0,0,-38628844,-38628844
ESP,removals,2017,-12677436,0,0,-12677436,-12677436
ESP,removals,2018,-21516923,0,0,-21516923,-21516923
ESP,removals,2019,44127941,0,0,44127941,44127941
ESP,removals,2020,-54764081,0,0,-54764081,-54764081
ESP,removals,2021,56683206,0,0,56683206,56683206
ESP,removals,2022,-78316137,0,0,-78316137,-78316137
ESP,removals,2023,-27348842,0,0,-27348842,-27348842
ESP,road-transportation,2015,66894203,3024,1972,67522733,67682106
ESP,road-transportation,2016,68935793,3116,2032,69583506,69747743
ESP,road-transportation,2017,70444818,3184,2076,71106709,71274541
ESP,road-transportation,2018,72077719,3258,2125,72754953,72926675
ESP,road-transportation,2019,72637997,3283,2141,73320495,73493553
ESP,road-transportation,2020,60000730,2712,1768,60564490,60707439
ESP,road-transportation,2021,67593872,3038,1990,68227849,68387952
ESP,road-transportation,2022,69073779,3140,2038,69723915,69889418
ESP,road-transportation,2023,69825814,3284,2038,70480311,70653382
ESP,shrubgrass-fires,2015,806044,0,0,806044,806044
ESP,shrubgrass-fires,2016,781574,0,0,781574,781574
ESP,shrubgrass-fires,2017,2012900,0,0,2012900,2012900
ESP,shrubgrass-fires,2018,156395,0,0,156395,156395
ESP,shrubgrass-fires,2019,428895,0,0,428895,428895
ESP,shrubgrass-fires,2020,330115,0,0,330115,330115
ESP,shrubgrass-fires,2021,261470,0,0,261470,261470
ESP,shrubgrass-fires,2022,6582264,0,0,6582264,6582264
ESP,shrubgrass-fires,2023,262950,0,0,262950,262950
ESP,copper-mining,2015,566203,0,0,566203,566203
ESP,copper-mining,2016,781532,0,0,781532,781532
ESP,copper-mining,2017,924186,0,0,924186,924186
ESP,copper-mining,2018,874616,0,0,874616,874616
ESP,copper-mining,2019,793898,0,0,793898,793898
ESP,copper-mining,2020,797898,0,0,797898,797898
ESP,copper-mining,2021,851929,0,0,851929,851929
ESP,copper-mining,2022,1034234,0,0,1034234,1034234
ESP,copper-mining,2023,1541275,0,0,1541275,1541275
ESP,enteric-fermentation-other,2015,0,198002,0,5524264,16077786
ESP,enteric-fermentation-other,2016,0,195123,0,5443940,15844011
ESP,enteric-fermentation-other,2017,0,195996,0,5468302,15914915
ESP,enteric-fermentation-other,2018,0,191052,0,5330364,15513462
ESP,enteric-fermentation-other,2019,0,188187,0,5250420,15280792
ESP,enteric-fermentation-other,2020,0,190297,0,5309300,15452156
ESP,enteric-fermentation-other,2021,0,190215,0,5307001,15445466
ESP,enteric-fermentation-other,2022,0,190215,0,5307001,15445466
ESP,enteric-fermentation-other,2023,0,190215,0,5307001,15445466
ESP,net-shrubgrass,2015,9452783,0,0,9452783,9452783
ESP,net-shrubgrass,2016,-9464631,0,0,-9464631,-9464631
ESP,net-shrubgrass,2017,7973053,0,0,7973053,7973053
