iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
SWE,bauxite-mining,2016,0,0,0,0,0
SWE,bauxite-mining,2015,0,0,0,0,0
SWE,bauxite-mining,2017,0,0,0,0,0
SWE,bauxite-mining,2018,0,0,0,0,0
SWE,bauxite-mining,2019,0,0,0,0,0
SWE,bauxite-mining,2020,0,0,0,0,0
SWE,bauxite-mining,2021,0,0,0,0,0
SWE,bauxite-mining,2022,0,0,0,0,0
SWE,bauxite-mining,2023,0,0,0,0,0
SWE,iron-and-steel,2016,7533134,0,0,7533134,7533134
SWE,iron-and-steel,2015,7012357,0,0,7012357,7012357
SWE,iron-and-steel,2017,7687868,0,0,7687868,7687868
SWE,iron-and-steel,2018,7161043,0,0,7161043,7161043
SWE,iron-and-steel,2019,7864920,0,0,7864920,7864920
SWE,iron-and-steel,2020,7422147,0,0,7422147,7422147
SWE,iron-and-steel,2021,7876091,0,0,7876091,7876091
SWE,iron-and-steel,2022,7242376,0,0,7242376,7242376
SWE,iron-and-steel,2023,7614111,0,0,7614111,7614111
SWE,rice-cultivation,2015,0,0,0,0,0
SWE,rice-cultivation,2017,0,0,0,0,0
SWE,rice-cultivation,2018,0,0,0,0,0
SWE,rice-cultivation,2019,0,0,0,0,0
SWE,rice-cultivation,2020,0,0,0,0,0
SWE,rice-cultivation,2021,0,0,0,0,0
SWE,rice-cultivation,2022,0,0,0,0,0
SWE,rice-cultivation,2016,0,0,0,0,0
SWE,rice-cultivation,2023,0,0,0,0,0
SWE,manure-left-on-pasture-cattle,2016,0,698,1328,382295,419548
SWE,manure-left-on-pasture-cattle,2015,0,624,1188,341797,375103
SWE,manure-left-on-pasture-cattle,2017,0,716,1361,391705,429874
SWE,manure-left-on-pasture-cattle,2018,0,687,1306,375924,412556
SWE,manure-left-on-pasture-cattle,2019,0,661,1257,361831,397089
SWE,manure-left-on-pasture-cattle,2020,0,642,1222,351641,385906
SWE,manure-left-on-pasture-cattle,2021,0,669,1272,366125,401802
SWE,manure-left-on-pasture-cattle,2022,0,667,1268,364937,400498
SWE,manure-left-on-pasture-cattle,2023,0,668,1270,365530,401149
SWE,other-chemicals,2016,1664010,370,12877,5190011,5209784
SWE,other-chemicals,2015,1799613,382,12812,5308222,5328631
SWE,other-chemicals,2017,1589882,364,12877,5115658,5135099
SWE,other-chemicals,2018,1576030,362,12856,5095885,5115205
SWE,other-chemicals,2019,1578132,362,12870,5101920,5121261
SWE,other-chemicals,2020,2027975,476,16975,6675687,6701075
SWE,other-chemicals,2021,2002108,472,16802,6602447,6627604
SWE,other-chemicals,2022,1729443,411,14737,5764252,5786211
SWE,other-chemicals,2023,1729443,411,14737,5764252,5786211
SWE,other-metals,2016,0,94,1,445767,433091
SWE,other-metals,2015,0,104,1,481459,472708
SWE,other-metals,2017,0,106,1,498379,485749
SWE,other-metals,2018,0,116,1,538866,528942
SWE,other-metals,2019,0,135,1,615408,609727
SWE,other-metals,2020,0,134,1,602656,602906
SWE,other-metals,2021,637000,140,1,637000,637000
SWE,other-metals,2022,637000,140,1,637000,637000
SWE,other-metals,2023,637000,140,1,637000,637000
SWE,removals,2015,-20628946,0,0,-20628946,-20628946
SWE,removals,2017,-84309889,0,0,-84309889,-84309889
SWE,removals,2018,-86376713,0,0,-86376713,-86376713
SWE,removals,2019,-64114192,0,0,-64114192,-64114192
SWE,removals,2020,-29841235,0,0,-29841235,-29841235
SWE,removals,2021,-204861459,0,0,-204861459,-204861459
SWE,removals,2022,-27404636,0,0,-27404636,-27404636
SWE,removals,2016,-68508008,0,0,-68508008,-68508008
